# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
6.2	5.9205459647345e-28	0.15531379287457	0.22183543817145	0.36215984210183	0.21732444043754	0.79373209633206	0.11556150454687	0.12846001021044	0.036657737103654	2.0310448617784
6.48	6.5243626064346e-29	0.15527801661003	0.22178389312248	0.36207597453256	0.21729276004197	0.79354765448523	0.11553465118213	0.1284301647755	0.030680265919993	2.0246233806699
6.872	2.9227955193152e-30	0.15522786480258	0.22171174583116	0.36195850546371	0.21724830174239	0.79328950790046	0.11549706695426	0.12838838709251	0.02402977239088	2.017351152178
7	1.0700119685625e-30	0.15521147602021	0.22168819245787	0.36192014136191	0.2172337734352	0.79320523332486	0.11548479720118	0.12837474797615	0.022200413143343	2.0153187749207
7.2	2.3961706593644e-31	0.15518585731715	0.22165139686202	0.3618601981538	0.21721105642382	0.79307357222431	0.11546562832158	0.12835344126305	0.019646351128689	2.0124475016944
7.48	3.2478321160787e-32	0.15514997160581	0.22159989239552	0.36177626930384	0.21717921378026	0.79288928339777	0.11543879723546	0.12832361729936	0.01661268523031	2.0089697302483
7.872	2.189227923455e-33	0.1550997017796	0.22152780462441	0.3616587568857	0.21713455966898	0.79263135098425	0.11540124418934	0.12828187331806	0.013237387416337	2.0049726788667
8	9.2217314820108e-34	0.15508328169688	0.22150427077753	0.36162038557621	0.21711997083875	0.79254714632704	0.11538898461587	0.12826824543403	0.012308924818688	2.003841210085
8.2	2.5832285271492e-34	0.1550576207152	0.22146750413581	0.36156043143632	0.21709714987482	0.79241559445839	0.11536983163963	0.1282469547168	0.011012651969247	2.0022277389462
8.48	4.8765044375923e-35	0.15502168783814	0.22141604108406	0.36147649958806	0.21706515830136	0.79223145852656	0.11534302281384	0.12821715361388	0.0094729441647566	2.0002439659307
8.872	5.5566379259045e-36	0.15497137172675	0.2213440129003	0.36135900687876	0.21702029752914	0.79197374010686	0.11530550092365	0.1281754436852	0.0077597954395427	1.9979091691902
9	2.7574872376424e-36	0.1549549405815	0.22132049856775	0.36132064591802	0.21700564442262	0.79188960531007	0.11529325152134	0.12816182705394	0.0072885333837181	1.997234946759
9.2	9.7646347756985e-37	0.15492926595669	0.22128376489428	0.36126072014301	0.21698273095655	0.79175816258461	0.11527411443554	0.12814055655591	0.0066305510707211	1.9962598665973
9.48	2.5218291365718e-37	0.15489332061295	0.22123234679518	0.36117683171022	0.21695061346385	0.7915741794225	0.1152473278519	0.12811078332311	0.0058489796483567	1.9950343828281
9.872	4.403876135391e-38	0.1548429980843	0.2211603788252	0.36105939820848	0.21690558790291	0.79131667481976	0.11520983709188	0.12806910910342	0.0049793377554483	1.9935433217914
10	2.4898799200397e-38	0.15482656709789	0.22113688402854	0.36102105776769	0.21689088714506	0.7912326098256	0.11519759785232	0.12805550388594	0.004740095176133	1.9931012027792
10.2	1.0593787415205e-38	0.1548008947614	0.22110018251785	0.36096117165677	0.2168679157564	0.79110127615278	0.11517847664378	0.12803425291159	0.0044060202184959	1.9924501906191
10.48	3.4552310878961e-39	0.15476495630086	0.22104880883663	0.36087734110156	0.21683573872003	0.79091744563393	0.11515171228387	0.12800450685151	0.004009159494453	1.9916096692228
10.872	8.0728305983101e-40	0.15471464940894	0.22097690103462	0.36075998564921	0.2167906687607	0.79066015467149	0.1151142526283	0.12796286824893	0.0035675328781748	1.9905470132804
11	4.9906226781713e-40	0.15469822474705	0.22095342576598	0.36072167108138	0.21677596195335	0.79057615942239	0.1151020235431	0.12794927444866	0.003446019787008	1.9902227607489
11.2	2.4046462569319e-40	0.15467256338481	0.22091675589676	0.36066183057519	0.21675300203209	0.79044493471204	0.11508291819868	0.12792804255717	0.0032762877162427	1.989736335073
11.48	9.1461667050094e-41	0.15463664224141	0.22086542626685	0.36057806558198	0.21672086955513	0.79026125671036	0.11505617604415	0.12789832326724	0.0030746071212106	1.9890913667883
11.872	2.5645215037617e-41	0.15458636273899	0.22079357859324	0.36046079827769	0.21667590227432	0.79000417921188	0.11501874746734	0.12785672024715	0.0028501227412824	1.9882464115519
12	1.6753810332589e-41	0.15456994765841	0.22077012284498	0.3604225124317	0.21666123439263	0.7899202536503	0.11500652852813	0.12784313787106	0.002788336842648	1.9879820742199
12.2	8.7111322628577e-42	0.15454430183277	0.22073348394515	0.36036271939805	0.21663835029132	0.78978913781224	0.11498743903471	0.12782192447613	0.0027019770085507	1.9875793337989
12.48	3.6332132464626e-42	0.1545084034487	0.2206821976953	0.36027902213938	0.21660634139703	0.78960561220152	0.11496071906717	0.12779223120295	0.0025993102503089	1.9870338374024
12.872	1.132569437542e-42	0.15445815742673	0.22061040996758	0.36016184740337	0.21656156251707	0.78934874799048	0.11492332154343	0.12775066348302	0.0024849865425859	1.9862996968743
13	7.6363036624877e-43	0.15444175360888	0.22058697371683	0.3601235916452	0.21654695582478	0.78926489205878	0.11491111274181	0.12773709249767	0.0024535040382243	1.9860658761322
13.2	4.1467434108123e-43	0.15441612567443	0.22055036502419	0.36006384540491	0.21652417102353	0.78913388500263	0.11489203908623	0.12771589680042	0.0024094500474023	1.9857057780637
13.48	1.8215013104823e-43	0.15438025286301	0.22049912127034	0.35998021454064	0.2164923027487	0.78895051165625	0.11486534128724	0.12768622839577	0.0023570314547519	1.9852110042167
13.872	6.0200219564923e-44	0.15433004349174	0.22042739317785	0.35986313341073	0.21644771388052	0.78869386055568	0.1148279747908	0.12764469541456	0.0022986198471349	1.984533434569
14	4.129651114373e-44	0.15431365181771	0.22040397638493	0.35982490827016	0.2164331653793	0.78861007419608	0.11481577611836	0.12763113573804	0.0022825200466111	1.9843152079512
14.2	2.2965721237894e-44	0.15428804301638	0.22036739757984	0.35976520849553	0.21641046834793	0.78847917583139	0.11479671828745	0.12760995729806	0.0022599473692296	1.9839769162258
14.48	1.0376166036864e-44	0.15425219727848	0.22031619589408	0.35968164326141	0.21637871608123	0.78829595462271	0.11477004263858	0.1275803131101	0.002233048159666	1.9835081110463
14.872	3.5391194534156e-45	0.15420202628239	0.22024452723157	0.35956465610303	0.21633427457729	0.7880395164555	0.11473270714366	0.12753881448826	0.0022030367550584	1.9828595590367
15	2.4504310733961e-45	0.15418564723905	0.22022112986326	0.35952646182483	0.2163197698456	0.78795579961018	0.11472051859198	0.12752526605733	0.0021947516501249	1.9826493446823
15.2	1.3799263619227e-45	0.15416005826466	0.22018458127756	0.35946681023888	0.21629713865509	0.78782500984677	0.11470147657261	0.12750410518269	0.0021830908290169	1.9823222708673
15.48	6.3292202136434e-46	0.15412424045266	0.22013342198135	0.35938331282505	0.21626547073262	0.78764194064955	0.11467482305548	0.12747448563543	0.0021691568560778	1.9818668521882
15.872	2.1957544951354e-46	0.15407410883498	0.22006181278011	0.35926642096415	0.2162211308509	0.78738571523886	0.11463751853632	0.12743302150878	0.0021535812564993	1.9812333099706
16	1.5279680663131e-46	0.15405774271074	0.22003843482554	0.35922825783354	0.21620665568069	0.78730206785004	0.11462534009699	0.12741948433197	0.0021492694312987	1.9810272527608
16.2	8.7448139285663e-47	0.15403217398344	0.22000191160332	0.35916863475371	0.21618404252358	0.78717138659486	0.11460631387561	0.12739833497577	0.0021432165833006	1.9807060148936
16.48	4.0595135227293e-47	0.15399638462939	0.21995078916796	0.35908517766186	0.21615239371165	0.78698846927924	0.11457968247131	0.12736873137239	0.0021359569012665	1.9802575851951
16.872	1.4219472457436e-47	0.15394629303118	0.21987923765868	0.35896836904849	0.21610810374647	0.78673245644676	0.11454240890197	0.12732729758498	0.0021277415936813	1.9796319080122
17	9.9234011495196e-48	0.15392994001334	0.21985587893771	0.35893023551909	0.21609364587282	0.78664887845653	0.11453024056656	0.12731377107614	0.0021254468916235	1.9794280373338
17.2	5.6526287763884e-48	0.15390439179751	0.21981938973969	0.35887067580196	0.21607107936493	0.78651830562428	0.11451123013076	0.1272926435739	0.0021221595555858	1.9791098755886
17.48	2.6273155213555e-48	0.15386863122218	0.2197683140221	0.3587873084603	0.21603949326635	0.78633554007032	0.11448462082183	0.12726307111432	0.0021181735837512	1.9786651525612
17.872	9.2513213574861e-49	0.15381858003252	0.21969682322096	0.35867060531444	0.21599525867044	0.78607973964225	0.11444737817699	0.12722167483139	0.002113657891386	1.9780437177804
18	6.4667558960689e-49	0.1538022402354	0.21967348400784	0.35863250440798	0.21598081502909	0.78599623099338	0.11443521993717	0.12720815998187	0.0021123883853252	1.9778410429781
18.2	3.6943695094937e-49	0.15377671270205	0.21963702446783	0.35857299189664	0.21595826394399	0.78586576649168	0.11441622527349	0.12718704952897	0.0021105462675222	1.9775245805722
18.48	1.7224306913394e-49	0.15374098112939	0.21958599037176	0.35848968983747	0.21592669585664	0.78568315257021	0.11438963804113	0.12715750060713	0.0021082837700737	1.9770819321838
18.872	6.0856345957352e-50	0.15369097062391	0.21951455864997	0.35837308131942	0.21588248818603	0.78542756436881	0.11435242629492	0.12711613819559	0.0021056796938774	1.9764629073325
19	4.2584961678068e-50	0.1536746441291	0.21949123877785	0.35833501160622	0.21586805318226	0.78534412500352	0.11434027814228	0.12710263449232	0.0021049354068342	1.9762609207404
19.2	2.4372329445658e-50	0.15364913739762	0.2194548091168	0.35827554650779	0.21584551300876	0.7852137687425	0.11432129923764	0.12708154105386	0.0021038309787342	1.9759454460437
19.48	1.1386481879801e-50	0.15361343497956	0.21940381695532	0.35819231100415	0.21581395923606	0.78503130632783	0.11429473406354	0.1270520159803	0.0021024454137797	1.9755040239605
19.872	4.0326369243918e-51	0.15356346534501	0.21933244437071	0.3580757977378	0.21576977305306	0.78477593017705	0.11425755319033	0.12701068756923	0.0021008119335748	1.9748864633768
20	2.8241015664723e-51	0.15354715220775	0.21930914383364	0.35803775931677	0.21575534502374	0.78469256003786	0.11424541511649	0.1269971950249	0.0021003341151337	1.9746849046763
