# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
8.2	2.5324400698145e-41	2.0832488122171e-33	1.2255103371094e-10	1.3601545676772	1.9426974047001	3.1125743076222e-09	0.057305328120419	3.1715827318976	2.8945793294478e-11	1.9043609638142	2.7158580582436e-05	6.9510139864771	0.0088344591615081	1.0120160670143	1.1249732869895	1.0947437479551e-11	0.0031630026682294	0.011012651969247	0.011012651915294
8.48	5.5713514990454e-40	3.9326648690261e-34	2.0646635431894e-11	1.3598393670013	1.9422459744216	8.5074390238008e-10	0.055311210081392	3.1708464876145	4.5415118946188e-12	1.9040803359769	2.3753456634683e-05	6.9493987590049	0.0087586630320154	1.0117809018758	1.124711873806	9.5688866181034e-12	0.0032420250645637	0.0094729441647566	0.0094729441183926
8.872	-1.046665624309e-39	4.4811596176649e-35	1.8099230564024e-12	1.3593979976031	1.9416141482482	1.4809858702388e-10	0.053632573234725	3.1698158498137	3.5698726373579e-13	1.9036868204311	1.9819130491044e-05	6.9471380711128	0.0086774394755759	1.0114517624882	1.1243459972386	7.9824163181019e-12	0.0033684619487377	0.0077597954395427	0.0077597954016043
9	-4.9399723969516e-39	2.2237800303568e-35	7.8903116524253e-13	1.35925386475	1.9414078821732	8.1007954851843e-11	0.053210064383814	3.1694793501581	1.5056551984345e-13	1.903558284409	1.8705088884905e-05	6.9464000465795	0.0086646484373892	1.0113443115907	1.1242265531048	7.5336192635617e-12	0.0034107376312412	0.0072885333837181	0.0072885333480943
9.2	-6.7305830166035e-40	7.874705464273e-36	1.6665102995102e-07	1.3590286487429	1.9410856569673	5.7648767221578e-07	0.052395787719508	3.168953685465	4.5555753206143e-08	1.9033572890925	1.7094942181118e-05	6.9452470402159	0.0088812139485972	1.011176442417	1.1240399697887	9.1714198910135e-12	0.0034846988448902	0.0066305510707211	0.0066305510383267
9.48	-4.9210292272182e-39	2.0337331746546e-36	3.1081496106429e-08	1.3587133387101	1.9406346210103	1.7968185356283e-07	0.051165600500679	3.1682178220195	7.9467028937701e-09	1.9030755567004	1.5149544614801e-05	6.9436331528289	0.0088027004746772	1.0109414723851	1.12377880108	6.7560074351392e-12	0.003592105701883	0.0058489796483567	0.0058489796197947
9.872	2.2522509617928e-41	3.5515130124121e-37	3.1910292207741e-09	1.3582719130202	1.9400033230281	3.6287658922671e-08	0.050242359578296	3.1671877035831	7.3877774342871e-10	1.9026805956396	1.2879797458599e-05	6.9413743405242	0.0087196204732536	1.0106126060692	1.1234132377493	5.3104771426911e-12	0.0037554078126992	0.0049793377554483	0.0049793377311463
10	-1.4896898801584e-40	2.0079676774514e-37	1.4695781361919e-09	1.3581277815604	1.9397972283205	2.0838140814976e-08	0.050025188586547	3.1668513839271	3.2984291043326e-10	1.9025516416233	1.2231490927023e-05	6.9406369282947	0.0087055737259258	1.0105052443186	1.1232938937363	4.9959765607298e-12	0.0038084075486584	0.004740095176133	0.0047400951530021
10.2	-1.311639189843e-38	8.5433769477464e-38	3.0939074207196e-07	1.3579025856263	1.9394752852443	1.0681252520594e-06	0.049587811765076	3.1663260671646	7.9012122565322e-08	1.9023501382141	1.1281121459199e-05	6.9394848785331	0.0089054462036138	1.0103375144191	1.1231074816806	8.7689477222145e-12	0.0038996526567298	0.0044060202184959	0.0044060201969997
10.48	-3.1219687510364e-38	2.7864766837871e-38	6.4622377607496e-08	1.3575873359725	1.9390246389178	3.5909670253593e-07	0.048790294468951	3.1655907114172	1.551024279879e-08	1.902067883509	1.0129231088518e-05	6.9378723301222	0.0088266835945038	1.0101027393322	1.122846551329	5.3928638867045e-12	0.0040212282662689	0.004009159494453	0.0040091594748978
10.872	-2.9482049639333e-40	6.5103472567017e-39	7.8177138116096e-09	1.3571460474469	1.9383938687248	8.0796729794042e-08	0.048300163420074	3.1645612776247	1.7160189805824e-09	1.9016725329886	8.7627979711566e-06	6.9356153918552	0.008744345867174	1.0097741458623	1.1224813004292	3.8051081415619e-12	0.0041953885948994	0.0035675328781748	0.0035675328607785
11	-2.5512318965493e-40	4.0246957082026e-39	3.796631076342e-09	1.3570019714654	1.9381879453156	4.8245873773723e-08	0.048201346137415	3.1642251849243	8.0955321432868e-10	1.9015435259066	8.3673517489473e-06	6.9348785914245	0.0087300703797026	1.0096668731851	1.1223620565672	3.5322778637063e-12	0.0042500667552247	0.003446019787008	0.0034460197702056
11.2	5.2431786916593e-40	1.9392308523644e-39	4.3676201230434e-07	1.3567768717966	1.9378662797961	1.522817517436e-06	0.047982110100017	3.1637002682034	1.0527746133451e-07	1.9013421230885	7.7777757608183e-06	6.933727497474	0.0089212453113977	1.0094992824446	1.122175811905	9.1292982551236e-12	0.004342874842655	0.0032762877162427	0.0032762877002696
11.48	-1.5057490867481e-38	7.3759408911366e-40	1.009379976802e-07	1.3564617740474	1.9374160198846	5.4767337714376e-07	0.047434807789728	3.1629654875612	2.2965068915596e-08	1.9010602592555	7.0589221587296e-06	6.932116286933	0.0088435150742768	1.0092647021416	1.1219151163793	4.8499093365288e-12	0.0044556454987202	0.0030746071212106	0.0030746071062226
11.872	-8.7857446168116e-40	2.0681625030337e-40	1.4001957499823e-08	1.3560207257806	1.9367857771337	1.3484265730691e-07	0.04719754560387	3.1619368269973	2.9367549847695e-09	1.9006658094239	6.1895747190763e-06	6.9298612211568	0.0087628327577142	1.0089363812925	1.1215501776066	2.9555537711092e-12	0.0046082953584012	0.0028501227412824	0.0028501227273907
12	-2.6369326763767e-40	1.3511137364991e-40	7.0892116572701e-09	1.3558767338457	1.936580024956	8.300947662934e-08	0.047167905577027	3.1616009862429	1.4466793385948e-09	1.900537143795	5.934356062184e-06	6.9291250320202	0.0087486585921709	1.0088291976152	1.1214310339567	2.6706219232563e-12	0.0046547561746797	0.002788336842648	0.002788336829058
12.2	-1.9916446257552e-40	7.0251066635949e-41	5.1730090106201e-07	1.3556517704629	1.9362586310978	1.8486066313111e-06	0.047076592363926	3.1610764859478	1.1873646196463e-07	1.9003364060642	5.5473671987014e-06	6.9279748930899	0.0089351954266492	1.0086617459185	1.121244951545	9.4630203157696e-12	0.0047339856420889	0.0027019770085507	0.0027019769953823
12.48	-6.2548040693717e-40	2.9300106826311e-41	1.2878628005708e-07	1.355336872357	1.9358087517132	6.9806977498557e-07	0.046674920297676	3.1603422994683	2.7990109167868e-08	1.9000556262898	5.0730318036101e-06	6.9263650193116	0.0088582760811399	1.0084273602383	1.1209844842364	4.5984864969653e-12	0.0048204358033549	0.0025993102503089	0.0025993102376417
12.872	9.5400055226439e-42	9.1336244963061e-42	1.9652965670817e-08	1.3548961177783	1.9351790348033	1.8291268447154e-07	0.046584625307657	3.1593144509068	3.9587424881471e-09	1.8996628290971	4.4895906653099e-06	6.9241118244779	0.0087784027669047	1.0080993117845	1.1206198551142	2.4372485551692e-12	0.0049328338074243	0.0024849865425859	0.0024849865304766
13	-6.4953058085141e-41	6.158309405232e-42	1.0230596560771e-08	1.3547522246393	1.9349734536564	1.1488470862826e-07	0.046594947086997	3.1589788740807	2.0071911365632e-09	1.8995347002173	4.316233774943e-06	6.9233762461296	0.008764145480787	1.0079922170334	1.1205008113831	2.1275621015003e-12	0.004966247715672	0.0024535040382243	0.0024535040262687
13.2	1.1221429699194e-39	3.3441479119454e-42	5.2595969970229e-07	1.3545274181968	1.9346523247736	1.9382375439952e-06	0.046577372048974	3.1584547842536	1.1504769362386e-07	1.8993348335397	4.0497784596225e-06	6.9222270614265	0.0089477993611257	1.0078249042652	1.1203148842142	9.151143699828e-12	0.0050249824481322	0.0024094500474023	0.0024094500356617
13.48	-1.9764160410147e-38	1.4689526697438e-42	1.373076598493e-07	1.3542127444123	1.9342028181609	7.5421999844057e-07	0.046258249092581	3.157721180181	2.8496154697074e-08	1.8990552872693	3.7220257185683e-06	6.9206185233005	0.0088708131669764	1.007590713046	1.1200546350506	4.251618339481e-12	0.0050814388124447	0.0023570314547519	0.0023570314432671
13.872	-9.5432041707814e-40	4.854856416526e-43	2.2221466055349e-08	1.3537723113311	1.9335736243671	2.0518303696685e-07	0.046250209629111	3.1566941527257	4.2880162150975e-09	1.8986641568467	3.3139081460082e-06	6.9183671978568	0.0087905487346811	1.0072629367614	1.1196903106541	2.0403848778578e-12	0.0051536289460234	0.0022986198471349	0.0022986198359351
14	-2.4436886003985e-40	3.3303638019137e-43	1.17621481486e-08	1.3536285247167	1.9333682139029	1.3039991295982e-07	0.046282655498107	3.1563588444751	2.2121165477316e-09	1.8985365384149	3.1916126636319e-06	6.9176322297902	0.0087759703468648	1.0071559308628	1.1195713661232	1.7273511696015e-12	0.005174810352701	0.0022825200466111	0.0022825200354898
14.2	9.2878368286787e-40	1.8520742933786e-43	4.9724076897585e-07	1.3534038861086	1.9330473471916	1.8810564030174e-06	0.046305725472724	3.1558351622415	1.0356622778267e-07	1.8983374416485	3.0017217863016e-06	6.916483998521	0.0089575963138191	1.0069887569075	1.1193855903339	8.4588978146715e-12	0.0052147524972043	0.0022599473692296	0.0022599473582186
14.48	1.0173746726769e-39	8.3678758361808e-44	1.3346986335917e-07	1.3530894498112	1.9325982095972	7.4427711301585e-07	0.046031256220752	3.155102133872	2.6406451164608e-08	1.8980589129933	2.7678317435093e-06	6.914876794936	0.0088799791130761	1.0067547599875	1.1191255535974	3.82249840008e-12	0.0052469534759985	0.002233048159666	0.0022330481487862
14.872	-1.5632670774613e-40	2.8541285914642e-44	2.2342559571035e-08	1.3526493533543	1.931969537119	2.0674513396574e-07	0.046066860581896	3.1540759307283	4.1175719401082e-09	1.8976690752394	2.4742592451168e-06	6.9126273373289	0.0087987713481153	1.0064272556461	1.1187615305987	1.7070279672645e-12	0.0052888518020104	0.0022030367550584	0.002203036744325
15	1.1057525922505e-40	1.9761540914485e-44	1.1939027759736e-08	1.3525056775355	1.9317642970461	1.3224926396501e-07	0.046110898727029	3.1537408932002	2.1452308191382e-09	1.8975418407509	2.3858053402087e-06	6.9118929790367	0.0087838143428429	1.0063203385261	1.1186426847134	1.408872852257e-12	0.0053011497761143	0.0021947516501249	0.0021947516394319
15.2	8.1449890202715e-40	1.1128438402603e-44	4.9622030968971e-07	1.3522812128479	1.9314436954172	1.9062038283865e-06	0.046155462136955	3.1532176336743	9.8717459438254e-08	1.8973433215359	2.2471065184868e-06	6.9107457004103	0.0089640234168914	1.0061533032685	1.1184570630061	8.2204654250055e-12	0.0053286217130265	0.0021830908290169	0.0021830908183808
15.48	-3.6795125285746e-39	5.1042098497124e-45	1.3530400191083e-07	1.3519670215145	1.9309949296609	7.6097716729401e-07	0.045904339375833	3.1524852002197	2.5585322778229e-08	1.8970655327423	2.0767078702091e-06	6.9091398302592	0.0088857029140361	1.0059195004866	1.118197242416	3.599071308931e-12	0.0053439975179735	0.0021691568560778	0.0021691568455097
15.872	-6.1437054192484e-40	1.7707697541415e-45	2.308333284902e-08	1.3515272704823	1.9303667787729	2.1378709033578e-07	0.045962061548543	3.1514598330189	4.070015036134e-09	1.8966765864114	1.8617614975646e-06	6.9068922389374	0.0088036019050716	1.0055922678625	1.1178335220069	1.4840804103417e-12	0.005366176972713	0.0021535812564993	0.0021535812460071
16	-3.5598371646357e-40	1.2322323115429e-45	1.240108163073e-08	1.351383707989	1.9301617089959	1.3723981211495e-07	0.046011862137111	3.1511250687153	2.132277334569e-09	1.8965496112341	1.796770977601e-06	6.9061584899126	0.008788342798428	1.0054854394473	1.1177147748419	1.1883526827155e-12	0.0053728661327614	0.0021492694312987	0.0021492694208276
16.2	-1.0336604456571e-40	7.0522692972309e-46	4.8153171520514e-09	1.3511594209074	1.9298413298537	6.9363100498723e-08	0.046063654849971	3.1506020592431	7.9760763385556e-10	1.8963512502068	1.7000918693601e-06	6.9050121631128	0.0089678123801921	1.0053185427685	1.1175292541734	9.1566033226037e-13	0.0053825709384892	0.0021432165833006	0.002143216572859
16.48	-2.9444071407293e-41	3.2738012280075e-46	1.3252247090023e-09	1.3508454792052	1.9293928874382	2.7125422544619e-08	0.045820213792116	3.14986997949	2.0873910927744e-10	1.8960736290496	1.5740688766195e-06	6.9034076252565	0.0088892006217157	1.0050849339589	1.117269573442	7.226977519701e-13	0.0053945095951817	0.0021359569012665	0.0021359568908604
16.872	4.2673047656745e-41	1.1467316497932e-46	2.2864754272781e-10	1.3504060792209	1.92876524262	7.5105862110849e-09	0.045886726527767	3.1488453425306	3.3601480825471e-11	1.8956851205831	1.4142916054065e-06	6.9011618986558	0.0088064844549213	1.0047579728243	1.1169061191665	5.9383456218176e-13	0.0054081747856355	0.0021277415936813	0.0021277415833153
17	2.1909873573944e-41	8.0027428625158e-47	1.2324111454909e-10	1.350262631696	1.9285603415588	4.8069436919033e-09	0.045939172145635	3.1485108378868	1.7664030778499e-11	1.89555829713	1.3658683575978e-06	6.9004287583906	0.0087910068801386	1.00465123304	1.1167874655802	5.6556298543297e-13	0.0054119851309386	0.0021254468916235	0.0021254468812686
17.2	4.3686754137771e-39	4.5585715938616e-47	3.904204750863e-07	1.3500385245396	1.9282402608745	1.4810117184656e-06	0.045999101607851	3.1479883842278	7.212390103565e-08	1.8953603453064	1.2891524216333e-06	6.8992833826691	0.0089696160241859	1.0044844748312	1.1166021366132	6.2036468965179e-12	0.0054246372885484	0.0021221595555858	0.0021221595452469
17.48	-1.5799292694356e-39	2.1188028398028e-47	1.079637795074e-07	1.3497248352823	1.927792228264	5.9590012756476e-07	0.04576521113214	3.147257091757	1.8968934204254e-08	1.8950832742662	1.1951166005034e-06	6.8976801760555	0.0088904355528756	1.0042510598406	1.116342729073	2.6472672515243e-12	0.0054259757500895	0.0021181735837512	0.0021181735734318
17.872	6.9821336155017e-40	7.4607430302307e-48	1.8737532163837e-08	1.349285789759	1.9271651159733	1.6912371910752e-07	0.045839168681286	3.1462333799512	3.0724147726276e-09	1.8946952514951	1.0758238070437e-06	6.8954363126514	0.0088073271837084	1.0039243699736	1.1159796037841	1.0149726577413e-12	0.0054310444039216	0.002113657891386	0.0021136578810886
18	9.4487704083778e-40	5.2151257226362e-48	1.0116769436464e-08	1.3491424582053	1.9269603860337	1.0892520171418e-07	0.045893213863877	3.1458991614735	1.6180049278679e-09	1.8945685528868	1.0396081785869e-06	6.8947037806436	0.0087917504020151	1.0038177187471	1.1158610524725	7.880156026151e-13	0.0054328300746923	0.0021123883853252	0.002112388375034
18.2	5.4680204805249e-39	2.9793302495917e-48	3.2466265362928e-07	1.3489185324741	1.9266405655073	1.2698374446226e-06	0.045954973390683	3.1453771219003	5.8317755571107e-08	1.8943707363508	9.8214800583019e-07	6.8935593551902	0.0089700332307186	1.0036510988903	1.1156758730611	5.2398057853717e-12	0.0054407236318792	0.0021105462675222	0.00211054625724
18.48	4.6739377907602e-39	1.3890570091447e-48	9.0078840041551e-08	1.3486050976262	1.9261928979979	5.1120258904984e-07	0.045723162035908	3.1446464020831	1.5391123258746e-08	1.8940938233039	9.116375083636e-07	6.8919574786861	0.0088907531859957	1.0034178775538	1.1154166719924	2.2173688118417e-12	0.0054402989111058	0.0021082837700737	0.0021082837598025
18.872	8.7370483912448e-40	4.9077698352703e-49	1.5698914717467e-08	1.3481664089817	1.9255663039471	1.4529550170138e-07	0.045798806279893	3.1436235203458	2.5038550723826e-09	1.8937060367196	8.2201706195301e-07	6.8897154769194	0.0088075243524989	1.0030914587274	1.115053843821	8.2956877747269e-13	0.0054427072642694	0.0021056796938774	0.0021056796836189
