# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
13	-0.0062189915625	3.5767290435451e-40	5.3089766319439e-41	9.2006178921063e-20	1.7933130363259e-18	1.7370351965125e-20	9.0104956275858e-06	0.009559019991214
13.2	0.2235567488916	3.6286918377393e-39	2.8800308298529e-41	1.1925009909148e-19	2.5934046237785e-18	2.2045831768447e-20	8.6032559926536e-06	0.009670355393298
13.48	-0.0064060445654297	4.4271258832644e-38	1.2655620857976e-41	2.4711940434728e-19	4.0671707226812e-18	4.63668009693e-20	8.0989830923958e-06	0.0098631695276962
13.872	-0.00654519625	6.1322239955994e-39	4.1838698791979e-42	1.6145582311057e-19	3.2570481655851e-18	2.9331669274386e-20	7.4496657164113e-06	0.010090690258741
14	-0.0065851614453125	1.7342674996219e-39	2.8702419976196e-42	1.3746319453305e-19	2.9915745765937e-18	2.4671969601215e-20	7.2503034607926e-06	0.010155840101343
14.2	0.22048230763346	6.040942021056e-39	1.5946343392993e-42	1.6794940129638e-19	4.0164585375173e-18	2.9547168057623e-20	6.9291550759145e-06	0.010215766865567
14.48	-0.0067011054785156	2.1162307294627e-38	7.2071894765783e-43	2.8575276487425e-19	5.3865376977274e-18	5.0830089912432e-20	6.5330297480949e-06	0.010343842355248
14.872	-0.006789892890625	2.0742658070732e-39	2.458920532939e-43	1.8581566485648e-19	4.2222129752003e-18	3.2042288976008e-20	6.0195300097539e-06	0.01048922015504
15	-0.0068148086962891	5.0457200628351e-40	1.7026238199358e-43	1.5809994524376e-19	3.8543853156037e-18	2.6946184267995e-20	5.8611456022547e-06	0.010529896939229
15.2	0.2256160003597	6.0510822612673e-39	9.578814331335e-44	1.9125166525368e-19	5.004184288859e-18	3.2002052618751e-20	5.6025965838064e-06	0.010551008063909
15.48	-0.0068790206608073	2.1795407245309e-38	4.3950228890703e-44	3.3185375208216e-19	6.5408023475257e-18	5.637481801573e-20	5.2861110373308e-06	0.010633574224289
15.872	-0.0069338913085937	4.1029366007393e-39	1.5251995432166e-44	2.1677428941568e-19	5.0813967273769e-18	3.5732300980014e-20	4.8744709371222e-06	0.010723804264386
16	-0.0069489585546875	2.5929611098325e-39	1.0614249418162e-44	1.8465757197302e-19	4.6268130305133e-18	3.0092602554576e-20	4.7472033960729e-06	0.010748476109771
16.2	-0.006969987906901	8.0162784992429e-40	6.0752337218546e-45	1.4118432428312e-19	3.9541637348846e-18	2.2581504294119e-20	4.5551343170512e-06	0.010782883437888
16.48	-0.006995013733724	2.2224724105893e-40	2.8204661902407e-45	9.4089418797769e-20	3.1132155040014e-18	1.4643531840971e-20	4.2994972784848e-06	0.010823776405691
16.872	-0.0070229869222005	6.6562481882416e-40	9.8800003969595e-46	5.0985271281412e-20	2.1577896136561e-18	7.6311106736633e-21	3.9659485963876e-06	0.010869481444287
17	-0.0070307202978516	7.5238002685422e-41	6.8950793900075e-46	4.1077472158969e-20	1.8982010690773e-18	6.0626286112817e-21	3.8627051157021e-06	0.010882116602549
17.2	0.21156335303385	2.7861837394917e-38	3.9239295912144e-46	3.9524806227416e-20	1.9977712851841e-18	5.7584626736233e-21	3.6922944251605e-06	0.010863863265753
17.48	-0.007040557664388	1.1630678793873e-38	1.8243351181493e-46	1.1645504237885e-19	2.4119969975798e-18	1.8614952511631e-20	3.4850932563996e-06	0.010897412743725
17.872	-0.0070611698046875	9.1147996662301e-39	6.4254335667482e-47	8.392388319069e-20	1.8509857095564e-18	1.3092935619775e-20	3.2150015434534e-06	0.010931783620383
18	-0.0070666158333333	5.6851622735721e-39	4.4917153133922e-47	7.3781845001752e-20	1.6892880878193e-18	1.1392972450187e-20	3.131357727087e-06	0.01094080341507
18.2	0.19623567049805	2.7169149886692e-38	2.5639980025734e-47	9.4805055874265e-20	2.1375197432927e-18	1.4375657093407e-20	2.9933635739863e-06	0.010919384512491
18.48	-0.007069397508138	5.3577177124505e-38	1.1958021469772e-47	1.4556109184416e-19	2.7007219353098e-18	2.2197875565981e-20	2.8253781227125e-06	0.010944962885165
18.872	-0.0070842830452474	7.1979519544679e-39	4.2261756160568e-48	9.9314386490055e-20	2.2007755957263e-18	1.4684145594917e-20	2.6063534234849e-06	0.010969927165371
19	-0.0070880885270182	2.3348838699332e-39	2.9575362857997e-48	8.5785789642882e-20	2.036097506376e-18	1.2538814440293e-20	2.5385112228649e-06	0.010976262477351
19.2	0.18944962269531	6.9171711605923e-39	1.6913890851644e-48	9.9414176168568e-20	2.5834186117255e-18	1.4265511767713e-20	2.426372958485e-06	0.010951994705722
19.48	-0.0070859633479818	1.6451604515789e-38	7.9045787550323e-49	1.2903771026104e-19	2.9462412857595e-18	1.879789331244e-20	2.2900907542911e-06	0.010972528674487
19.872	-0.007097418688151	2.3113312713733e-39	2.8003036103884e-49	8.5704804188091e-20	2.3272602820595e-18	1.2158094439024e-20	2.1124110767073e-06	0.010991845877226
20	-0.0071002675211589	1.6105093547323e-39	1.961233768291e-49	7.3587727318813e-20	2.1314807829287e-18	1.0334078087047e-20	2.0573734389041e-06	0.010996617767466
