# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
7.2	1.0023762150323e-43	2.1248177284845e-33	9.9943688061964e-11	0.015374230531084	0.021958956811669	3.6081103388398e-10	0.06595086978098	0.16621169683387	0.035849409175	3.1156635201193e-11	0.021519014577881	4.9437830775495e-08	0.07856963404519	0.0087439554679748	0.57048045360635	0.011439155803274	0.01271594709936	1.9401561776063e-11	1.6352170095816e-09	3.2482737057617e-06	0.90943193469121
7.48	1.5544602345223e-42	2.8800174010559e-34	1.5610304138979e-11	0.015371351641162	0.021954820231344	9.980991765772e-11	0.062585022006248	0.15702905719003	0.035842671347256	4.5175174349749e-12	0.021516806532837	4.2767107906276e-08	0.078554832803584	0.008673701073554	0.53243966465863	0.011437000852268	0.012713551809564	1.5988904295666e-11	7.4244224318839e-10	3.3013362206716e-06	0.90943546147714
7.872	-2.2035453320356e-44	1.9412838274943e-35	1.2087123371768e-12	0.015367317822926	0.021949030251228	1.6716371644683e-11	0.05956699163642	0.15099474464849	0.035833236221548	3.1123468365069e-13	0.021513707583464	3.5097869062775e-08	0.078534116050399	0.0085973563345965	0.52949919011991	0.011433984646648	0.012710199005134	1.2904891181056e-11	4.2886229832984e-10	3.391862743091e-06	0.9094403990159
8	2.9023674943914e-43	8.1772907819908e-36	5.0316093956942e-13	0.015365999987164	0.021947139954621	8.9071447311807e-12	0.058782644012269	0.14913481494811	0.035830155066947	1.2513101995041e-13	0.021512694783751	3.2934962504236e-08	0.078527352524232	0.008587368878107	0.52996112765861	0.011432999927399	0.012709104380811	1.2088877063826e-11	3.8511882169837e-10	3.4230589968196e-06	0.90944201114927
8.2	2.7845796304212e-44	2.2906469528797e-36	1.3475895110052e-13	0.015363940308349	0.021944186711225	3.4226334553644e-12	0.057305328120419	0.14344278708523	0.035825340620924	3.1829226926396e-14	0.02151110963688	2.9862823212735e-08	0.078516785753118	0.0088344591615081	0.57273826348911	0.011431461483892	0.012707394226118	1.0947437479551e-11	3.3748975157581e-10	3.4779540629503e-06	0.90944453011469
8.48	6.1259977512709e-43	4.3241600089449e-37	2.2703256462202e-14	0.015361055778213	0.021940052846992	9.3548693947002e-13	0.055311210081392	0.1376607958042	0.035818600235249	4.9938939147645e-15	0.021508886053104	2.6118539178547e-08	0.078501994696312	0.0087586630320154	0.5389922518525	0.011429308015718	0.012705000398092	9.5688866181034e-12	2.8933837557488e-10	3.5648306978587e-06	0.90944805656393
8.872	-1.1508499586369e-42	4.9272239900521e-38	1.9901988853989e-15	0.015357015944483	0.021934266722508	1.6284982997673e-13	0.053632573234725	0.13466920297818	0.035809163722247	3.925446610037e-16	0.021505765422776	2.179235837279e-08	0.078481291816853	0.0086774394755759	0.53568632705551	0.011426293830011	0.012701649781484	7.9824163181019e-12	2.3855673896919e-10	3.7038359491782e-06	0.90945299324147
9	-5.4316757129002e-42	2.4451348514441e-38	8.6762030804574e-16	0.015355696528428	0.021932377666098	8.9076520789663e-14	0.053210064383814	0.13372541954596	0.035806082462162	1.6556215331364e-16	0.021504745836222	2.0567363119637e-08	0.078474532731898	0.0086646484373892	0.53584234470836	0.011425309757369	0.012700555870615	7.5336192635617e-12	2.2442593439866e-10	3.7503138385824e-06	0.90945460500353
9.2	-7.4005207440944e-43	8.6585258186012e-39	1.8324960985522e-10	0.015353634697243	0.021929426543332	6.3390629706035e-10	0.052395787719508	0.13054064426916	0.035801268956924	5.0093143955505e-11	0.021503150807067	1.8796856173487e-08	0.078463972675129	0.0088812139485972	0.57400963401119	0.011423772291422	0.01269884705562	9.1714198910135e-12	2.1199373431753e-09	3.8316278735116e-06	0.90945712315948
9.48	-5.4108050455204e-42	2.2361542506962e-39	3.4177092000196e-11	0.015350747792282	0.021925295502657	1.9757747356165e-10	0.051165600500679	0.12661455110703	0.03579453021243	8.7381634541146e-12	0.021500913715631	1.6657714434099e-08	0.07844919092163	0.0088027004746772	0.54273541828471	0.011421620177741	0.012696455044775	6.7560074351392e-12	7.1730731882107e-10	3.9497119212921e-06	0.90946064837821
