# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_ButyricValeric [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_hydroM [g]	Valeric [g]	MO_acetoM [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	MO_Propionic [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
2.872	5.388151229582e-19	3.648864541251e-13	2.658058148055e-05	47.129068414992	67.319666580284	0.00059829336464111	9.4797738995548	2.2634588768547	11.743232776409	109.89870123623	7.4984122783986e-06	65.782964624283	0.017840975851699	240.87282588517	0.84728776838524	1.4468090349337	2.2940968033189	35.069296418604	38.982908755158	9.0513109621154e-09	1.5130850325722e-07	1.6035981421934e-07	2.1113933401004
3	4.6916165032083e-20	1.1666389953031e-13	1.0282482473055e-05	47.124384519168	67.312517302448	0.00030152104410922	8.8830647649443	2.1812831018944	11.064347866839	109.88736006945	2.7939584952525e-06	65.796880214593	0.01656974565168	240.84723706623	0.71945322099518	1.4308235022218	2.1502767232169	35.065570876442	38.978787095682	7.6230572072476e-09	8.8386231422971e-08	9.6009288630219e-08	1.6444955019302
3.2	5.6838185748615e-22	2.0739229362381e-14	0.0010371316086893	47.117018684954	67.301517509797	0.0044312158145638	8.2768708508099	2.2028922610163	10.479763111826	109.87021719687	0.00036357391752319	65.811912127952	0.014629207584931	240.80726001531	0.595011483638	1.964501319831	2.559512803469	35.059750514569	38.972528126156	2.2567962103537e-08	1.3131078473352e-06	1.3356758094388e-06	1.5070802731304
3.48	-1.0616040756246e-23	1.9185837686818e-15	0.00014709672400941	47.10662185546	67.286017030385	0.0011598027108726	7.1390255014514	1.8182521402525	8.9572776417039	109.84589104909	4.7532292743076e-05	65.825022979163	0.012443081692749	240.751303314	0.44283201289221	1.5370889693687	1.9799209822609	35.051603634265	38.963700851142	9.0353078453476e-09	3.0344423539374e-07	3.1247954323909e-07	0.93233944140465
3.872	3.5354663668517e-25	6.0561082752658e-17	9.5882648887235e-06	47.091932588376	67.26414926632	0.00017334210475188	6.0868098028522	1.6256291720911	7.7124389749433	109.81090229913	2.7254373410327e-06	65.831183004899	0.0099429994769236	240.6729857636	0.3276020979232	1.4795237603906	1.8071258583138	35.040201180289	38.951092320443	4.5623523339146e-09	5.250094948388e-08	5.7063301817795e-08	0.43502216902218
4	3.1049999309548e-26	1.9527880610761e-17	3.7225553492622e-06	47.087108768243	67.257004360097	8.7653705256179e-05	5.8196924921673	1.5678688433906	7.3875613355578	109.79940714654	1.0193370079388e-06	65.831223646195	0.0092383319148631	240.6474181816	0.30615247150012	1.4825997665713	1.7887522380714	35.036478730115	38.946960029737	3.9990069532525e-09	3.1890883035489e-08	3.5889889988741e-08	0.32272565009015
4.2	3.9709192934479e-28	3.5292427439564e-18	0.00026844436564943	47.079546206771	67.245885266343	0.0010528973012245	5.4044681297207	1.4411192880565	6.8455874177772	109.78157400794	9.3088704442926e-05	65.830072677425	0.0081924280121204	240.60747424886	0.31059790351098	1.9172040241901	2.2278019277011	35.030663189952	38.940546784285	7.3882032784784e-09	3.3828513003095e-07	3.4567333330943e-07	0.27275687981424
4.48	-7.3613575828203e-30	3.3545943784733e-19	3.8280570974248e-05	47.068913087958	67.230294837747	0.00027469451703625	4.7899736951322	1.2433949563157	6.0333686514479	109.75650496499	1.2265888884256e-05	65.825255832552	0.0069794970367918	240.55156376203	0.29031108309405	1.6239951998798	1.9143062829738	35.02252303792	38.931552723891	3.781866467885e-09	8.2368609134315e-08	8.61504756022e-08	0.15318102690521
4.872	2.4776804820448e-31	1.1094107590709e-20	2.5317965925104e-06	47.053953966298	67.20842977207	4.1397457364046e-05	4.199185848261	1.1130715279286	5.3122573761896	109.72115227458	7.1472934102018e-07	65.813786038651	0.0055901276267636	240.47331072994	0.27493727316259	1.608368022967	1.8833052961296	35.011129976952	38.918903849661	2.3857584697326e-09	1.7091057185039e-08	1.9476815654771e-08	0.10539799656291
5	2.2148365474073e-32	3.637066159515e-21	9.8923827921668e-07	47.049054604579	67.201290157111	2.1041632016923e-05	4.0420180591159	1.0744938228875	5.1165118820034	109.70958584909	2.6908978259354e-07	65.809615271761	0.0051986881337068	240.4477642176	0.27281430639984	1.6178446087018	1.8906589151016	35.007410594257	38.914770683026	2.1604367242852e-09	1.153785802176e-08	1.3698294746045e-08	0.10055746131456
5.2	3.0057329170701e-34	6.7690454378294e-22	5.2353591226281e-05	47.04138590104	67.190144270214	0.00019853726958649	3.7546968784073	0.96672743928366	4.721424317691	109.69153032117	1.7772309621827e-05	65.803098978071	0.0046300606164995	240.40785322846	0.28948511577008	1.9308322612862	2.2203173770563	35.001599850296	38.908321159402	2.6427680079363e-09	6.9685080069257e-08	7.2327848077194e-08	0.10403677220154
5.48	-5.8051350746492e-36	6.7549716969591e-23	7.5771643380557e-06	47.030625599512	67.174538002231	5.2208973500596e-05	3.3940268627904	0.86850184414944	4.2625287069399	109.66622193594	2.379870364687e-06	65.793785620745	0.0039558452538837	240.35198896427	0.28604804295137	1.7285199154961	2.0145679584475	34.993466427823	38.899290215167	1.7785983754799e-09	1.9614484675046e-08	2.1393083050526e-08	0.098193464137285
5.872	2.0221941593954e-37	2.4579070505122e-24	5.1498189706753e-07	47.015522486554	67.152686721759	8.0109198992408e-06	3.0580117049789	0.7970969773688	3.8551086823477	109.63072533529	1.4276972858515e-07	65.780449832724	0.0031825245915337	240.27380078963	0.28282845546312	1.722331377325	2.0051598327881	34.982082809578	38.886639010103	1.3076083443166e-09	5.9600995626855e-09	7.267707907002e-09	0.097175961122378
6	2.8221110570768e-38	8.342371747422e-25	2.0352167744606e-07	47.010583111467	67.145552847043	4.1068320687492e-06	2.96933524293	0.77547732845262	3.7448125713826	109.61912730791	5.4389980952562e-08	65.776074865977	0.0029647062290701	240.2482754649	0.28269931312761	1.7287191546546	2.0114184677822	34.978366511639	38.882508175089	1.2068590263839e-09	4.6721555007545e-09	5.8790145271384e-09	0.097308816851982
6.2	-1.1928114957022e-39	1.6472486756721e-25	8.151497671519e-06	47.002858369935	67.134408920308	3.0530396091479e-05	2.8055739246908	0.71335102253979	3.5189249472306	109.60100484661	2.6720501958417e-06	65.769238553467	0.0026522925008851	240.20839757417	0.2961269133098	1.9542442868414	2.2503712001512	34.972560586554	38.876055721579	1.1878199916979e-09	1.3231507248826e-08	1.4419327240524e-08	0.098111805897851
6.48	9.0299747909441e-38	1.815246047758e-26	1.2132907800377e-06	46.99203134251	67.118809760751	8.1699016102915e-06	2.6030346443943	0.65950240255139	3.2625370469457	109.5756238717	3.6845989555258e-07	65.759651065333	0.0022769797409773	240.15257964685	0.29392056016725	1.7972752595035	2.0911958196708	34.96443391038	38.86702355048	9.4597241588141e-10	5.1591731356278e-09	6.1051455515092e-09	0.098732453344436
6.872	-1.9285762298914e-39	8.1319714045462e-28	8.6568883526742e-08	46.976853821832	67.096975712063	1.2945404553672e-06	2.4160742563729	0.6203178070884	3.0363920634613	109.54007402191	2.3274470433002e-08	65.746196579934	0.0018460945415368	240.0744563383	0.29148567109277	1.7890813913904	2.0805670624832	34.953059736158	38.854380304312	7.4760785056741e-10	2.6008990870577e-09	3.3485069376251e-09	0.10026809988483
