Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
10.872	1.0625108566869e-14	1.2473088567308e-13	4.2508738995256e-09	2.2061880666192e-15	1.0521877484947e-08	-0.0002094851944086	8.6680437659842e-14	0.11536636409131
11	5.159528002293e-15	7.4472916098621e-14	4.2418595287584e-09	1.0406958290898e-15	1.0658335822232e-08	-0.00020234995714654	8.6675072635889e-14	0.11537349945597
11.2	5.9347011123096e-13	2.3503273961134e-12	4.2221207901602e-09	1.3531821360657e-13	1.0890154430909e-08	-0.00019238330594654	8.6667579993242e-14	0.11538346632223
11.48	1.3713194628844e-13	8.4514682883637e-13	4.1734337269024e-09	2.9513353151886e-14	1.1171752167284e-08	-0.00018054064041237	8.6658679108547e-14	0.1153953092186
11.872	1.9019321685169e-14	2.0804637619848e-13	4.1519878182054e-09	3.7734693669525e-15	1.1553146920222e-08	-0.00016735893877808	8.6648774380315e-14	0.11540849127938
12	9.6290361905347e-15	1.2806755910043e-13	4.1492230414002e-09	1.8587629229909e-15	1.1669253003305e-08	-0.00016373087663288	8.6646048732917e-14	0.11541211945478
12.2	7.0258535835524e-13	2.8518513024047e-12	4.1409686937736e-09	1.5254810753823e-13	1.1867382003979e-08	-0.00015865983531311	8.6642239346222e-14	0.11541719068953
12.48	1.7489995164155e-13	1.0768258999119e-12	4.1053702316227e-09	3.5957669311483e-14	1.2083440898443e-08	-0.00015263125294431	8.663771122772e-14	0.11542321944994
12.872	2.6687540788507e-14	2.8213102853574e-13	4.0971430320631e-09	5.085159307991e-15	1.236445215236e-08	-0.00014591817560051	8.6632669610841e-14	0.11542993279908
13	1.3892182811314e-14	1.7719779908623e-13	4.0979721311029e-09	2.5782505080809e-15	1.2448002902777e-08	-0.00014406952591126	8.6631281368189e-14	0.11543178153303
13.2	7.1417964951601e-13	2.9894308765766e-12	4.0963147265312e-09	1.4777459571297e-13	1.2594968254273e-08	-0.00014148267972177	8.6629338843951e-14	0.11543436852819
13.48	1.8643668835948e-13	1.1632182758422e-12	4.0681120225268e-09	3.660072835708e-14	1.2736111499082e-08	-0.00013840466490118	8.6627027680903e-14	0.11543744665348
13.872	3.0170950707385e-14	3.164348431283e-13	4.0672620404485e-09	5.5073104557685e-15	1.2916648924363e-08	-0.00013497474080653	8.6624452421338e-14	0.11544087675622
14	1.5969720353906e-14	2.0110113550326e-13	4.0700758064545e-09	2.8410934808767e-15	1.2969626804243e-08	-0.00013402936203698	8.6623742639235e-14	0.11544182219065
14.2	6.7510327823236e-13	2.9008937225814e-12	4.0720478449177e-09	1.3301129046737e-13	1.3069611030145e-08	-0.00013270389654836	8.6622747493265e-14	0.11544314776158
14.48	1.812079058045e-13	1.1477707242009e-12	4.0478393656264e-09	3.3913359949582e-14	1.3150114714562e-08	-0.00013112437749772	8.6621561698475e-14	0.11544472733458
14.872	3.0333066874749e-14	3.1881977125063e-13	4.0508987701529e-09	5.2880000168295e-15	1.3254905374055e-08	-0.00012936211064739	8.6620238722787e-14	0.11544648970827
15	1.6208746666548e-14	2.0393899999048e-13	4.0547514337353e-09	2.7549984221441e-15	1.3285667666721e-08	-0.00012887561006646	8.6619873500219e-14	0.11544697624334
15.2	6.7367673832303e-13	2.9394959638113e-12	4.0586410627807e-09	1.2677623436338e-13	1.3354467191518e-08	-0.0001281908877499	8.661935945399e-14	0.11544766104186
15.48	1.836887566518e-13	1.17346492181e-12	4.0365193997859e-09	3.2857134694534e-14	1.3392886506985e-08	-0.00012737268617203	8.6618745269106e-14	0.11544847925738
15.872	3.1337539894412e-14	3.2966619301897e-13	4.041559667559e-09	5.2267202293825e-15	1.3448351909391e-08	-0.0001264580884326	8.6618058705489e-14	0.1154493939146
16	1.6835437127147e-14	2.1162720408221e-13	4.0459288779435e-09	2.7382643749964e-15	1.3465083745702e-08	-0.00012620489846316	8.6617868641656e-14	0.11544964712554
16.2	6.5371362446774e-15	1.0695908579882e-13	4.050468164182e-09	1.0242802460472e-15	1.3489360748146e-08	-0.00012584947579912	8.6617601836342e-14	0.1154500025769
16.48	1.7990760355418e-15	4.1827609536481e-14	4.029039272708e-09	2.6805917408389e-16	1.3519227706035e-08	-0.00012542318795422	8.6617281856824e-14	0.11545042887311
16.872	3.1040127581162e-16	1.1581300534354e-14	4.0348707804783e-09	4.3150142166569e-17	1.3553414952064e-08	-0.00012494078586702	8.661691973757e-14	0.11545091131519
17	1.6730607488993e-16	7.4122773863977e-15	4.0394775520767e-09	2.2683640743735e-17	1.3562947576679e-08	-0.00012480604117842	8.6616818588787e-14	0.11545104607401
17.2	5.3001563617221e-13	2.2837109276816e-12	4.0447392854346e-09	9.2619443190712e-14	1.3594659064727e-08	-0.00012461300911608	8.6616673670021e-14	0.11545123914594
17.48	1.4656576374605e-13	9.1887091722617e-13	4.0241587113065e-09	2.4359268414313e-14	1.3597970972125e-08	-0.00012437895322559	8.6616498005277e-14	0.11545147318275
17.872	2.5436954346288e-14	2.6078572068805e-13	4.03065396167e-09	3.9454761105104e-15	1.3610632929158e-08	-0.00012411379219546	8.6616298967755e-14	0.11545173836214
18	1.3733905819571e-14	1.6796049726718e-13	4.0354038930502e-09	2.0777768679851e-15	1.3615097473102e-08	-0.0001240392469192	8.6616243009167e-14	0.11545181291652
18.2	4.4074201661731e-13	1.958063471848e-12	4.0408301096812e-09	7.4889302117793e-14	1.3634887952097e-08	-0.00012393107793541	8.6616161798794e-14	0.11545192111301
18.48	1.2228519243813e-13	7.8826215676782e-13	4.0204368150733e-09	1.9764610455702e-14	1.3633794762926e-08	-0.00012379822429844	8.6616062099688e-14	0.11545205394362
18.872	2.131177573517e-14	2.2404162770515e-13	4.0270850803078e-09	3.2153336888165e-15	1.3639803995285e-08	-0.0001236453131896	8.6615947321109e-14	0.1154522068667
19	1.1521589715516e-14	1.4438218978897e-13	4.0318730013053e-09	1.6955508752997e-15	1.3642225394331e-08	-0.00012360160872457	8.6615914512828e-14	0.11545225057828
19.2	3.9243270769404e-13	1.7385233806822e-12	4.0373418746262e-09	6.5442612353334e-14	1.3656261348569e-08	-0.00012353675681061	8.6615865820342e-14	0.11545231545174
19.48	1.0913635733199e-13	7.0070644905682e-13	4.0170368038901e-09	1.7313540589741e-14	1.3653081024157e-08	-0.00012345539656706	8.661580477287e-14	0.11545239678713
19.872	1.9077491021854e-14	1.9950107483734e-13	4.0237488166429e-09	2.8254803412535e-15	1.3655646167441e-08	-0.00012335947876337	8.6615732774925e-14	0.11545249271361
20	1.0323810258943e-14	1.2864776406109e-13	4.028551613388e-09	1.4914868472533e-15	1.3656993147655e-08	-0.00012333142130953	8.661571171177e-14	0.11545252077713
