# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
20	-0.10136614950684	0.0083630070736188	0.0020466244155502	0.0021690927903864	0.0066848771325	0.00036621098468593	0.19875717774238	0.083918104820513
20.2	-0.10061421549316	0.0082920790382018	0.0020277860510152	0.0021457739093722	0.0066199474265113	0.00036187787672227	0.19670805680318	0.083366397937778
20.48	-0.09955710112793	0.0081936130329623	0.0020018891821957	0.0021141363310533	0.0065305026492372	0.00035604865419476	0.19385112968855	0.082579243985567
20.872	-0.098069203463542	0.0080571418178055	0.0019664782366734	0.0020715910250126	0.0064079776086267	0.00034830357790386	0.18987454597999	0.081451876567159
21	-0.09758098968099	0.0080127638880289	0.0019550964177641	0.0020580564695674	0.0063685693545728	0.00034586430551956	0.18858176715755	0.081078290994597
21.2	-0.072734029148763	0.0079412580073517	0.0019368365396009	0.002036604302943	0.0063053836848444	0.00034202341976882	0.18661460209512	0.080466628013708
21.48	-0.095725812900391	0.0078466882388546	0.001912575478795	0.0020083954130546	0.0062213095484771	0.00033697293438761	0.18380575168371	0.079634846462797
21.872	-0.094226785654297	0.0077140178204543	0.0018792388519647	0.0019699398415568	0.0061058575897831	0.00033018968329906	0.17989493392687	0.078454824432208
22	-0.093734586028646	0.0076706213719534	0.0018684708528556	0.001957587847476	0.0060686103377152	0.00032803431069129	0.17862346171996	0.078065989974109
22.2	-0.070611998723958	0.0076008100690079	0.0018511879840304	0.0019379341055722	0.0060089334138781	0.00032462349039349	0.17668332979987	0.077435165169911
22.48	-0.091868063330078	0.0075077534992665	0.0018280439122955	0.0019118391247744	0.0059290241491874	0.00032009606034945	0.1739206195666	0.076575757168745
22.872	-0.090358505797526	0.0073769444629753	0.0017960356669006	0.0018759197221948	0.0058187626652659	0.00031394347966159	0.17007368758315	0.075362545268283
23	-0.089863133264974	0.0073340796739416	0.0017856510214783	0.0018643042543885	0.005783064510495	0.00031197192101197	0.16882286884851	0.074963972646265
23.2	-0.067439512141927	0.0072652353039208	0.0017689654319801	0.0018457674907408	0.005725828360483	0.00030883593662246	0.1669103002088	0.074320557584989
