# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
8	0.0037726481990152	116.37409059035	0.0011482284208227	0	0.16462393304293	2.1521707451354	1.4426784761442	3.5563166196277	0.042879651005439	0.0021202588208324	2.0106283589489	0.0032839719631526	0.1135586499893	1.1641729050549	1.9940641317927	0.00036105761109658	0.33671089043464	7.1863790658165	0.023891098167033	6.2495509546734e-08	0.032072194099058	1.0879242695248	0.037458583688912	0.0087991599577156	0.0087991599146657
8.2	0.003708724014114	116.3760834985	0.0011160851877163	0	0.15680055772834	2.1435794227031	1.4445540245355	3.5589939746904	0.040067929782903	0.002042266833002	2.0113845881747	0.0031923674163171	0.10673332437267	1.1641639508377	1.9939485156177	0.00034679163271973	0.33035568619428	7.1862985955364	0.023349240251236	6.1659698684271e-08	0.029753025821307	1.0880200829186	0.036662927531492	0.0075286730706508	0.0075286730338462
8.48	0.0036600651457879	116.37885948453	0.0010834097793002	0	0.14686642118973	2.1316091917132	1.4470535639888	3.5625007994034	0.036506365782516	0.0019569584866279	2.0123578588485	0.0030997911167685	0.096317005205946	1.164133433237	1.9937642139218	0.00033074362627497	0.32172750817539	7.1860948296165	0.022092105574519	6.0790236088158e-08	0.026817144812729	1.0881227922703	0.035971292731898	0.0060363862346102	0.0060363862051286
8.872	0.0036715888065043	116.38271844448	0.0010599278317233	0	0.13472806133027	2.1149631764869	1.4502738643058	3.5669371546863	0.032171234677147	0.0018800905364784	2.0135617647011	0.003035001467432	0.085814940681612	1.1640590022207	1.9934668559029	0.00031519077060216	0.3102927443443	7.1856498438432	0.020618183103776	6.0147556558904e-08	0.023246979327449	1.0882117943926	0.035585704914976	0.0044152386151485	0.0044152385936065
9	0.0036859300772064	116.38397184955	0.001056323814743	0	0.13114857596049	2.1095558652952	1.451259326797	3.5682792981832	0.030896965043627	0.0018619984409316	2.0139205201204	0.0030258016250897	0.083008371433815	1.1640280333891	1.9933614363945	0.00031141090982002	0.30672036175653	7.1854702688342	0.02020325627758	6.003178407355e-08	0.022198402687838	1.0882291307532	0.035555219144792	0.0039790388800494	0.003979038860641
9.2	0.0037439228517943	116.38592356466	0.0010564365141566	0	0.12591210538176	2.1011346178652	1.4527190147919	3.5702572490231	0.029037041354373	0.0018469555164078	2.0144420901962	0.0030273505235344	0.079406877236873	1.1639727210434	1.9931882614394	0.00030708183174142	0.30133760464983	7.1851555315294	0.019906446982304	6.0047921140321e-08	0.020668762650607	1.0882447496064	0.035623798821938	0.0033837280639993	0.0033837280475009
9.48	0.0038707634077269	116.38864228403	0.0010687087908377	0	0.1192515424756	2.0894013476145	1.45459412253	3.5727880658998	0.026679740748573	0.0018465968195244	2.0150944633382	0.0030638095576448	0.073810184164665	1.1638823261096	1.9929301041722	0.00030432991425621	0.29432491273684	7.1846524123014	0.018954637432645	6.0388365658129e-08	0.018731798041951	1.0882454354892	0.035962803568314	0.0027054472350791	0.0027054472218934
9.872	0.0041206038711249	116.39242194512	0.0011051016682693	0	0.11109163062387	2.073084848751	1.4568875937743	3.5758844890174	0.023807835046262	0.0018760485578332	2.0158625927357	0.0031715090182389	0.068213157776797	1.1637334277099	1.992541758658	0.00030560533600077	0.28551010846632	7.1838393662516	0.017710147939365	6.138351789943e-08	0.016375285786539	1.0882099818985	0.0368578637911	0.0020075286753493	0.0020075286655695
10	0.0042037878099774	116.39364961186	0.0011194472397806	0	0.10868005542909	2.0677845888454	1.4575651905748	3.5768015547402	0.022963023504718	0.0018878934950731	2.0160837998092	0.0032145726877769	0.066732361046379	1.1636804367249	1.9924095776653	0.00030671838069728	0.28284670366077	7.183551315508	0.017350573884438	6.175286436831e-08	0.015682900703204	1.0881908363606	0.037212817376487	0.0018279988433543	0.00182799883445
10.2	0.0043614400672677	116.39556135834	0.0011452901623043	0	0.10514670232077	2.0595300613527	1.4585479752712	3.5781353466544	0.021729273996347	0.0019133640394359	2.0163974024023	0.0032920142988267	0.064921534347329	1.1635930329376	1.9921975343537	0.00030925408030552	0.27892286358066	7.183077962057	0.01708071651506	6.2474465646571e-08	0.014672590755818	1.0881534825481	0.037855021538076	0.0015920526854814	0.0015920526777277
10.48	0.0045921744504393	116.39822464078	0.0011869103695164	0	0.10064156602023	2.0480290823935	1.4597823852842	3.579821820726	0.020164269225995	0.0019525535686246	2.0167784614224	0.0034177964171899	0.061873870020658	1.1634626641279	1.99189107051	0.00031402157081451	0.27387117078161	7.1823748763171	0.016302072359137	6.359526162883e-08	0.013392697755342	1.088087964694	0.038902462328187	0.0013383674646937	0.0013383674581765
10.872	0.0048858035130909	116.40192772668	0.0012469661702446	0	0.095101637002796	2.0320356145377	1.4612785136384	3.5818897722252	0.018255085804586	0.0019964694414898	2.0172205301388	0.0036063846033909	0.058978036707196	1.1632680819108	1.9914472681231	0.00032101225950219	0.26751222921315	7.1813238068037	0.01540061857607	6.5109164451563e-08	0.0118345297182	1.0879746227956	0.040536354666312	0.0010976998498487	0.0010976998445042
11	0.004962181431766	116.40313059497	0.001264895295427	0	0.093459288780865	2.0268402955568	1.4617233138391	3.5825095953752	0.017692846098493	0.0020049821174898	2.0173488468431	0.00366511343043	0.058240974635225	1.1632024661072	1.9912996335231	0.00032290311860614	0.26556474595363	7.1809670560505	0.015165721138103	6.5520955327325e-08	0.011376452801564	1.0879331884565	0.041067532682195	0.0010391975525756	0.0010391975475162
