# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
5.2	8.0184613499997e-06	1.3266580574377	2.701888649065e-06	0	0.0043086483188137	0.02595413019973	0.01610259535747	0.039933926728	0.0013732027911524	5.5675923167548e-06	0.022591018820957	8.0123452521156e-06	0.28296937949918	0.66107427754628	0.013256328703519	0.022731166767436	9.5150276503159e-07	0.00045658057248777	0.081853584440093	0.064079837263067	0.64802745870307	9.5686500493445e-08	5.3699535474102e-06	0.0010971663283862	0.01235394132243	0.00045041848543344	0.91056058870798
5.48	7.3300175680374e-06	1.3274038803874	2.4509241207497e-06	0	0.0039235677684209	0.025823053229299	0.016147830596223	0.04003639536508	0.0012323941641496	5.0083967721246e-06	0.022667518465028	7.2029987954292e-06	0.27008971054779	0.54792888346654	0.013267663111711	0.022747023319342	8.5705118484137e-07	0.00045073720713726	0.081918955653737	0.06088538685799	0.53095522942379	8.9892113680285e-08	5.0286025053137e-06	0.00098053648559974	0.012370030288329	0.0003466801899418	0.91061220614104
5.872	6.5080552253258e-06	1.32833135463	2.1513628255042e-06	0	0.0034543736911281	0.025638399927892	0.016209701281455	0.040167634994777	0.0010610346472213	4.3409733424049e-06	0.02276142505051	6.2623562639504e-06	0.24836254090739	0.51198388415244	0.013281195205174	0.022765756668929	7.4379168515538e-07	0.00044085950252165	0.081997234489124	0.055098745623452	0.51209272493071	8.3030698934203e-08	4.6324756331148e-06	0.00083864275268853	0.012389348161686	0.00022331027400686	0.91067592032564
6	6.2679197884182e-06	1.3286094956157	2.0643655185785e-06	0	0.0033163599790963	0.025577912721187	0.016229561179641	0.040207834264336	0.001010680128297	4.1464162030491e-06	0.022788757431181	5.9925273727449e-06	0.24077466825498	0.50095814588532	0.013285116016558	0.022771132927818	7.1085092570837e-07	0.00043727924148273	0.082019958368781	0.053025515528401	0.50980417641149	8.1023442396146e-08	4.51607396122e-06	0.00079695699775532	0.012394966666795	0.00018892671893596	0.91069490766884
6.2	5.9257337342164e-06	1.3290230524651	1.9387481808016e-06	0	0.0031148437118059	0.025483283302616	0.016260223655803	0.040268157204891	0.00093720873943535	3.8669545872532e-06	0.022827093764954	5.6074693509107e-06	0.23882755289136	0.56731997797191	0.013290795100877	0.022778874937108	6.6306123226785e-07	0.00043129191562766	0.082052939157249	0.050002093467652	0.62453716788822	7.8163259043028e-08	4.3471075524343e-06	0.0007361444426292	0.012403119494869	0.00014381263542783	0.91072300540794
6.48	5.503563995593e-06	1.3295636178909	1.7837879417102e-06	0	0.0028593220143014	0.025350657306649	0.016302362263857	0.040347869576278	0.0008441517495492	3.5208186656434e-06	0.022871799927553	5.1388700867953e-06	0.21396025642373	0.46614159538384	0.013297919297088	0.022788497005059	6.0376045481888e-07	0.00042251261557106	0.08209443964767	0.043875443044005	0.51438512398691	7.4622482480271e-08	4.135801692177e-06	0.00065914163431445	0.012413369653176	9.8744803465955e-05	0.91075946128117
6.872	5.0107500261684e-06	1.3302531510999	1.6013534643865e-06	0	0.0025478512056826	0.025164868275389	0.016359634440338	0.04045092654752	0.00073091826063494	3.1114099266994e-06	0.022919633420279	4.5961440711316e-06	0.18020563184984	0.41196370296865	0.013306454259093	0.022799844936779	5.3332669854273e-07	0.00040943683403443	0.082144378748762	0.035752898707884	0.49746902619	7.0446042573495e-08	3.8874226767842e-06	0.00056548297493982	0.012425692095515	6.4706858491523e-05	0.91080546998127
7	4.8684436659305e-06	1.3304627820748	1.5489454175344e-06	0	0.0024561909618457	0.025104203600544	0.016377903378307	0.040482659232983	0.00069764517388248	2.9928056311208e-06	0.022932762105243	4.4414593005632e-06	0.17032106489515	0.3954610535773	0.013308921132673	0.022803074564122	5.1298446293753e-07	0.0004050156413868	0.082158856853707	0.03354203461187	0.49687517610814	6.9230320936019e-08	3.8140328400719e-06	0.00053797175336607	0.012429267690819	5.8068832553967e-05	0.9108193470353
7.2	4.6734287318012e-06	1.3307758880718	1.4745678787833e-06	0	0.002322305291049	0.025009436797797	0.016405927279954	0.040530335931665	0.00064909491708068	2.8250696774255e-06	0.022951219044825	4.2232970908172e-06	0.15915596885396	0.39267220670584	0.01331247413692	0.022807674792406	4.8381684453463e-07	0.00039797652426567	0.082179768786755	0.03115627267776	0.5965000141668	6.7520698284317e-08	3.7092690581585e-06	0.00049783908203971	0.012434434663177	5.112234131544e-05	0.91083996567235
7.48	4.4444582413884e-06	1.331186257354	1.38551838115e-06	0	0.0021524289355341	0.024876842391965	0.01644399952426	0.040593322812926	0.00058759559685739	2.6217076817731e-06	0.022974038399695	3.9641810556489e-06	0.1392826303903	0.33085312303345	0.013316873643884	0.0228132627883	4.4828137917347e-07	0.00038805540699211	0.082205784094587	0.027792328940807	0.51708708296723	6.5450456571982e-08	3.574717557975e-06	0.00044702290868138	0.012440872893815	4.5626520000124e-05	0.91086678307078
