# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
2.872	0.592795322076	4013.042848495	0.21106490036851	0	30.43148050586	82.268774560799	47.847206587541	117.86584575975	10.53350979621	0.4597680264021	66.422096516422	0.78993762701282	9.6122201175501	1.8712247436025	11.483444861153	39.867882042234	68.523572399148	0.076251407631084	13.74277194834	246.46144869079	2.5941223818491	1.8854731143007	4.4795954961498	6.8895933355699e-06	3.884822650596e-05	4.573781984153e-05	8.6065958119066	36.909124316841	42.750180292094
3	0.5629510967601	4013.0918084054	0.19991148948389	0	28.974332694646	82.058444780306	47.890740856058	118.08975206659	9.998328878971	0.43410193898752	66.534279553239	0.72830804428677	9.5038122681444	1.8467784071839	11.350590675328	39.890618877498	68.547948712796	0.072249186552217	13.923316695028	246.57005716342	2.5760431939942	1.8872815014324	4.4633246954266	6.5295953664258e-06	3.6849098029109e-05	4.3378693395535e-05	8.1628434274443	36.950152269604	41.455437131162
3.2	0.52000703400424	4013.1679769799	0.18367646969184	0	26.849196062314	81.730882727551	47.960310765177	118.42049447892	9.2179811167308	0.39730710669334	66.709011683052	0.6447993130915	10.05664388481	2.3364834349933	12.393127319803	39.923000962205	68.582806101095	0.066364157416286	14.145252901972	246.72670594945	2.5732678588238	2.2995359012491	4.8728037600729	6.0305411788032e-06	3.3833307632499e-05	3.9863848811302e-05	7.5158417373946	37.009591475911	39.273726514503
3.48	0.4666172720991	4013.2739794358	0.16378245690638	0	24.159189490558	81.27449602593	48.060511688937	118.8482530743	8.2305587222988	0.35220772729723	66.952144080524	0.55102138420314	9.8116097011746	1.9310632244646	11.742672925639	39.962668636035	68.625591140118	0.059106797666341	14.392929541651	246.92164511461	2.5238017652466	1.909164493675	4.4329662589216	5.4389140636959e-06	3.0601304729314e-05	3.604021879301e-05	6.697218723055	37.08413417319	36.064132403137
3.872	0.40230278631399	4013.4211841857	0.13998957384432	0	20.888477993676	80.639844047393	48.205375780054	119.38712183481	7.030635386247	0.2984716802064	67.288351034351	0.45064966358687	9.5421198197566	1.8572488691746	11.399368688931	40.008873510795	68.675122986842	0.050371220185824	14.594358617925	247.15221052682	2.4579629511206	1.8645203639064	4.322483315027	4.7646753224232e-06	2.6853653548187e-05	3.161832887061e-05	5.7025522323924	37.17349177621	31.259417772719
4	0.38341697168982	4013.4691894376	0.13306322014862	0	19.927919564269	80.433678351773	48.253609016452	119.55031269444	6.678399468021	0.28278973569411	67.396918539895	0.42298200650381	9.4780084692447	1.8445655837955	11.32257405304	40.022045553262	68.689061248169	0.047826219740796	14.628909255852	247.21832986742	2.4378353900035	1.8622516132676	4.3000870032711	4.5704215688298e-06	2.5759387105353e-05	3.0329808674183e-05	5.4106015840734	37.19943106273	29.631480564749
4.2	0.35615214711828	4013.5439114154	0.12297028016684	0	18.526794408684	80.112600964165	48.329771716796	119.79327065963	6.1647762615738	0.26018038254423	67.56481335929	0.38440620300311	10.055780534081	2.3361900293164	12.391970563397	40.040820470065	68.708738313962	0.044093976679018	14.642917551103	247.31306459656	2.4305277071587	2.2748917402532	4.7054194474119	4.2972497467752e-06	2.4108749031265e-05	2.840599877804e-05	4.9849184731614	37.236920298715	27.027789987436
4.48	0.32214429656523	4013.647956085	0.11050680819217	0	16.752794647554	79.665248288268	48.437770267332	120.11095890408	5.514802311847	0.23222533443278	67.795415424795	0.33896186324239	9.8080988675008	1.9428937566747	11.750992624175	40.063804393028	68.73236249915	0.039464769714162	14.624798584307	247.42964559938	2.3697620797342	1.8760069327284	4.2457690124626	3.9652578292602e-06	2.2259332009564e-05	2.6224589838825e-05	4.4462968600023	37.283733475949	23.363437303324
4.872	0.28117939896073	4013.792528236	0.095546945380984	0	14.594976306943	79.04315652775	48.590961466691	120.51686142058	4.7248454415685	0.1987474722588	68.106178719152	0.28725646384183	9.4515620887683	1.8657770872056	11.317339175974	40.090396195943	68.758653008842	0.033884273049903	14.508234475988	247.56495778686	2.2750117077451	1.8236414004575	4.0986531082026	3.575796800018e-06	2.0068215668409e-05	2.3644012468427e-05	3.7918017780332	37.339442015608	18.270011949664
5	0.26916542584566	4013.8395656732	0.091186263666054	0	13.961057406464	78.84107206909	48.641344041215	120.64098657279	4.4929334045522	0.18896820215896	68.204250634411	0.27254041220387	9.3420027725963	1.8484568589323	11.190459631529	40.097896006557	68.765771349885	0.032256444667523	14.450680512455	247.60309352012	2.2427580026833	1.8194477833048	4.0622057859881	3.4621420514011e-06	1.9421792707309e-05	2.288393475871e-05	3.5996897351083	37.355506221513	16.634378136073
