# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
22	0.45998212468251	0	0.092979899252812	1.76660515642	0.016145762204437	0.79947405329169	1.1223412258239	0.21141784613049	0.090881644028245	0.038721144204616	0.7807684976527	0.086776798690916	0.81093349371508
22.2	0.45774634617924	0	0.092500388483197	1.7610125194225	0.016053795386232	0.79588620778973	1.1178608595858	0.21041410236057	0.090446004413019	0.038476671867708	0.77735766786696	0.086304475988803	0.80687152067965
22.48	0.45468249890191	0	0.091846894665462	1.7536492200412	0.01593640147495	0.79119673227701	1.1116183945219	0.20912632507524	0.089888541220464	0.038148169785884	0.77264501871902	0.085696997671448	0.80114306272518
22.872	0.45029822199479	0	0.090963474744273	1.7430494925187	0.015779027923387	0.78465962189794	1.1029375074673	0.20736374780125	0.089124561722776	0.03771237649693	0.76616029406223	0.084872134379067	0.79271947359296
23	0.44887434403365	0	0.090682001280111	1.7394783997013	0.015728565374364	0.78249698218064	1.1001176140311	0.20678954128247	0.088875622306545	0.037575374356411	0.76406871633108	0.084605005255517	0.7898324091061
23.2	0.44649457594686	0	0.090248751755391	1.7334960321681	0.015647428758935	0.77909340988657	1.0957259639304	0.20585369553225	0.088470518240865	0.037366251758354	0.76082520537056	0.08418208064766	0.78512677733067
23.48	0.44321337204468	0	0.089654713394659	1.7255271703863	0.015543512610279	0.77463308875194	1.0896071064588	0.20464960526134	0.08795066244369	0.037082853188932	0.75633211080447	0.083636236713992	0.77847375353279
23.872	0.43849926040422	0	0.088845298183582	1.7140045320127	0.015402738026848	0.7683950298221	1.0810981103403	0.20299206360369	0.08723389796415	0.036702583006664	0.7501291592184	0.08288811007457	0.76870901851866
24	0.44017327306292	0	0.088161839583494	1.7424925225555	0.015817921288453	0.76452382648197	1.0786253055294	0.20769866717338	0.092387786957652	0.036408160644939	0.74452475732572	0.082594855288238	0.76728903392081
24.2	0.46694309336796	0	0.088918268645353	2.255220828412	0.0196973087217	0.75757018667538	1.4187322972859	0.27571085251852	0.14379800377342	0.036697640372821	0.75122767065387	0.081404371044884	0.7488350598144
24.48	0.48430959248683	0	0.093430771208392	2.6785129715116	0.022118297010535	0.77382495594097	1.8925947935657	0.33156472581022	0.17925766456135	0.038521821951416	0.78987660689765	0.081402639124924	0.71306752194956
24.872	0.49869742015196	0	0.1057066826371	2.9878178714153	0.023678524011558	0.85297968284375	2.5515407590275	0.37550611850764	0.20183475246128	0.043523787214753	0.8944760178219	0.086790173304163	0.65984794582282
25	0.50332078369628	0	0.11099500024748	3.0498694355857	0.024119204417565	0.88814220962864	2.7656026030892	0.38637594693279	0.20689704748137	0.04568294100267	0.93947617661338	0.08964923856416	0.64284206823814
25.2	0.48500636672225	0	0.11932072583298	2.8022803095856	0.021068266548274	0.95884409314611	2.7545623571349	0.34205027180813	0.165477540097	0.049083316958198	1.0103077713771	0.095989128440536	0.62665992311316
25.48	0.48138852614308	0	0.12973874310877	2.5549330498457	0.019910369010736	1.0603183663327	2.7391800460651	0.31298962187773	0.14066277782483	0.053338033762408	1.098942253572	0.10638258734521	0.6152327922803
25.872	0.49314899114801	0	0.14217515790897	2.3257158165378	0.020790876450826	1.1834423372707	2.7177891069953	0.30525870510995	0.13356115214003	0.058416699325642	1.2047538843601	0.12024243466316	0.60753753254967
26	0.4984204249085	0	0.14577012781438	2.2691774365887	0.021307294718847	1.2188380724353	2.7108405071301	0.30674460953688	0.1340974609505	0.059884687069989	1.235341910079	0.12435128651458	0.60548634164618
26.2	0.50706745160552	0	0.15095509790352	2.19758562705	0.022212725347802	1.2691522025279	2.7000188833165	0.31162651908925	0.13650021451087	0.062001847071391	1.2794598750523	0.13026493534541	0.60229606729123
26.48	0.51892858512214	0	0.15740182383499	2.1245152541748	0.023513143406202	1.3306801791267	2.6849411818006	0.32134478656935	0.14135933489356	0.064634019947426	1.3343165756506	0.1375341599523	0.59724367646408
26.872	0.53361144473514	0	0.16501785494834	2.0601786815429	0.025187667672833	1.4022643778411	2.6639738448036	0.33682905330854	0.14877300833626	0.067743235813435	1.3991283886812	0.14596615695128	0.58844804017327
27	0.53785551762477	0	0.16719927414232	2.0454389312072	0.025683460742607	1.4227218782343	2.6571628401131	0.34186763014063	0.15110785627476	0.068633694995587	1.4176934236949	0.14836402187566	0.58516363580344
27.2	0.54382492777829	0	0.1703244565523	2.0276603043522	0.026403442829788	1.4518992153377	2.6465555055995	0.34955751144008	0.15459535937946	0.069909297731958	1.4442917905543	0.15178059808331	0.57968839710848
27.48	0.55094233027645	0	0.17416744978343	2.0108597242111	0.027303270192405	1.4877475888216	2.6317763736317	0.35972560324425	0.15907917953683	0.0714776797488	1.4770023032925	0.15597073333301	0.57144623816678
27.872	0.55877542832418	0	0.17862446778046	1.9978004541639	0.028372541046843	1.5295072882288	2.6112242363337	0.3725215452534	0.16453974997103	0.073296243666993	1.5149448735255	0.16085405837743	0.55914033061526
28	0.56090368920382	0	0.17987987434544	1.9951545122599	0.028680847002119	1.5413631333109	2.6045481004289	0.37632969735836	0.16613194251234	0.073808371086777	1.5256336110874	0.16224360077945	0.55500785526007
28.2	0.56359707257713	0	0.18165605938333	1.9915997514692	0.029113776231302	1.5578678901514	2.594150808666	0.38177689345509	0.16837526985895	0.074532829027796	1.5407579169848	0.16417717960038	0.54833863552384
28.48	0.56684851441776	0	0.18379454334245	1.9896052825919	0.029670165344226	1.5786245281693	2.5796643288978	0.38893773909234	0.171285166085	0.075404822001947	1.5589704740215	0.16663340022977	0.53920417449913
28.872	0.57000354073383	0	0.18618493670604	1.9888623265507	0.030325723359829	1.6019281004881	2.5595191613253	0.39760760042286	0.17471664142919	0.076379058420263	1.5793349764989	0.16943612769599	0.52650851042638
29	0.57076769866334	0	0.18683489206731	1.9888634527385	0.030512743986882	1.6083526775248	2.5529752224485	0.40012700326983	0.17569449779652	0.076643827966252	1.5848739125625	0.17021747354239	0.52240603260486
29.2	0.57149490556266	0	0.18772942456798	1.9883539226349	0.030768369638637	1.6169541934923	2.5427838122799	0.40362603581369	0.17702565312773	0.077008087230907	1.5924991022095	0.17126633648478	0.5159147979966
29.48	0.57228749991463	0	0.18875462444382	1.9888652975709	0.031100196217581	1.6277107600883	2.5285841866302	0.40822242789404	0.17875936284758	0.077425251819051	1.6012422984384	0.17260544387557	0.50721923625478
29.872	0.57248790369145	0	0.18979659374212	1.9893149504251	0.031479344727967	1.6388312454448	2.508837925036	0.41360723960708	0.18071967085675	0.077848600414227	1.610137303595	0.17404495362025	0.49539094019262
30	0.5723818321259	0	0.19005184744865	1.9893185502562	0.031584002571532	1.6416544335053	2.5024235647819	0.41512548063653	0.18125573651515	0.077952119311145	1.6123189440712	0.17442274746056	0.49160642815925
30.2	0.57201056178834	0	0.19037197103027	1.9891621818624	0.031729817492963	1.6453482645831	2.4924339582088	0.41727393871274	0.18199760973767	0.078081712261394	1.6150582429541	0.17493008823084	0.48578471043983
