# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	MO_Acetic [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
5.48	0.52580686955013	11652.252652273	0.26972862901113	0	32.162209087986	70.688538345337	138.46773639517	360.90437180027	107.55246072268	10.550541752459	0.30779813785411	198.52377768174	1.1095293559206	14.324427698594	4.5215716995157	18.84599939811	116.19102005333	198.45604625651	0.096320647369854	33.241960256134	715.49313458073	2.8235876624092	4.2148060660261	7.0383937284352	8.021836265277e-05	0.00051079611035421	0.00059101447300698	8.4982108256578	107.95417359336	3.9922192262868
5.872	0.46154300862797	11652.5093004	0.23459388534541	0	27.962051387108	69.588869319849	138.75625789518	361.96978672446	107.63076015265	9.0327545879729	0.26559492159128	198.69001247594	0.95692176432813	12.860697255128	4.1308929638883	16.991590219016	116.20403202727	198.41434520742	0.083145823425036	33.216279752156	715.43329885282	2.597194266184	4.1112058626493	6.7084001288333	7.4438633884859e-05	0.00048792152736115	0.00056236016124601	7.2446376015088	108.00910933713	3.7315889178622
6	0.4426944390381	11652.59232624	0.22433807712152	0	26.727137194793	69.233492458485	138.85291997439	362.29839131212	107.65454300857	8.5870523941352	0.25324262964167	198.74042296034	0.91293001902672	12.486269595712	4.0356444665529	16.521914062265	116.20558175874	198.39803857207	0.079298182044169	33.186398580684	715.40215310818	2.5375284332275	4.1184016614958	6.6559300947233	7.2786859737002e-05	0.00048172943689836	0.00055451629663536	6.876633576672	108.02308856911	3.6654061971421
6.2	0.415604371883	11652.721153002	0.20944340296761	0	24.924357909805	68.681850477539	139.00605131254	362.79218492496	107.68943258753	7.9369630952246	0.23545127001331	198.81411547321	0.84871719372506	12.496236244776	4.4556141257449	16.951850370521	116.2054474188	198.37003943667	0.073694913244307	32.99750082008	715.34266511427	2.4980679691867	5.0972675756997	7.5953355448864	7.0167325812751e-05	0.00045432329757121	0.00052449062338396	6.3399866823555	108.04123667186	3.4955692891335
6.48	0.38171451660002	11652.899688004	0.19082720147694	0	22.638901491384	67.916937962379	139.22380465456	363.44519769666	107.73412480284	7.113947152989	0.21319835800319	198.90823762453	0.76952797513981	11.647013676156	3.7595601116732	15.40657378783	116.20046335879	198.3261064283	0.066677767087777	32.694478010262	715.23903771276	2.3796412463241	4.3005102948089	6.680151541133	6.7117743875803e-05	0.00043489468202606	0.00050201242590186	5.6608169687503	108.05971048781	3.3515326214321
6.872	0.34134188809927	11653.14611108	0.16856840101159	0	19.853463726788	66.860375894003	139.53171810985	364.29431108368	107.79040262646	6.1130224956379	0.18659835547008	199.02682018073	0.67616226802094	10.777048222825	3.5259193627853	14.30296758561	116.18520672206	198.25637706856	0.058259520097682	32.207074033085	715.05854910654	2.2382187275568	4.2078802751392	6.446099002696	6.3717517239906e-05	0.00042164501725385	0.00048536253449376	4.8352654622333	108.07352621188	3.2193853279875
7	0.32954413228286	11653.225771589	0.16209579021497	0	19.033831196695	66.518931799238	139.63261102469	364.55735923099	107.80747940361	5.8190198518545	0.17883040869931	199.06285208906	0.64920888838203	10.554390668076	3.4681875978988	14.022578265975	116.17844649115	198.23183008901	0.055807808962745	32.035021647175	714.99192642194	2.1990116993998	4.2111391046524	6.4101508040522	6.2734123041054e-05	0.00041795160536299	0.00048068572840405	4.5928817637941	108.07542752163	3.1842065899244
7.2	0.31286321718542	11653.349386495	0.15275170568708	0	17.836605411926	65.988916831081	139.78988485728	364.95333494654	107.83248765805	5.3901125461803	0.167718949317	199.11559845725	0.61005544466991	10.634348130024	3.7970569661537	14.431405096178	116.16619545876	198.19180282515	0.052254030707728	31.606633827412	714.88063972749	2.1809127313606	5.071234169329	7.2521469006896	6.1165906114664e-05	0.00040136737829658	0.00046253328441124	4.2393881671455	108.07595826862	3.0927363405247
7.48	0.29232355406059	11653.5207136	0.14117512748462	0	16.317452816218	65.253991719893	140.00824263806	365.47750800856	107.86433217091	4.8469485199862	0.15392374552512	199.18286514178	0.56184010786161	10.087740038421	3.2980665721233	13.385806610544	116.14586740342	198.13262177806	0.047829983938129	30.992239149408	714.71133356343	2.0934409392282	4.3605509991251	6.4539919383533	5.9331594594809e-05	0.00038911780917121	0.00044844940376602	3.7919453448805	108.07212361146	3.0175778072491
7.872	0.26852643421287	11653.757210792	0.12752947726021	0	14.463343213227	64.238849076654	140.30694284546	366.15706826373	107.90364779964	4.1860565706982	0.13762610398721	199.26644233794	0.50533700000377	9.5437970820372	3.1531942449094	12.696991326947	116.11189373085	198.04430308684	0.0425707773852	30.123133611392	714.45077060091	1.9821116627422	4.2670457492638	6.2491574120061	5.7303292354243e-05	0.00038151865835414	0.00043882195070838	3.2479354186074	108.05879751555	2.9539061120595
