Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
5.48	6.2360439345604E-9	2.0816781566024E-8	4.9114609699028E-8	2.0627941155994E-9	1.63395457394844E-6	-0.0065554680683348	1.78130888654426E-13	0.22459791529326	
5.872	5.4329643712214E-9	1.79631475903232E-8	4.4788135004424E-8	1.77682185550426E-9	1.0447293489467E-6	-0.0049589599728084	1.76859065527246E-13	0.22619382616132	
6.0	5.2026395686774E-9	1.7154131108085E-8	4.3322964291338E-8	1.69466893020596E-9	8.820448809669E-7	-0.0045209597304746	1.76514041382332E-13	0.22663165904564	
6.2	4.8731628467788E-9	1.60098192753662E-8	4.2857167298002E-8	1.57658080569018E-9	6.6953707023402E-7	-0.0039119928884674	1.76037070375982E-13	0.2272404113886	
6.48	4.468274558563E-9	1.46217695179796E-8	3.8250923937708E-8	1.4306543210145E-9	4.579768279063E-7	-0.0031942044112034	1.75478894944292E-13	0.22795798176582	
6.872	3.99664155154E-9	1.30295658922366E-8	3.2087167910384E-8	1.25913007480674E-9	2.9873267377926E-7	-0.002404356522658	1.748696424706E-13	0.22874766192456	
7.0	3.8620430976616E-9	1.2578621014933E-8	3.0293523850634E-8	1.20991209431E-9	2.6773973558288E-7	-0.002188414633963	1.74703971889594E-13	0.22896357011022	
7.2	3.6715813766552E-9	1.19444025709482E-8	2.8265710923308E-8	1.13956037159264E-9	2.3530282962276E-7	-0.00188812895250342	1.74474225689704E-13	0.2292638204321	
7.48	3.444376584106E-9	1.11937426303028E-8	2.4687730996018E-8	1.05418454529718E-9	2.0961067114344E-7	-0.00153307428153922	1.74203526281598E-13	0.22961884476416	
7.872	3.1946507708584E-9	1.03777630313654E-8	2.1037664346218E-8	9.5715800502266E-10	1.92051149994208E-7	-0.00114047203931238	1.7390539354636E-13	0.23001142462552	
8.0	3.1267929422912E-9	1.01576718223488E-8	2.007236252069E-8	9.3006810905812E-10	1.88468641837106E-7	-0.00103301072199718	1.73824008083912E-13	0.23011888106158	
8.2	3.0372631907674E-9	9.8678424657828E-9	1.88499337407032E-8	8.927318601547E-10	1.84339512682788E-7	-8.8382688984234E-4	1.73711178711836E-13	0.23026805912462	
8.48	2.946062707511E-9	9.5742804554138E-9	1.69926205503422E-8	8.5076147374028E-10	1.80718746846236E-7	-7.0860054880704E-4	1.7357888255484E-13	0.23044327955952	
