# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
23	8.8220889337221e-38	4.6815127948215e-08	2.5775697261737e-06	2.3929791756838e-06	4.6265253154689e-06	3.1465445713122e-07	6.9430092233527e-52	0.50586629869109
23.2	6.8193875352846e-38	1.343238390943e-06	2.3096540644501e-05	1.0916618262666e-05	4.3793324949903e-06	7.8593337332375e-06	4.0080984679009e-52	0.50568150124666
23.48	-1.3381322845847e-37	3.5801421179925e-07	9.3610847823218e-06	4.9438462056825e-06	4.0649088678522e-06	2.2012793699319e-06	1.8848391541213e-52	0.50562858431567
23.872	-2.219414377782e-37	5.9012298051026e-08	2.6865670836898e-06	2.1455759824153e-06	3.6647400851395e-06	3.8847603087792e-07	6.7156240228223e-53	0.50551008828422
24	-7.9093097212067e-38	3.1260215396491e-08	1.7376206384556e-06	1.7455698228466e-06	3.543067808878e-06	2.1093382933418e-07	4.7129590982793e-53	0.50546642651042
24.2	-2.6003098746432e-38	4.106317401153e-07	8.2482311162432e-06	4.5563218659926e-06	3.3589806248588e-06	3.3634531108088e-06	2.7267510596361e-53	0.50532623779854
24.48	-4.5350452786488e-39	1.0959917641938e-07	3.3323879383371e-06	2.3114355324379e-06	3.1212190617841e-06	9.4331697475051e-07	1.284422777768e-53	0.5052545699497
24.872	1.7630679486772e-37	1.8099618246586e-08	9.5436892632416e-07	1.2415118950442e-06	2.8180690222889e-06	1.6677482349681e-07	4.582906751913e-54	0.50512257692218
25	4.0990497351481e-38	9.5942968058689e-09	6.1705135381768e-07	1.0816933055609e-06	2.725801382984e-06	9.0614021660076e-08	3.2178677302796e-54	0.50507590970126
25.2	3.2192392655787e-37	7.0932149213864e-06	0.00013692929019149	5.8702540486391e-05	2.5794405006505e-06	5.4223333718333e-05	1.8554667268816e-54	0.50574525862204
25.48	-1.7876317432241e-37	1.8958891673522e-06	5.5438762142251e-05	2.2885712094254e-05	2.3990361947941e-06	1.5228787017076e-05	8.7328613214618e-55	0.50518294670986
25.872	2.8822191464407e-37	3.1373899978195e-07	1.5913590461022e-05	6.6682752470464e-06	2.1690558084231e-06	2.6977376810367e-06	3.1195677344352e-55	0.50480286043541
26	1.333508349221e-37	1.6643028910466e-07	1.0296411646787e-05	4.4720720826691e-06	2.0989921147298e-06	1.4668086864901e-06	2.1913506846154e-55	0.50472097678945
26.2	1.9351074171159e-37	8.9122074673475e-06	0.00016674247265176	7.0074811971703e-05	1.9869570082701e-06	6.0274438987476e-05	1.2639297467984e-55	0.5053890737426
26.48	2.052495586493e-36	2.3854004177407e-06	6.7633403815891e-05	2.7279420208354e-05	1.8497736553428e-06	1.6951100527525e-05	5.9533336067908e-56	0.50479470129257
