# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
8.872	-0.0035379392496745	1.9912838188139e-37	3.7345772057082e-34	1.3668105291244e-23	7.6280254497582e-21	3.1302781276291e-24	2.7511501846821e-05	0.0051597893687172
9	-0.0036111392578125	4.7569831881826e-38	1.8828098408284e-34	1.2980754461763e-23	5.2370192432123e-21	2.9320260639253e-24	2.6276831002845e-05	0.0052798036067079
9.2	0.075253907164714	1.73739659432e-39	6.8079481026595e-35	2.2184082695818e-23	3.3591748702988e-21	4.9644308732104e-24	2.450782808133e-05	0.0054772511150129
9.48	-0.0039150248486328	6.0477805073761e-39	1.7948520505241e-35	4.4973809769808e-23	2.187317151866e-21	1.0336733756312e-23	2.2327838321599e-05	0.0057822162032946
9.872	-0.0041904538916016	1.501427358103e-39	3.1862734386048e-36	4.7490208709214e-23	1.6219878535638e-21	1.0463297926294e-23	1.9748586925285e-05	0.0062362985572426
10	-0.00428044375	2.5227289276676e-39	1.8079636049015e-36	4.6918378618355e-23	1.5654686333533e-21	1.0174820688822e-23	1.9003398719342e-05	0.0063834788150379
10.2	0.095502116861979	7.7234802727058e-39	7.7474449263665e-37	9.6065920654755e-23	2.6648408810463e-21	2.056015770291e-23	1.7916468855681e-05	0.0066138486023553
10.48	-0.00462921	8.2701306721013e-39	2.5424120207663e-37	2.7130494473338e-22	4.4249060413576e-21	5.9606944513684e-23	1.6560038372774e-05	0.0069577666985966
10.872	-0.004921630555013	1.4850584909213e-39	5.9606285239599e-38	2.7659480987544e-22	5.4504643973844e-21	5.8228073951585e-23	1.491111571964e-05	0.0074380524862333
11	-0.0050139450455729	4.4755914639903e-40	3.6876521265186e-38	2.7047089368776e-22	5.7590271134286e-21	5.6070683392725e-23	1.4424857650421e-05	0.007588719610568
11.2	0.10376386379395	1.2871521048015e-41	1.7847248999167e-38	4.6938629528323e-22	1.0825627526523e-20	9.5074097982655e-23	1.3700509911824e-05	0.0078126250396989
11.48	-0.0053486261914062	1.2567195503817e-37	6.8083966933269e-39	9.6999526322501e-22	1.6864637997306e-20	1.9982093891163e-22	1.2785800847365e-05	0.008137521260456
11.872	-0.0056095066861979	7.7822665108704e-39	1.9105909307399e-39	9.193087320746e-22	1.924514266621e-20	1.8266675990863e-22	1.1644568837248e-05	0.0085645030632278
12	-0.0056891009863281	4.5030740646133e-39	1.2483764727278e-39	8.8321590518237e-22	1.97966434664e-20	1.7320363013644e-22	1.1301695544363e-05	0.0086942114134447
12.2	0.10823541066569	1.6631125488328e-39	6.5175315265539e-40	1.3682013142641e-21	3.2923856120959e-20	2.6267114046903e-22	1.0780982658057e-05	0.0088763089706971
12.48	-0.0059608832714844	2.9635975679757e-39	2.7245254450113e-40	2.2954132985071e-21	4.5158408743668e-20	4.4636076538566e-22	1.0118332821168e-05	0.0091383082324805
12.872	-0.0061610681738281	1.0411634540417e-40	8.4958295206795e-41	2.0622809154751e-21	4.7733955629928e-20	3.8851499981637e-22	9.2752750407886e-06	0.0094651125037331
13	-0.0062203046289063	1.9554433507704e-39	5.7286256626131e-41	1.951927618602e-21	4.7965937167451e-20	3.6347055791837e-22	9.0185589691229e-06	0.0095615604107411
13.2	0.10823167769531	5.7275328164178e-40	3.1235829995805e-41	2.7477182841857e-21	7.1492605784384e-20	5.0200461020665e-22	8.6230496416052e-06	0.0096879403415224
13.48	-0.0064119852213542	6.492972481578e-40	1.3749962239858e-41	3.827551736738e-21	8.7598881246189e-20	7.0331579560829e-22	8.1178144402253e-06	0.009874029535374
13.872	-0.0065484908203125	2.6593257217972e-40	4.54564544332e-42	3.2623116613512e-21	8.6607152682522e-20	5.8194852509204e-22	7.4670637898024e-06	0.010096568399894
14	-0.0065878701595052	2.1924936143761e-40	3.1184580699666e-42	3.0418504115273e-21	8.5268430615454e-20	5.3677869042635e-22	7.2672628440547e-06	0.01016067076962
14.2	0.10650239982259	5.6419510126877e-40	1.7413809926876e-42	3.9680633897401e-21	1.1607615932527e-19	6.8835423038024e-22	6.9564300546419e-06	0.010236548415786
14.48	-0.0067086598404948	7.0180892690752e-39	7.8843043191014e-43	4.8993076347093e-21	1.3060240860933e-19	8.5146246659695e-22	6.5589852694702e-06	0.010357329735556
14.872	-0.0067943282519531	1.9297387213918e-39	2.6901079050771e-43	4.0164157156511e-21	1.2218496171941e-19	6.7858593981893e-22	6.0435221527456e-06	0.01049696745561
15	-0.0068185380729167	3.3938279756673e-40	1.862757411498e-43	3.7049017842987e-21	1.1834617045875e-19	6.1953271680769e-22	5.884531852772e-06	0.010536396789349
15.2	0.10934334447428	2.9587849112605e-41	1.0534589443297e-43	4.6904891340328e-21	1.530471143515e-19	7.7250399763228e-22	5.6351522993136e-06	0.01057449060487
15.48	-0.0068878420068359	4.5635828900805e-39	4.8423086712453e-44	5.7341671607897e-21	1.6598428031088e-19	9.4920568321646e-22	5.317077937813e-06	0.010649174763635
15.872	-0.0069391982666016	9.7430407518564e-40	1.6805860689846e-44	4.661232802619e-21	1.5047058241598e-19	7.5152150459808e-22	4.9030914496963e-06	0.010732980923799
16	-0.0069534546728516	9.7857127767278e-40	1.1696073367244e-44	4.2897123035865e-21	1.444778474997e-19	6.848584838858e-22	4.7750976265657e-06	0.010756231074797
16.2	0.10079177219889	1.7483249256362e-39	6.6633621172721e-45	5.172625994412e-21	1.7688235259329e-19	8.1351512224767e-22	4.5739000467206e-06	0.010771740958385
16.48	-0.0069907185286458	9.7674498012634e-39	3.0887852896512e-45	5.5729125999785e-21	1.8120050737487e-19	8.7339463027014e-22	4.3170736103288e-06	0.010816946533817
16.872	-0.0070209195052083	6.6840999850555e-40	1.0821377447836e-45	4.3406382632427e-21	1.5902681010812e-19	6.6205279358394e-22	3.9822206132964e-06	0.010866329720755
17	-0.0070291657014974	7.7627026138575e-40	7.5524605094157e-46	3.9450966642883e-21	1.5111383854136e-19	5.958730284189e-22	3.8785732521118e-06	0.010879811631201
17.2	0.097740543496094	1.8265184920718e-39	4.3202271472452e-46	4.5416797938399e-21	1.7686180721135e-19	6.7680068346506e-22	3.7152020963715e-06	0.010881592441499
17.48	-0.00704744078125	1.0411769667398e-38	2.0122185216909e-46	4.7082530130833e-21	1.7414008193075e-19	7.017199800385e-22	3.5069387614556e-06	0.010909674841626
17.872	-0.0070655865983073	9.6239021864267e-39	7.0882763329922e-47	3.6437388974686e-21	1.4841964897365e-19	5.3077097298009e-22	3.2352031544563e-06	0.010939454599466
