# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
5.2	9.2775451095958e-36	2.0921645641743e-23	3.7993916621418e-07	1.3635289532685	1.9473948533647	1.441466465912e-06	0.097935992807772	3.1786778886861	1.2898647658046e-07	1.9032143121195	0.0001388590293321	6.9683437569946	0.008456106876598	1.014539313373	1.1275243044783	6.1549075050835e-11	0.0028281450299898	0.070333400999925	0.070333400641937
5.48	-1.6999443529866e-37	2.0916730514297e-24	5.5072547948437e-08	1.3632172333007	1.9469423816159	3.8005609695091e-07	0.08927330330022	3.1779439226689	1.7302501686946e-08	1.9029395254228	0.00011864777880779	6.9667245026301	0.008377434222915	1.0143035619115	1.1272623730781	4.9113190621784e-11	0.0028032024775629	0.058527995509388	0.058527995213784
5.872	5.9782911105628e-39	7.5938729802826e-26	3.7524227476829e-09	1.3627796602977	1.946309035418	5.8567643769323e-08	0.081239218578743	3.1769152715293	1.0408548159322e-09	1.9025526486002	9.5442516761324e-05	6.9644581786302	0.0082984158618359	1.013973601896	1.1268956886289	3.8615613268175e-11	0.0028152298018024	0.045393545812976	0.045393545585656
6	8.0925991196525e-40	2.5754792001412e-26	1.4840689735196e-09	1.3626365457872	1.9461022709209	3.0073994478555e-08	0.079121091706428	3.1765792135564	3.9683256302859e-10	1.9024261274596	8.8906108288114e-05	6.963718314134	0.0082949801061593	1.0138658830965	1.1267759755274	3.5890756884914e-11	0.0028226149097949	0.041780670293149	0.04178067008441
6.2	-1.3736385605537e-41	5.0854999034067e-27	4.8390751064119e-08	1.3624127200561	1.9457792526147	1.8311534843759e-07	0.075203722177058	3.1760540095578	1.5832051017612e-08	1.9022282942153	7.9589059328298e-05	6.9625624332101	0.0086499323942798	1.0136975953814	1.1265889554369	3.2763277008614e-11	0.0028391081453659	0.036736586361626	0.036736586178682
6.48	5.6937695985998e-40	5.605575142099e-28	7.2145884575536e-09	1.3620989911686	1.9453271124751	4.9119718997898e-08	0.070337103739746	3.1753184816447	2.1870087047425e-09	1.9019510109486	6.8321570400233e-05	6.9609445222389	0.0085841208422156	1.0134620395081	1.1263271760732	2.7685255810671e-11	0.0028646207705267	0.030745359235329	0.030745359082806
6.872	2.427464686797e-40	2.5042884118249e-29	5.1607039271337e-10	1.3616591751454	1.9446942849889	7.8144002238012e-09	0.065876052079093	3.1742883749416	1.38526327297e-10	1.9015622349123	5.5379240661224e-05	6.9586800784903	0.0085118308257742	1.0131323532434	1.1259607767878	2.232651056652e-11	0.0029113595876965	0.024079498455623	0.024079498336675
7	1.5924925746846e-40	9.1607687050894e-30	2.0818520872617e-10	1.3615154453397	1.9444876917441	4.0714470097879e-09	0.064704840664772	3.173951956737	5.3909221834358e-11	1.9014352099924	5.1733430122676e-05	6.9579408278212	0.0085046495249886	1.0130247238126	1.1258411613515	2.0846553404101e-11	0.0029279097526076	0.022245907804641	0.022245907694879
7.2	5.4360176478652e-41	2.0516889893945e-30	2.2867031018751e-08	1.3612907646248	1.9441649371465	8.2346996212273e-08	0.062520067056842	3.1734262712458	7.1300617784078e-09	1.9012365487862	4.6540873084335e-05	6.9567859058716	0.0087841054878185	1.0128565757171	1.1256542910354	1.9069124939826e-11	0.0029578146207443	0.019685949012786	0.019685948915812
7.48	2.2191161166505e-40	2.7820012855796e-31	3.5772531003986e-09	1.3609760322125	1.9437131687497	2.2859455353101e-08	0.05970378019689	3.1726902445826	1.0355314528799e-09	1.9009580988369	4.025237455098e-05	6.9551693371991	0.0087117305788145	1.0126212152727	1.1253927236278	1.6293541216792e-11	0.0030071497230337	0.016645277407481	0.016645277325643
7.872	6.9644384562817e-41	1.8730600887079e-32	2.7763819379563e-10	1.3605351309158	1.9430808657744	3.8461568173863e-09	0.05722065745981	3.1716597347835	7.1523666998524e-11	1.9005676697205	3.3020458898802e-05	6.9529067721476	0.0086335332025132	1.0122918025324	1.1250266268103	1.3312185307199e-11	0.0030898223304352	0.013262174021584	0.013262173956519
8	1.7984600917472e-40	7.888513066113e-33	1.156524380134e-10	1.3603911124468	1.9428744439075	2.0526401625634e-09	0.056580519235257	3.171323242806	2.8775882135134e-11	1.9004401166537	3.0980876164193e-05	6.9521681347973	0.0086224072570658	1.0121842623963	1.124907110482	1.2484885515663e-11	0.0031182159669371	0.012331563825466	0.012331563765002
8.2	1.673329103635e-40	2.2051637162887e-33	2.3932426407234e-08	1.360166040387	1.9425519570094	8.4587341995e-08	0.055367417306824	3.1707974937449	7.0137871541461e-09	1.9002405859167	2.8070770647863e-05	6.9510141710276	0.0088573493245286	1.0120162538049	1.1247203950717	1.1641642527032e-11	0.003167832108799	0.011032290853635	0.011032290799586
8.48	-2.4967687370331e-40	4.1541655487023e-34	4.0364623784452e-09	1.3598508686595	1.9421005634695	2.4689106790045e-08	0.053678229094536	3.1700614725247	1.1017118836296e-09	1.8999608704595	2.4541084720802e-05	6.949398943541	0.0087803266273821	1.0117810886272	1.1244590446941	9.9742357147289e-12	0.0032470808783409	0.0094890207207777	0.0094890206743345
8.872	-1.5266653856855e-38	4.7316259924404e-35	3.5441761981924e-10	1.3594095319693	1.941468785133	4.508146310142e-09	0.052300169485813	3.1690311255598	8.6750684390753e-11	1.8995686352014	2.046416810955e-05	6.9471382556284	0.0086979999479763	1.0114519491846	1.1240932516866	8.2581093042453e-12	0.0033735397344148	0.0077719127546403	0.0077719127166424
9	-4.2126792175445e-39	2.3477839163813e-35	1.5457606045855e-10	1.3592654081919	1.9412625345286	2.4891040635836e-09	0.051959133739942	3.1686947185313	3.6605318234846e-11	1.8994405166522	1.9309836827928e-05	6.9464002310885	0.0086845474078146	1.0113444982692	1.1239738345294	7.7863150134004e-12	0.003415819953147	0.0072995623289469	0.0072995622932689
9.2	-9.0032495905399e-41	8.3366105715034e-36	3.9011910902381e-08	1.3590402050665	1.940940316857	1.3588117052219e-07	0.051293084532033	3.1681691371422	1.0650217630395e-08	1.8992401050243	1.7653950581469e-05	6.9452472247054	0.0088942226522409	1.0111766290661	1.1237872758134	7.6497385119666e-12	0.0034872564234466	0.006640079958018	0.0066400799255768
9.48	-6.7629971635156e-41	2.1568954646461e-36	7.2849082357055e-09	1.3587249106308	1.9404892994974	4.2451576326408e-08	0.050232616478491	3.1674334022192	1.8602271104979e-09	1.8989591990947	1.5637697361573e-05	6.9436333372938	0.0088150955555594	1.0109416589935	1.1235261445991	6.4535827310991e-12	0.0035963718623485	0.0058567263626074	0.0058567263340075
9.872	1.139006258182e-40	3.7654023480225e-37	7.4920919725892e-10	1.3582835023868	1.939858045717	8.6030015782853e-09	0.049478479974777	3.1664035346455	1.7325782231516e-10	1.898565477152	1.3284993984083e-05	6.9413745249645	0.0087313888944729	1.010612792622	1.1231606559984	5.3805811280033e-12	0.0037604901507655	0.0049850805464911	0.004985080522161
10	-3.1963050306088e-40	2.1286003426059e-37	3.452203306204e-10	1.358139375721	1.9396519662564	4.9465514734949e-09	0.049307394450107	3.1660673012035	7.7397267854422e-11	1.8984369340216	1.2613128073825e-05	6.9406371127277	0.0087169609705816	1.0105054308534	1.1230413380243	5.0973296120539e-12	0.0038136147876129	0.0047452848056175	0.0047452847824611
10.2	-9.4014565355485e-40	9.0884020350035e-38	7.7289281027543e-08	1.3579141865789	1.9393300199378	2.6690583549784e-07	0.048952800172181	3.165542021383	1.9738921481184e-08	1.8982359561291	1.1639166874554e-05	6.9394850629397	0.0089128901795163	1.0103377009236	1.1228549384489	5.7451768302506e-12	0.0039000870962469	0.0044104687515874	0.0044104687300694
10.48	6.6912711612928e-39	2.9695433571378e-38	1.6161369714943e-08	1.3575989451105	1.9388793809328	8.9965046614684e-08	0.048249864099231	3.1648067356462	3.8793899915437e-09	1.8979544486223	1.044520438453e-05	6.9378725144955	0.0088338302449274	1.0101029257947	1.1225940296893	4.5366797462738e-12	0.0040250094117307	0.0040127268982311	0.0040127268786585
10.872	4.8599050622474e-41	6.9363271767807e-39	1.9581607393587e-09	1.3571576655812	1.9382486519463	2.0313158822331e-08	0.047855124177673	3.1637775246874	4.2991326623443e-10	1.8975602966783	9.0288223106911e-06	6.9356155762001	0.0087511514716021	1.0097743322688	1.1222288467453	3.7063716855486e-12	0.0042008383588732	0.0035700815526185	0.0035700815352099
11	6.7265358465206e-41	4.2876399301299e-39	9.5146330808455e-10	1.3570135920275	1.9380427435423	1.214476548765e-08	0.047782481828026	3.1634415136434	2.0292577358913e-10	1.8974316938192	8.6190599855389e-06	6.9348787757615	0.0087366586496667	1.0096670595735	1.1221096280641	3.5128060792954e-12	0.0042557768884261	0.003448284315863	0.0034482842990496
11.2	6.1817828019832e-42	2.0743682212713e-39	1.0853279061721e-07	1.3567884957758	1.937721066878	3.7869111302949e-07	0.047609080005074	3.1629165988444	2.6159483830407e-08	1.8972307689981	8.0173646439547e-06	6.9337276817792	0.0089255550373683	1.0094994688019	1.1219233862582	4.7219196790496e-12	0.0043417164581432	0.0032781958219028	0.0032781958059203
11.48	-2.6251613428361e-38	7.9047338166005e-40	2.5109848871224e-08	1.3564734020885	1.9372708048162	1.3652154856698e-07	0.047114285386098	3.1621818394807	5.7130606549275e-09	1.8969495836637	7.2724159176621e-06	6.9321164711977	0.0088477131174617	1.0092648884559	1.1216626984602	3.4299551837784e-12	0.0044592891535799	0.0030760920768789	0.0030760920618837
11.872	-9.3936041448353e-40	2.2163217443955e-40	3.4884748419522e-09	1.3560323581023	1.9366406001329	3.3724313476128e-08	0.046930974878056	3.1611533764593	7.3175091140912e-10	1.896556295354	6.3715343184639e-06	6.9298614053898	0.0087668615169151	1.0089365675503	1.1212978207342	2.6823409651058e-12	0.0046143908885767	0.0028510846469279	0.0028510846330315
12	-5.7911835571016e-40	1.447877489388e-40	1.7671679240196e-09	1.3558883672701	1.9364348626579	2.0785919358145e-08	0.046916314026507	3.1608176133119	3.6066945041641e-10	1.8964280281571	6.1071743378771e-06	6.9291252162447	0.0087525645419286	1.0088293838548	1.1211787012807	2.5303653335567e-12	0.0046612296774979	0.0027891491642579	0.0027891491506639
12.2	-1.3195709111874e-40	7.5619260538196e-41	1.2851008949212e-07	1.3556634054018	1.9361134540603	4.595526330574e-07	0.046850031707419	3.1602930948262	2.9495246636009e-08	1.8962277359774	5.7139339529164e-06	6.9279750772798	0.0089377601069407	1.0086619321267	1.1209926159049	4.1000940349843e-12	0.0047319624258165	0.002702625696665	0.0027026256834935
12.48	-3.3979041636531e-40	3.1601183505087e-41	3.2029423174548e-08	1.3553485090097	1.935663567289	1.7393860929117e-07	0.046477300861412	3.1595588990471	6.9613565584021e-09	1.8959475868665	5.2225829810468e-06	6.9263652034563	0.0088608398175105	1.0084275464028	1.1207321473448	2.7407537982349e-12	0.0048242691960532	0.0025997659985819	0.0025997659859124
12.872	8.4137247075665e-41	9.8520673707043e-42	4.8952751281264e-09	1.3549077559922	1.9350338861952	4.5723573729489e-08	0.046417713811799	3.1585312297461	9.8617135721756e-10	1.8955559254276	4.6182243445413e-06	6.9241120085881	0.0087808989184728	1.0080994978922	1.1203675740518	2.0176100833842e-12	0.0049396540794392	0.0024851666820202	0.0024851666699101
13	-1.566918343499e-40	6.6429468108562e-42	2.5497271184999e-09	1.3547638631837	1.9348283194938	2.8752583714605e-08	0.046436739713164	3.1581957274264	5.0030711729831e-10	1.8954281913264	4.4387405230034e-06	6.9233764302311	0.0087665723482568	1.0079924031229	1.1202485536937	1.8854386646713e-12	0.0049735146789165	0.0024536013994995	0.0024536013875435
13.2	-6.9309515882835e-41	3.6239824362578e-42	1.3059180571793e-07	1.3545390571352	1.9345071771338	4.8158790854071e-07	0.046432670805835	3.1576716176934	2.8563289338622e-08	1.8952287606378	4.1689722770012e-06	6.9222272454922	0.0089494105015494	1.007825090323	1.1200626229109	3.5492466123067e-12	0.0050231625885959	0.0024094766792098	0.0024094766674691
13.48	-1.2804401824195e-39	1.5950525276073e-42	3.413200354975e-08	1.3542243836599	1.9340576634903	1.8782871085829e-07	0.046129473492493	3.1569379991695	7.0836366425871e-09	1.8949498308914	3.8296224103711e-06	6.9206187073197	0.0088724851249001	1.00759089906	1.1198023709479	2.2284473339824e-12	0.0050858252147665	0.0023569760621507	0.0023569760506662
13.872	9.3729251035113e-41	5.2727427757646e-43	5.5325785104586e-09	1.3537839504831	1.9334285049816	5.1261496337943e-08	0.046139207839158	3.1559111444825	1.0677032442668e-09	1.8945598287269	3.407056196389e-06	6.9183673818407	0.0087922064450037	1.0072631227185	1.1194381006713	1.5487873957294e-12	0.0051611340777983	0.0022984107100184	0.0022984106988197
14	8.3177358272381e-42	3.6172654197633e-43	2.9301783237578e-09	1.3536401637225	1.9332231088607	3.2616935209429e-08	0.04617685198453	3.1555759093078	5.5114290286249e-10	1.8944326043179	3.2804957530637e-06	6.9176324137651	0.0087775872576519	1.0071561168017	1.1193191791673	1.4320054460141e-12	0.0051827657979154	0.0022822612735832	0.0022822612624632
14.2	7.6392371347863e-41	2.0209438294132e-43	1.2339956344384e-07	1.3534155248091	1.9329022318777	4.6715283523296e-07	0.046207083917106	3.1550522148898	2.5699719048357e-08	1.8942339475142	3.0888332987846e-06	6.9164841824606	0.008958691363674	1.0069889428148	1.1191334019236	3.0460610884685e-12	0.0052136675434889	0.0022596616237999	0.0022596616127902
14.48	-8.387274829752e-40	9.1490010594685e-44	3.3162633543647e-08	1.3531010879309	1.9324530901985	1.852633691888e-07	0.045941378001327	3.154319180719	6.5610717401544e-09	1.8939560409201	2.846775183416e-06	6.9148769788303	0.0088811657772158	1.0067549458513	1.1188733650047	1.8210347594227e-12	0.0052519948334493	0.0022327325553035	0.0022327325444252
14.872	-8.6487785051752e-41	3.1213896205548e-44	5.5603494747296e-09	1.3526609903104	1.9318244535015	5.1626806676024e-08	0.045987553031836	3.153293151439	1.0248150073145e-09	1.8935673348499	2.5429279201208e-06	6.9126275211879	0.0087999678168142	1.006427441453	1.1185093967282	1.2018123675952e-12	0.0052969056112756	0.0022026277101721	0.0022026276994407
15	4.7432358196257e-41	2.1613790123096e-44	2.9730122669573e-09	1.3525173140341	1.9316192277822	3.3063545860161e-08	0.046034822201342	3.1529581867493	5.3425268892367e-10	1.8934404952446	2.451425221819e-06	6.9118931628867	0.0087849843708844	1.0063205243148	1.1183905738786	1.0994979146029e-12	0.0053096226541863	0.0021943097079252	0.0021943096972344
15.2	-3.0852796069495e-41	1.2229459259634e-44	1.239781361121e-07	1.3522928485815	1.9312986168118	4.7648486466463e-07	0.046082801386015	3.1524349157051	2.4664250539128e-08	1.8932424086025	2.3119382317886e-06	6.9107458842247	0.0089648363184096	1.0061534890256	1.118204950843	2.7613142454076e-12	0.0053274495204656	0.0021826460943599	0.002182646083726
15.48	-1.0692447620041e-39	5.6206051557312e-45	3.384600610968e-08	1.3519786560769	1.9308498476536	1.906570714656e-07	0.045836210320931	3.151702475977	6.4006907816755e-09	1.8929652305506	2.1356482840982e-06	6.9091400140276	0.0088866256179503	1.0059196862001	1.1179451298934	1.5527724666748e-12	0.0053492420868986	0.0021687115495193	0.0021687115389533
15.872	1.5548831470386e-40	1.9505013479976e-45	5.7836880047297e-09	1.3515389031638	1.9302217325382	5.3734003551012e-08	0.045900352914135	3.150677280876	1.0199471700794e-09	1.8925774114085	1.9132327487586e-06	6.90689242267	0.0088045482960638	1.005592453519	1.1175814637894	9.5528815370922e-13	0.0053745170241362	0.0021530740662496	0.00215307405576
16	8.577926005391e-41	1.3574270434644e-45	3.1090443388666e-09	1.3513953400023	1.9300166770929	3.4535398755439e-08	0.045952269562624	3.1503425889403	5.3468292458598e-10	1.8924508307818	1.8460179938647e-06	6.9061586736363	0.0087892706453212	1.0054856250857	1.1174627395603	8.6056683061498e-13	0.0053816239024796	0.0021487378333197	0.0021487378228511
16.2	2.5596057452678e-40	7.7367368781049e-46	1.0112458264474e-07	1.3511710518071	1.9296963299629	3.9487275327501e-07	0.0460086451851	3.149819736089	1.9278162922347e-08	1.8922531129644	1.7432837646825e-06	6.9050123468248	0.0089682963727634	1.0053187283789	1.117277268112	2.2126116366102e-12	0.005390939252183	0.0021426379295531	0.0021426379191144
