# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
30.2	3.947757097036e-63	0.15225403669555	0.21744399553401	0.35493138827053	0.21414577693204	0.77807741744234	0.11328231732608	0.12589821862654	0.002079447320065	1.9581125981472
30.48	1.8675069536096e-63	0.15221865706319	0.21739347114482	0.35484893140028	0.21411445484358	0.77789661332819	0.11325599358409	0.12586896938592	0.0020789586886994	1.9576760494388
30.872	6.7190176926945e-64	0.15216913938032	0.2173227527254	0.35473350559108	0.21407059367854	0.77764355815227	0.11321915062179	0.12582802627961	0.0020783254660027	1.957065051895
31	4.7318836958196e-64	0.15215297382749	0.217299665707	0.35469582196979	0.21405627147191	0.77756094571905	0.11320712286242	0.12581465944308	0.0020781233859949	1.9568655843867
31.2	2.7392366217026e-64	0.15212771858722	0.21726359988106	0.35463696053166	0.21403390284549	0.7774318813624	0.11318833204651	0.12579377997384	0.0020777801733432	1.9565539554015
31.48	1.2972598730202e-64	0.15209236828933	0.21721311700176	0.35455457017701	0.21400258901789	0.77725122725366	0.1131620301442	0.1257645544284	0.0020772999173781	1.9561177562296
31.872	4.6734683068585e-65	0.15204289166539	0.21714245712296	0.35443923925466	0.21395874211552	0.77699838202683	0.11312521774893	0.12572364501374	0.0020766710287818	1.9555072459768
32	3.2928544722662e-65	0.15202673951715	0.21711938924556	0.35440158677303	0.21394442484368	0.77691583813362	0.11311319996848	0.12571028922725	0.0020764695285562	1.9553079372373
32.2	1.9077989834468e-65	0.15200150521917	0.21708335317877	0.35434277348728	0.2139220632073	0.77678688085614	0.11309442474251	0.12568942687901	0.002076128580537	1.9549965561507
32.48	9.0442531477937e-66	0.15196618423557	0.21703291200322	0.35426045062173	0.21389075923878	0.7766063766284	0.11306814466175	0.12566022531919	0.0020756509589159	1.9545607036676
32.872	3.262503606538e-66	0.15191674864181	0.21696231068976	0.35414521497874	0.21384692741149	0.77635374117646	0.11303136280816	0.12561934971867	0.0020750225723493	1.9539506779974
33	2.2997912915684e-66	0.15190060988866	0.2169392619447	0.35410759367618	0.21383261519101	0.77627126576641	0.11301935499836	0.12560600499451	0.0020748209298826	1.9537515273897
33.2	1.3336297410793e-66	0.15187539651802	0.21690325554827	0.35404882822622	0.21381026035	0.77614241547925	0.11300059534938	0.12558515966788	0.0020744822691173	1.9534403934081
