# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
12	-6.3673730015134e-43	1.5919301944417e-43	1.9430389769264e-12	0.015325807594467	0.021887810947272	2.285456346635e-11	0.046916314026507	0.11632071376941	0.035727190492626	3.9656378411747e-13	0.021435589213611	6.7148913862544e-09	0.078320932324495	0.0087525645419286	0.5424783794025	0.011402948478858	0.012672849344024	2.5303653335567e-12	1.3610322451536e-10	5.1250635863664e-06	0.90949712594419
12.2	-1.4508424632758e-43	8.3142565472807e-44	1.4129923042303e-10	0.015323745440527	0.021884864428866	5.0528665108543e-10	0.046850031707419	0.11593901463643	0.03572238220094	3.2430571566595e-11	0.021433997491186	6.282502210784e-09	0.078310388310073	0.0089377601069407	0.57543788838939	0.011401413348316	0.01267114341906	4.1000940349843e-12	1.583355593699e-09	5.2028203696788e-06	0.90949963799198
12.48	-3.735943932572e-43	3.4745026228455e-44	3.521680714591e-11	0.015320858611928	0.021880739722932	1.9124797869714e-10	0.046477300861412	0.11405442532611	0.035715651175404	7.6541107208705e-12	0.021431771621595	5.7422361454868e-09	0.078295628368696	0.0088608398175105	0.54700433311733	0.011399264409979	0.012668755385264	2.7407537982349e-12	5.9320771487041e-10	5.3042914261157e-06	0.9095031540004
12.872	9.2508551392035e-44	1.0832140736118e-44	5.3823952978374e-12	0.015316817463685	0.021874965889919	5.0273445558879e-11	0.046417713811799	0.11479240070171	0.035706228328417	1.0843035238526e-12	0.021428660823006	5.0777147301539e-09	0.078274967770213	0.0087808989184728	0.54322526206357	0.011396256379593	0.012665412460322	2.0176100833842e-12	1.8419317144211e-10	5.431127574201e-06	0.90950807475943
13	-1.7227766036361e-43	7.303767186344e-45	2.8034409407582e-12	0.015315498011997	0.021873080771982	3.1613645833675e-11	0.046436739713164	0.11497230757442	0.035703151744179	5.5009080947608e-13	0.021427646605676	4.880364252901e-09	0.078268222259561	0.0087665723482568	0.54300503155912	0.011395274283115	0.012664321004359	1.8854386646713e-12	1.3230433951278e-10	5.4683474001683e-06	0.90950968108837
13.2	-7.6204062606977e-44	3.9844742493638e-45	1.4358613807138e-10	0.015313436463913	0.021870135612456	5.2950755049537e-10	0.046432670805835	0.11482581130877	0.035698345379007	3.1405434574499e-11	0.021426063411478	4.5837428657471e-09	0.078257683125007	0.0089494105015494	0.57555926488611	0.011393739863045	0.012662615871215	3.5492466123067e-12	1.6190857270457e-09	5.5229196438836e-06	0.90951219046271
13.48	-1.4078323475573e-42	1.753711845705e-45	3.7528107461697e-11	0.015310550533829	0.021866012808353	2.0651749909394e-10	0.046129473492493	0.11310253144224	0.035691617098817	7.7884521694197e-12	0.02142384962744	4.2106143136674e-09	0.078242929994342	0.0088724851249001	0.54734054582322	0.011391591916297	0.012660228944923	2.2284473339824e-12	6.1249582021482e-10	5.5917948110558e-06	0.90951570270721
13.872	1.0305436397003e-43	5.7971890265081e-46	6.0830318937946e-12	0.015306510737994	0.021860241650043	5.6361661215537e-11	0.046139207839158	0.11400430043315	0.035682198184172	1.1739323486251e-12	0.021420755219251	3.745987966346e-09	0.078222278960147	0.0087922064450037	0.54353666461822	0.011388585278401	0.012656887573667	1.5487873957294e-12	1.8184257532157e-10	5.674564971342e-06	0.90952061822776
14	9.1457208408056e-45	3.9770447663953e-46	3.2217050919375e-12	0.01530519175147	0.021858357412486	3.5862030933742e-11	0.04617685198453	0.11423290054154	0.035679122909459	6.0597673574445e-13	0.021419745998812	3.6068307936563e-09	0.078215536598528	0.0087775872576519	0.54329953017481	0.011387603640399	0.012655796628458	1.4320054460141e-12	1.2597111931338e-10	5.6983385024521e-06	0.90952222287303
14.2	8.399047136459e-44	2.22194416766e-46	1.3567637643486e-10	0.015303130951055	0.021855413622146	5.1362907127421e-10	0.046207083917106	0.11421872656769	0.035674318577581	2.8256540475696e-11	0.021418170364682	3.3960925832446e-09	0.078205002406592	0.008958691363674	0.57563011570148	0.011386069939937	0.012654092286822	3.0460610884685e-12	1.5460084584375e-09	5.7322984737598e-06	0.90952472963963
14.48	-9.2214301760683e-43	1.0058909149095e-46	3.6461784563924e-11	0.015300246107089	0.021851292754008	2.0369410666311e-10	0.045941378001327	0.11258324255442	0.035667593200025	7.2137933185009e-12	0.02141596649773	3.129943443498e-09	0.078190256243314	0.0088811657772158	0.54752754764088	0.011383923007589	0.012651706477857	1.8210347594227e-12	5.8895847722828e-10	5.7744159622688e-06	0.90952823828269
14.872	-9.508612425158e-44	3.4318067474872e-47	6.1134818412623e-12	0.015296207902879	0.021845524349832	5.6762537059598e-11	0.045987553031836	0.11357311305544	0.035658178483497	1.1267615397893e-12	0.021412884464497	2.7958569392826e-09	0.078169615071372	0.0087999678168142	0.54370926892631	0.011380917805564	0.01264836669985	1.2018123675952e-12	1.707734655697e-10	5.8237624641396e-06	0.90953314887285
15	5.2149503593728e-44	2.3763204191001e-47	3.2687557065938e-12	0.015294889452975	0.02184364102113	3.6352575691437e-11	0.046034822201342	0.11382754687248	0.035655104605806	5.8739802209087e-13	0.02141187886	2.6952481325879e-09	0.078162875962189	0.0087849843708844	0.54346279358597	0.011379936641092	0.012647276280795	1.0994979146029e-12	1.157524983517e-10	5.8377340774527e-06	0.90953475194136
15.2	-3.3921454041444e-44	1.3445597998617e-47	1.3631063702303e-10	0.015292829505795	0.0218406986559	5.2388232870642e-10	0.046082801386015	0.1138838825922	0.035650302477809	2.7117682289004e-11	0.02141030853197	2.5418802899254e-09	0.07815234687833	0.0089648363184096	0.57567055317731	0.011378403684329	0.012645572766449	2.7613142454076e-12	1.558792269584e-09	5.8573179427103e-06	0.90953725627131
15.48	-1.1755802800182e-42	6.1795130848518e-48	3.7212630492336e-11	0.015289945885603	0.021836579801193	2.0962151590442e-10	0.045836210320931	0.11229422835961	0.035643580233042	7.0373603363896e-12	0.021408111322696	2.3480474398133e-09	0.07813760792459	0.0088866256179503	0.54763233767447	0.011376257801636	0.012643188126479	1.5527724666748e-12	5.9438835710774e-10	5.8812552321416e-06	0.90954076156333
15.872	1.7094977515426e-43	2.1444457828586e-48	6.3589503090366e-12	0.015285909447114	0.021830814249594	5.9078542262807e-11	0.045900352914135	0.11332819083294	0.035634169978636	1.1213940595369e-12	0.02140503713887	2.1035000176078e-09	0.078116976958928	0.0088045482960638	0.54380693578293	0.01137325408557	0.012639850002173	9.5528815370922e-13	1.6836214131504e-10	5.9090119356342e-06	0.90954566757903
16	9.4307826817443e-44	1.4923975996001e-48	3.4182727699368e-12	0.015284591585471	0.021828931859629	3.7970321248615e-11	0.045952269562624	0.11359537405155	0.035631097574721	5.8786298364319e-13	0.021404033758694	2.0295971903446e-09	0.078110241208542	0.0087892706453212	0.54355566247024	0.011372273410114	0.012638760127024	8.6056683061498e-13	1.1192817722919e-10	5.9168151472385e-06	0.90954726918095
16.2	2.814113317965e-43	8.505986139801e-49	1.1118224151599e-10	0.015282532571829	0.021825990948395	4.341460413158e-10	0.0460086451851	0.11368490181355	0.035626297679216	2.1195532402836e-11	0.021402466513055	1.9166409937376e-09	0.07809971741507	0.0089682963727634	0.57569299712045	0.011370741223592	0.012637057441278	2.2126116366102e-12	1.2835282498824e-09	5.927040609713e-06	0.90954977126298
