# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_ButyricValeric [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_hydroM [g]	Valeric [g]	MO_acetoM [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	MO_Propionic [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
9.48	-2.3332340214129e-39	7.4412893530292e-35	2.5132933413184e-07	46.876009416763	66.946880832661	1.4645793832611e-06	1.7330252685079	0.42815519248966	2.1611804609976	109.27645237656	6.4177835312179e-08	65.514092368768	0.00053950055897425	239.55535013664	0.3041207966668	1.8753746813897	2.1794954780565	34.877487235275	38.761651988671	2.2264860422292e-10	1.2562996729222e-09	1.4789482771451e-09	0.12407482925102
9.872	3.9295715907278e-39	1.2990638100678e-35	2.5847717305433e-08	46.860780832344	66.925102577238	2.9680355445084e-07	1.7070075591298	0.4251752889607	2.1321828480905	109.24092194527	5.9773948698729e-09	65.500508961743	0.00045833229245088	239.47742111128	0.30123291685932	1.8630434005164	2.1642763173757	34.866141345459	38.749042631945	1.8563004891611e-10	7.6124498535095e-10	9.4687503426706e-10	0.12973691020141
10	-1.1027252355601e-38	7.3436711819903e-36	1.1910101406404e-08	46.855808462374	66.917992835845	1.7065602583557e-07	1.7011051085287	0.42412830526696	2.1252334137956	109.22932189152	2.6702057409776e-09	65.496074223746	0.00043515291854697	239.45198038911	0.30073515348507	1.8628392779014	2.1635744313865	34.862437364443	38.744926161837	1.7585787161586e-10	6.8727962481457e-10	8.6313749643043e-10	0.13156971017264
10.2	-3.2435025047642e-38	3.1354987020762e-36	2.6664801954502e-06	46.848039436973	66.906885687854	9.2082513246756e-06	1.6888716059402	0.41909204352163	2.1079636494619	109.21119973771	6.8099279110085e-07	65.489140486453	0.0004015512571721	239.41223467142	0.30749471119331	1.9833706803563	2.2908653915496	34.856650681863	38.738495376486	1.9820860064365e-10	3.6503265175664e-09	3.84853511821e-09	0.13455300482052
10.48	2.308488550646e-37	1.0244924582125e-36	5.5756725516555e-07	46.837163606312	66.891338642182	3.1037941082066e-06	1.6646203114235	0.40991606304241	2.0745363744659	109.18583237979	1.3383895470826e-07	65.479428477471	0.00036035955126628	239.35660175009	0.30476714344999	1.8815457288557	2.1863128723057	34.848550939918	38.72949402428	1.5651545124645e-10	1.4578936326778e-09	1.6144090839242e-09	0.13886282470471
10.872	1.6766672464753e-39	2.3930328759893e-37	6.7556545507874e-08	46.821939462551	66.869578492148	7.0080397937042e-07	1.6510017841297	0.40979327666216	2.0607950607919	109.15032460172	1.4832007685088e-08	65.465830235403	0.00031149436971884	239.2787373789	0.30191472577027	1.8688556611524	2.1707703869227	34.837214463272	38.716895212713	1.2786982315143e-10	6.3067966761439e-10	7.5854949076581e-10	0.14492892338113
11	2.3206548670496e-39	1.4792357758948e-37	3.2825484128917e-08	46.816968924947	66.862474652211	4.1899440932394e-07	1.6484956230669	0.40960870114865	2.0581043242155	109.1387322207	7.0009391888251e-09	65.461393436761	0.00029735756950109	239.25331776377	0.3014147234135	1.8683640064864	2.1697787298999	34.833513555284	38.712782168212	1.2119180973569e-10	5.2701163259278e-10	6.4820344232847e-10	0.1468243026507
11.2	2.1327150666842e-40	7.1565703633859e-38	3.7443812762938e-06	46.809203104264	66.851376807293	1.3064843399517e-05	1.642513260175	0.40690986141634	2.0494231215914	109.12062266013	9.0250219214904e-07	65.454461530433	0.00027659908021644	239.21360502138	0.30793164878921	1.9845576227696	2.2924892715589	34.827731673664	38.706356825907	1.6290622892721e-10	4.7056596275258e-09	4.8685658564531e-09	0.14978921780594
11.48	-9.0568066327845e-37	2.7271331667272e-38	8.6628978605723e-07	46.798332372055	66.83584276616	4.7099934255608e-06	1.6254428458204	0.3994274393722	2.0248702851926	109.09527346208	1.97100592595e-07	65.444760636399	0.00025089834915934	239.15801825632	0.30524610255243	1.8851132022497	2.1903593048022	34.81963865173	38.697363096877	1.1833345384036e-10	1.7687319055317e-09	1.887065359372e-09	0.15384547579851
11.872	-3.2407934299682e-38	7.6463100181646e-39	1.2035238204735e-07	46.783116354531	66.814100704585	1.1634888149264e-06	1.6191186332929	0.40098350290538	2.0201021361983	109.05979148784	2.5245406443615e-08	65.431192189715	0.00021981793398701	239.08021848595	0.30245672233357	1.8722102480162	2.1746669703498	34.808311580485	38.684774815331	9.2540763296149e-11	6.1279179475761e-10	7.0533255805376e-10	0.1591964856559
12	-1.9979583272e-38	4.9951773383886e-39	6.0967293378678e-08	46.77814867082	66.807002761699	7.1711421785601e-07	1.6186128339145	0.40130646250447	2.0199192964189	109.04820765926	1.2443096039366e-08	65.426766971422	0.00021069751465676	239.05481996044	0.30196347669654	1.8715504089386	2.1735138856352	34.804613742991	38.680665194185	8.7297604007707e-11	4.6955612457799e-10	5.568537285857e-10	0.16081242387368
12.2	-4.5525196435964e-39	2.6088644885678e-39	4.433598087478e-06	46.770387486363	66.795914165082	1.585456584048e-05	1.616326093906	0.3999896004957	2.0163156944016	109.0301117715	1.0175860089423e-06	65.419856891219	0.00019713072137561	239.01514016615	0.30835272368945	1.9852607149434	2.2936134386329	34.798836658371	38.67424524872	1.4145324420696e-10	5.4625767982617e-09	5.6040300424687e-09	0.16325270369067
12.48	-1.1722769364603e-38	1.0902408309255e-39	1.1050150995219e-06	46.759523560834	66.78039307147	6.0008820205455e-06	1.6034668797187	0.39348776737509	1.9969546470938	109.00478201713	2.4016680126487e-07	65.410191746896	0.00018017911284612	238.95959951924	0.30569897370411	1.8871649492548	2.1928639229589	34.790750350898	38.665259083397	9.4556006039106e-11	2.0465666163029e-09	2.141122622342e-09	0.16643728726384
12.872	2.9027350241104e-39	3.398963242893e-40	1.6888699192036e-07	46.744317581729	66.758669073735	1.5774632936674e-06	1.6014111265071	0.39603378242089	1.997444908928	108.96932742624	3.4022911824006e-08	65.396679427253	0.00015932873988667	238.88186429629	0.30294101268731	1.8741271541193	2.1770681668066	34.779432677279	38.652681304789	6.9607547876756e-11	6.3546644147529e-10	7.0507398935205e-10	0.17041806574065
13	-5.4058682850715e-39	2.2918166497454e-40	8.7965585588245e-08	46.739353279839	66.751577022537	9.9196413815388e-07	1.6020675201042	0.39665446113173	1.9987219812359	108.95775259621	1.7260595546792e-08	65.392272600762	0.00015313654804362	238.85648684297	0.30244674601486	1.873367358879	2.1758141048938	34.77573790774	38.648575102432	6.5047633931161e-11	4.5644997131909e-10	5.2149760525025e-10	0.17158625642262
