# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
16.48	6.9948622776803	0	0.010700911548655	0.16418526069788	0.4243035442174	0.12262442710665	0.0005848076843936	3.2915744722352e-05	0.22615588447597	0.13112815685962	0.22303212130654	0.80507972497604	0.1219337326423	0.0019398208635786	9.2265635858041
16.872	6.9949608927072	0	0.010534437111644	0.16430524486388	0.42445588676058	0.12260523206078	0.00055900071102657	3.12691801018e-05	0.22612395165528	0.13105159848881	0.22289338052649	0.80460386142917	0.12186060310609	0.0019630965713539	9.2259484551724
17	6.9949927616651	0	0.010480639052986	0.16434374336683	0.4245043799765	0.12259886394561	0.00055121385491117	3.0767941525534e-05	0.22611330820474	0.13102655067884	0.22284804491797	0.80444825757581	0.12183667164822	0.0019709696210964	9.2257461724502
17.2	6.9950422312717	0	0.010397129592433	0.16440307861243	0.42457882330999	0.12258878764104	0.00053964199117479	3.0009313682037e-05	0.22609640641949	0.13098736293734	0.22277717501597	0.80420491635059	0.12179922829864	0.0019838201670332	9.2254286109215
17.48	6.9951108268575	0	0.010281334188664	0.16448444161144	0.42467987839136	0.12257442430823	0.00052456406987965	2.9028537407969e-05	0.22607219296147	0.13093240203032	0.22267789600717	0.80386383420139	0.12174671333503	0.002003315408431	9.2249808519083
17.872	6.9952055777985	0	0.01012138709524	0.16459485760371	0.42481577972761	0.12255385677649	0.00050541451592893	2.7773861214473e-05	0.22603731028899	0.13085528919665	0.22253880596419	0.80338558511784	0.1216730282741	0.0020325439511271	9.2243472101715
18	6.9952361979162	0	0.01006969842504	0.16463008835433	0.42485883597026	0.12254703444917	0.00049958978072706	2.7388219629308e-05	0.22602569140452	0.13083007295353	0.22249336822259	0.80322925360918	0.12164893173381	0.0020423420488566	9.2241384930878
18.2	6.9952837289108	0	0.0099894633171661	0.16468414993329	0.42492467780641	0.12253623875679	0.00049088719768359	2.6801847940848e-05	0.22600724625992	0.13079063447967	0.22242235033548	0.80298482331138	0.12161124590748	0.002058248322245	9.2238104963863
18.48	6.9953496362051	0	0.0098782081747133	0.16475775686092	0.42501344526226	0.12252084521948	0.00047945654755944	2.6036674887489e-05	0.2259808264399	0.13073534654046	0.22232288609118	0.80264230749026	0.12155842041724	0.0020821499258127	9.2233473218497
18.872	6.9954406733984	0	0.0097245324954003	0.16485658273541	0.42513160214963	0.12249878713336	0.00046477067920265	2.5044746121657e-05	0.22594275990476	0.13065781704409	0.2221835741695	0.8021622119175	0.12148435077034	0.0021177612855696	9.2226904684292
19	6.9954700931878	0	0.0096748705058858	0.16488785795565	0.42516873289464	0.12249146606582	0.00046026393980261	2.4736629549015e-05	0.22593007778801	0.13063247366869	0.22213807211136	0.80200531317332	0.12146013960617	0.0021296594288233	9.2224737569555
19.2	6.9955157607852	0	0.009597781365515	0.16493554267688	0.42522514511853	0.12247987482821	0.00045349119130072	2.4265874221306e-05	0.22590993956827	0.13059284533225	0.22206696164998	0.80176002994216	0.12142228507465	0.0021489326211285	9.2221328560283
19.48	6.9955790839061	0	0.0094908884639617	0.1649997914734	0.42530033894068	0.1224633314764	0.00044451858540816	2.3645596538159e-05	0.22588107927498	0.13053730847987	0.22196738279931	0.80141638369716	0.12136924287207	0.0021777440089408	9.2216507395749
19.872	6.9956665508461	0	0.0093432383015655	0.16508468244612	0.42539872784067	0.12243959267454	0.00043285032594031	2.2830868265566e-05	0.22583945895093	0.1304594593871	0.22182793604761	0.80093481852166	0.12129490364159	0.0022205277975885	9.2209655776497
20	6.9956948166166	0	0.0092955235274704	0.16511121523389	0.42542922471996	0.12243170585047	0.00042923688583821	2.2575212198567e-05	0.2258255837985	0.1304340179047	0.22178239554572	0.80077746522382	0.12127061186002	0.0022347920711438	9.2207391644503
20.2	6.9957386926293	0	0.0092214570026599	0.16515127351526	0.4254750527473	0.12241920891901	0.00042377445735893	2.2182971858354e-05	0.22580353979679	0.13039424241377	0.22171123044856	0.80053149544499	0.12123263839899	0.0022578572572114	9.2203826460031
20.48	6.9957995310132	0	0.0091187553007258	0.16520437815685	0.42553496832439	0.12240135119184	0.00041647546134977	2.1661650018522e-05	0.22577192275692	0.13033851134235	0.22161158540822	0.80018693346534	0.12117944289895	0.0022921801673267	9.2198776971375
20.872	6.9958835648027	0	0.0089768943982328	0.16527278192688	0.42561106131783	0.12237568435837	0.00040687056901231	2.0969202379722e-05	0.22572627663097	0.13026041046886	0.22147206361089	0.79970416739848	0.12110491203896	0.0023429439766219	9.2191586007002
21	6.9959107208132	0	0.0089310504898501	0.16529373116519	0.42563407218364	0.12236714764916	0.00040387008335216	2.0750069616393e-05	0.22571104873293	0.13023489113287	0.22142650246029	0.79954644033404	0.12108056274359	0.002359819916928	9.2189206077747
21.2	6.9959528738922	0	0.0088598880648881	0.16532484555826	0.42566796085354	0.12235360988495	0.00039930893219255	2.0412903445311e-05	0.22568684336465	0.13019499826881	0.22135530885305	0.79929990376153	0.12104250422622	0.002387039442932	9.2185454980067
21.48	6.9960113226377	0	0.0087612132273178	0.16536496448102	0.42571066746577	0.12233424235865	0.00039316541858867	1.9961831643817e-05	0.22565210219746	0.13013911108087	0.22125563102354	0.79895458145782	0.12098919869085	0.002427321246757	9.218013483118
21.872	6.9960920544895	0	0.0086249145909901	0.1654143426078	0.42576174158055	0.1223063665322	0.00038499323754007	1.9357948293289e-05	0.22560190683805	0.13006080559814	0.22111607551474	0.79847081066111	0.12091452957743	0.0024865191432955	9.2172544183197
22	6.9961181431219	0	0.0085808681921961	0.1654288956485	0.42577638187519	0.12229708740033	0.00038242033639684	1.9165717230281e-05	0.22558515504242	0.13003522247281	0.22107050603483	0.79831276918229	0.12089013863261	0.0025061073594207	9.2170028610161
22.2	6.9961586390351	0	0.0085124959983168	0.1654498218541	0.42579696188807	0.12228236355018	0.00037848990182966	1.8869582038673e-05	0.22555852106719	0.12999523290773	0.22099930203352	0.79806575421164	0.12085201837111	0.0025375802666257	9.2166060506675
22.48	6.9962147893131	0	0.0084176901335763	0.1654752805034	0.42582059075535	0.12226128360755	0.00037315897003432	1.8471838617548e-05	0.22552028619375	0.12993921603426	0.22089961462879	0.79771978707499	0.12079863267203	0.0025838206254712	9.2160426223509
22.872	6.9962923451692	0	0.0082867356707368	0.16550346827601	0.42584418486029	0.12223092314251	0.00036600177486716	1.79371437103e-05	0.22546504561273	0.12986073861719	0.22076005421908	0.79723515876165	0.1207238623378	0.0026511260482823	9.215237581634
23	6.9963174071449	0	0.0082444163018156	0.16551096896862	0.42584969874297	0.12222081472119	0.00036373358860221	1.776643378119e-05	0.22544661543807	0.12983510142447	0.22071448501035	0.7970768477319	0.12069944079027	0.0026732428001393	9.2149705390971
