# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
16.48	2.7203847201212	0	0.19808002213332	6.6074275699823	0.033286012085131	2.1721108344637	1.4565481693967	1.8210669900308	0.37403720771675	0.16511676512015	0.098665480595653	1.4409115928758	0.18130482736108	4.0367460204507
16.872	2.6828864828748	0	0.189338950509	6.546834411482	0.031713253678867	2.1544032482101	1.4177479472259	1.792736590275	0.36236476355292	0.15987022401245	0.092442176971947	1.40302660679	0.17316033878789	3.9788716287979
17	2.671292953454	0	0.18670146698604	6.527910375028	0.031243182767465	2.1488721608157	1.4056447255023	1.783581307727	0.35883734770885	0.15827070500276	0.090586199115115	1.3912955577709	0.17069209935128	3.9595603324425
17.2	2.6501290873527	0	0.18278196475275	6.4876412585561	0.030486972050323	2.1370606935878	1.3874607771485	1.7693697780571	0.35299293480747	0.15569692360815	0.087849848246087	1.3735629480696	0.16695106063442	3.9238926134709
17.48	2.619784180483	0	0.17767492689472	6.4386377674078	0.029549868609777	2.1227038941947	1.3633143953886	1.7496638692248	0.34560026492875	0.15244697210009	0.084327134655613	1.3498706037051	0.1621929936892	3.8748368017889
17.872	2.5801631423871	0	0.17118878765335	6.3747853426323	0.028401812067145	2.1039937412592	1.3316008625774	1.7224442841772	0.33640015029092	0.14834749264053	0.079931910947916	1.3186975019652	0.15618537288493	3.8047882203387
18	2.5678502690599	0	0.16921589347207	6.3546407440458	0.028055972355439	2.0980830894587	1.3215909821476	1.7136479745701	0.33360003708609	0.14708533203512	0.078613582743773	1.3089602280361	0.15434688732717	3.7814134944958
18.2	2.5448763049395	0	0.1662682443767	6.3113478583411	0.027496023207402	2.0853185962445	1.3065047396116	1.6999936699133	0.32892379481647	0.14503896523411	0.076662296584383	1.2941591357048	0.15154870163919	3.7383383201398
18.48	2.5118646133999	0	0.16239657256046	6.258019446443	0.026799038348775	2.0695969394613	1.286322261215	1.6810604167534	0.32298819786556	0.1424417332078	0.074135202332658	1.2742249561401	0.1479663297403	3.6787454781115
18.872	2.4681381428913	0	0.1574223268267	6.1876896493552	0.025936886757122	2.0488306039251	1.2595224702455	1.6549080926738	0.3155406075938	0.13912981568342	0.070954089415083	1.2477113465124	0.14339187161612	3.5940698527859
