# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
17	9.9041770623915	0.0019590098787805	0.00069541993033746	0.00046515035587063	0.0028998933766926	0.00013665131342802	0.1280621873652	0.033237953505615
17.2	9.9052392949219	0.0019266665268274	0.00068219857435391	0.00045341177450616	0.0028451993009616	0.00013298789378961	0.12423292666527	0.032951163598139
17.48	9.9067001263021	0.0018829994346626	0.00066458567979484	0.00043802450309198	0.0027722588431667	0.00012820394059119	0.11894413015544	0.03254469225768
17.872	9.9087199574653	0.001824477964049	0.00064148087752241	0.0004182539999769	0.0026765552544616	0.00012210650742147	0.11167950904897	0.031963867102851
18	9.9093744722222	0.001805877408207	0.00063427173828784	0.00041216535323293	0.0026467109598265	0.00012024480934341	0.10934123831514	0.031772376385996
18.2	9.9104000813802	0.0017775581126066	0.00062332440240956	0.00040304508259711	0.0026014074808954	0.00011745702707255	0.10572277133949	0.03146996004426
18.48	9.9118204736328	0.0017390471941951	0.00060861551456336	0.00039098137145123	0.0025405517481265	0.00011378621223497	0.10072981488611	0.031039716813258
18.872	9.9138035692274	0.0016869030319384	0.00058908123959602	0.00037526808704993	0.0024598392497675	0.00010904879037765	0.093886695112542	0.030422127125674
19	9.9144502568359	0.0016701940231743	0.00058292944339547	0.00037037575444453	0.0024344580065558	0.00010758795352063	0.091689226952837	0.030218059709529
19.2	9.915468039388	0.0016446765666976	0.00057353272702165	0.0003630043078614	0.0023957187732159	0.00010538607024076	0.088294897042903	0.029895319044972
19.48	9.9168840349392	0.0016097773347768	0.00056080438990351	0.00035316252450579	0.0023432749211029	0.00010245921352598	0.083625991618711	0.029435462545655
19.872	9.918872390842	0.0015621548412122	0.00054371140877188	0.0003401694724659	0.0022729651498339	9.8630489036865e-05	0.07726115150961	0.028774783716984
20	9.9195229274089	0.0015467994729556	0.00053828526177652	0.00033608171740769	0.0022506806610035	9.7437744438755e-05	0.075226596630019	0.028556585084168
20.2	9.9205492747396	0.0015233117584582	0.00052995632812069	0.00032989029613868	0.002216499689491	9.5628102508717e-05	0.072094229217317	0.028211661414174
20.48	9.9219791251085	0.0014910748703191	0.00051860144526325	0.00032155620139192	0.0021699149890343	9.320055444763e-05	0.067808053692688	0.027720875491333
20.872	9.923989211263	0.001446887521785	0.00050322459554987	0.0003104286677356	0.0021069087820127	8.9985090656951e-05	0.062011932178952	0.027018081141865
21	9.9246468146701	0.0014325849584434	0.00049831527259213	0.00030689794555612	0.0020868179999342	8.8974350494381e-05	0.060171059468277	0.026786748399537
21.2	9.9256848125	0.0014107091193053	0.0004907545969635	0.00030153015258923	0.0020558893769273	8.7432239136319e-05	0.057349580798649	0.026421978516745
21.48	9.9271279414062	0.0013806519275199	0.00048040564050643	0.00029426246047108	0.0020135408511951	8.5348153170395e-05	0.053515394331904	0.025905217726606
21.872	9.9291493830295	0.0013394128818059	0.00046632417206374	0.00028448468440841	0.001955941834872	8.2561028545576e-05	0.048383897519882	0.025170761227468
22	9.929808515191	0.0013260477035587	0.00046181523716781	0.00028136486831579	0.0019375106258075	8.1679217311319e-05	0.046767218053789	0.024930494140363
22.2	9.9308474790582	0.0013056391000853	0.00045486092357745	0.00027661314494964	0.0019090815999113	8.0328612134353e-05	0.044303132115483	0.0245533660105
22.48	9.9322839990234	0.0012776338918194	0.00044532947494616	0.00027016096070029	0.0018700731707637	7.8494679706053e-05	0.04098292447221	0.024023043759518
22.872	9.9342796866319	0.0012392998396616	0.00043234816947947	0.00026145147532699	0.0018169122007621	7.6028427148193e-05	0.036594842045414	0.023278125394975
23	9.9349262027995	0.0012268914496435	0.00042819098552748	0.00025866609251551	0.0017998876769086	7.5245496974196e-05	0.035225778774534	0.023036621809553
23.2	9.9359422223307	0.0012079970655856	0.00042178121370462	0.00025442392745676	0.0017736235717166	7.4044187870485e-05	0.033152995657791	0.022660077971437
23.48	9.9373345775825	0.0011821529200664	0.00041300650027327	0.0002486632762463	0.0017375994769239	7.2410117681202e-05	0.030388132208751	0.022136090259433
23.872	9.9392449004991	0.0011469497139753	0.00040108455347304	0.000240891589208	0.0016885751963979	7.0209508508618e-05	0.026787737076301	0.021411679925679
24	10.022704814887	0.0011284334199891	0.00041152932260336	0.00023724269660841	0.0016856745723804	7.0625960181055e-05	0.025667452560911	0.021533184788228
24.2	10.015111371636	0.0011224607893778	0.00058721481251148	0.00023469412687782	0.0020127113407117	8.3616865924777e-05	0.02401897420082	0.025575117870065
24.48	10.008257256944	0.0011820159315223	0.00073315463719865	0.00024315833864124	0.002373776588749	9.4296039585706e-05	0.021910261772577	0.028759980155754
24.872	10.001097173177	0.0013859240027427	0.00085519762797835	0.00027960136768956	0.0027875341510511	0.00010534725284832	0.019307203548133	0.030814934080166
25	9.9988186843533	0.0014774699063561	0.00088939448135716	0.00029684286854834	0.002918213527631	0.00010930998038763	0.018538201209513	0.031214468423687
25.2	9.9206397879774	0.0016309540155479	0.00075444101226747	0.00032710142946562	0.0027688836658439	0.0001016489270407	0.017400938075377	0.027097608498553
25.48	9.923639921224	0.0018186025921644	0.00067380727818121	0.00036658802673803	0.0026755092936461	0.00010082018642963	0.015914171902183	0.023720588301004
25.872	9.9238460733507	0.0020297951066457	0.0006665834532451	0.00041229144086782	0.0026991669028835	0.00010836386547995	0.014045859890212	0.021570121580707
26	9.92348197602	0.002089481047517	0.00067564850823154	0.00042521121308094	0.002729831758258	0.00011155374858334	0.013487378900772	0.021192763094068
26.2	9.9226997144097	0.0021735306320225	0.00069585099846186	0.00044345685621003	0.0027943768400823	0.00011675422661231	0.012666196502427	0.020810846797614
26.48	9.9214480911458	0.0022754790201198	0.00072898304917847	0.00046557896104364	0.0029055566658554	0.00012383382389416	0.011617661805485	0.020525767545906
26.872	9.9197704532335	0.002391668037051	0.000774513660132	0.00049081361402034	0.003075723213677	0.00013258681912333	0.010332809555796	0.020352440133312
27	9.9192766597222	0.0024240954282954	0.00078814693383656	0.00049785695582706	0.0031305548770564	0.00013511110658209	0.0099537498515146	0.020320071919074
27.2	9.9186009917535	0.0024693531126212	0.00080790467919886	0.00050771892248558	0.0032138311551417	0.00013871382622681	0.0093998003521657	0.020282845781461
27.48	9.9177809440104	0.002522802074594	0.00083217560489223	0.00051940583655192	0.0033226726773139	0.00014308157326414	0.0086969202734059	0.020243333708088
27.872	9.9169120287543	0.0025804397996677	0.00085963300369361	0.00053209336611986	0.0034554253339008	0.00014798170586926	0.0078397566713756	0.020191296597242
28	9.9166912310113	0.0025956614074123	0.00086713552601794	0.00053546150752901	0.003493545222517	0.00014931746255879	0.0075872680801903	0.020173016133077
28.2	9.9164208026259	0.0026160674865836	0.00087748040019219	0.00054000346663468	0.003547822951217	0.00015115846489385	0.007218362997485	0.020142580506596
28.48	9.9161432399089	0.0026383803454054	0.00088936821896442	0.0005450233441881	0.0036131714935065	0.0001532760222838	0.0067499718699853	0.020095424918576
28.872	9.9159500404731	0.0026587841426001	0.00090150823426445	0.00054973514198118	0.003684914178345	0.00015544796794599	0.0061773587974291	0.020019498601003
29	9.9159289288194	0.0026631681746204	0.00090450955217268	0.00055078449003115	0.0037038991088726	0.00015598811632149	0.0060082266197693	0.019992477825214
29.2	9.9159393732639	0.0026679431571941	0.00090831133460085	0.00055197760613107	0.0037293660561887	0.00015667621819602	0.0057605668999207	0.019948219588326
29.48	9.9160213487413	0.002670760468976	0.00091198835555512	0.00055281862311433	0.0037570581879894	0.00015735086307358	0.0054449474748276	0.019882482293844
29.872	9.9162590068359	0.002668020188984	0.00091431602606163	0.00055256529135378	0.0037818998290206	0.00015780138490384	0.0050567606444469	0.019783710944655
30	9.9163626167535	0.0026657125186651	0.00091447719662509	0.00055217975940226	0.0037870049777788	0.00015784360081722	0.0049415271331988	0.019750093147248
