Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
30.872	7.1969531662046E-10	3.4682835583181E-9	7.8908829037216E-9	1.1813687012521E-10	2.8155334797476E-8	-2.1623689837295E-4	8.6685491655214E-14	0.11535963796513	
31.0	7.1872444516155E-10	3.4652568974345E-9	7.9047783213329E-9	1.1798180411404E-10	2.8124107015496E-8	-2.1637632978419E-4	8.6685596528624E-14	0.11535949851224	
31.2	7.1694007442727E-10	3.459044048836E-9	8.0352525109558E-9	1.1769526510267E-10	2.8069792981796E-8	-2.1658643948949E-4	8.6685754487042E-14	0.11535928847041	
31.48	7.1394232065655E-10	3.4475359496673E-9	7.9131793733485E-9	1.1721143789823E-10	2.7992655889584E-8	-2.1687599053516E-4	8.668597240352E-14	0.11535899870516	
31.872	7.08890460964E-10	3.4266154501265E-9	7.8972918149591E-9	1.1639256374611E-10	2.7881551688737E-8	-2.1726273396527E-4	8.6686263364144E-14	0.11535861180795	
32.0	7.0706017564544E-10	3.4187645436917E-9	7.9104572173421E-9	1.1609525722283E-10	2.784449348465E-8	-2.1738498443798E-4	8.6686355325983E-14	0.11535848952361	
32.2	7.0403489508527E-10	3.4055678255915E-9	8.0387866591364E-9	1.1560328219503E-10	2.7782910277137E-8	-2.1757165019866E-4	8.6686495666662E-14	0.11535830290788	
32.48	6.9949335414008E-10	3.3853579420412E-9	7.9146482501201E-9	1.1486382941607E-10	2.7696021459121E-8	-2.1783389258066E-4	8.6686693062262E-14	0.11535804042898	
32.872	6.9261639324567E-10	3.3541217803993E-9	7.8968797447438E-9	1.1374263222066E-10	2.7572405227391E-8	-2.1819255273465E-4	8.668696292369E-14	0.11535768158821	
33.0	6.9026302448121E-10	3.3433068307747E-9	7.909544950016E-9	1.1335864950465E-10	2.7531568380088E-8	-2.1830783734923E-4	8.6687049653197E-14	0.11535756626188	
33.2	6.8648762006936E-10	3.3258444373589E-9	8.0359486976013E-9	1.127423253131E-10	2.7465208201345E-8	-2.18485301019E-4	8.6687183082986E-14	0.1153573888364	
33.48	6.8102344656997E-10	3.3003733535104E-9	7.9104594852571E-9	1.1184986394062E-10	2.7372114998602E-8	-2.1873719160997E-4	8.6687372704992E-14	0.1153571366954	
33.872	6.7307635021952E-10	3.2630033504719E-9	7.8915388131153E-9	1.1055106038158E-10	2.7240862681351E-8	-2.1908600945531E-4	8.6687635178811E-14	0.11535678768077	
34.0	6.7042153995202E-10	3.2504519695767E-9	7.9039031221252E-9	1.1011701421133E-10	2.7197794835626E-8	-2.1919905186632E-4	8.6687720226405E-14	0.11535667459202	
34.2	6.662193813756E-10	3.2305172034831E-9	8.0286119162049E-9	1.0942976413046E-10	2.7128677647276E-8	-2.1937370042986E-4	8.668785154602E-14	0.11535649997423	
34.48	6.6024168193053E-10	3.2020525596816E-9	7.9023394566905E-9	1.0845187976148E-10	2.70321689532E-8	-2.1962246138141E-4	8.6688038822237E-14	0.11535625095508	
34.872	6.5172129849998E-10	3.1613013206845E-9	7.8828301098749E-9	1.0705755299746E-10	2.6897017258205E-8	-2.1996844777416E-4	8.6688299176358E-14	0.11535590476337	
35.0	6.4891078999263E-10	3.1478207356434E-9	7.8950448207084E-9	1.0659752162499E-10	2.6852887144552E-8	-2.2008086025584E-4	8.6688383753134E-14	0.11535579230222	
35.2	6.4449437663863E-10	3.1265921393964E-9	8.0182536734657E-9	1.058744588413E-10	2.6782601069026E-8	-2.2025467364695E-4	8.6688514449655E-14	0.11535561851539	
35.48	6.3827167741238E-10	3.09662235059E-9	7.8916105627525E-9	1.0485552347485E-10	2.6684819728717E-8	-2.2050216605888E-4	8.6688700777077E-14	0.11535537076135	
35.872	6.2950347649533E-10	3.0542930381563E-9	7.8719137094996E-9	1.0341946073575E-10	2.6548576850331E-8	-2.2084633395005E-4	8.6688959769912E-14	0.11535502638499	
36.0	6.2663257057744E-10	3.0404111409701E-9	7.8840850863152E-9	1.0294919470921E-10	2.6504250787221E-8	-2.209581122266E-4	8.6689043871616E-14	0.11535491455734	
36.2	6.221406723874E-10	3.0186585622764E-9	8.0059452832585E-9	1.0221325940817E-10	2.6433994589681E-8	-2.2113082994768E-4	8.6689173747675E-14	0.11535474186425	
36.48	6.1584793842154E-10	2.9881538664973E-9	7.8792158721158E-9	1.0118219908632E-10	2.6336528959138E-8	-2.2137628822513E-4	8.668935854855E-14	0.11535449614395	
36.872	6.070432204814E-10	2.9454179632389E-9	7.8596019122574E-9	9.9739340403087E-11	2.6201236172246E-8	-2.2171689239078E-4	8.6689614865066E-14	0.1153541553319	
37.0	6.0417359551953E-10	2.9314767341089E-9	7.8718006616317E-9	9.9269040077002E-11	2.6157335800496E-8	-2.2182733330313E-4	8.6689697962103E-14	0.11535404484201	
37.2	5.9969582372996E-10	2.9096979223746E-9	7.9924260082827E-9	9.8535056638709E-11	2.6087974246151E-8	-2.2199777059533E-4	8.6689826125577E-14	0.115353874429	
37.48	5.9344562495031E-10	2.8792835269037E-9	7.8657995164139E-9	9.7510496784426E-11	2.5991952444089E-8	-2.222394302211E-4	8.6690008071381E-14	0.11535363250903	
37.872	5.847395451532E-10	2.8368918925888E-9	7.8464431701578E-9	9.6083211467558E-11	2.5859033151652E-8	-2.225738403588E-4	8.6690259731515E-14	0.1153532978941	
38.0	5.8191045705585E-10	2.8231095272751E-9	7.8587142731915E-9	9.5619375545279E-11	2.581598638791E-8	-2.2268206035883E-4	8.6690341158811E-14	0.11535318962626	
38.2	5.7750364458777E-10	2.8016210685206E-9	7.9781904280165E-9	9.4896756143971E-11	2.5748113860593E-8	-2.2284883797113E-4	8.669046657155E-14	0.11535302287364	
