# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
9.872	9.8746029366319	0.003543418168969	0.0015130823570421	0.00153397710571	0.0059723498993358	0.00045946710876928	0.23861009766745	0.034632525558278
10	9.8746659511719	0.0035322426437027	0.0014990931717479	0.0015114670931328	0.005909888320023	0.00045197382224664	0.23168737805642	0.034749898451029
10.2	9.87472075727	0.003515842310842	0.0014773242576324	0.0014758568522012	0.0058156899652013	0.0004403712409642	0.2214716889449	0.034943439864738
10.48	9.8749153489583	0.0034852486719284	0.0014464049993178	0.0014236953843674	0.0056882582894347	0.00042412791848108	0.20839957878077	0.035212123758738
10.872	9.8755782022569	0.0034222885514056	0.001400193684575	0.0013452006835488	0.0055107176053204	0.00040090958550138	0.19246466928182	0.035537808873846
11	9.8758988892144	0.0033970435616955	0.0013842954312462	0.0013188890331088	0.0054519395792686	0.00039323436211583	0.18781731978265	0.03562201036812
11.2	9.8764932976345	0.0033532314997561	0.0013584922258768	0.0012764848823815	0.0053586195054157	0.00038110253872832	0.18109481439327	0.035735134142635
11.48	9.8775460291884	0.003283135565182	0.0013203899395745	0.001215447922468	0.0052242269294557	0.00036383118921506	0.17273687694991	0.035847570937318
11.872	9.8793932777778	0.0031716028944021	0.0012637231575252	0.001129001627105	0.0050281496424954	0.00033934039007033	0.16294004293201	0.035907316906004
12	9.8800561467014	0.0031336196473964	0.00124476393355	0.0011013616614998	0.0049627059111934	0.00033139874422104	0.16015666855899	0.035903912798673
12.2	9.8811513177083	0.0030722476329691	0.0012147796322579	0.001058462402985	0.0048591570559334	0.00031907438807584	0.1561968084311	0.035877892876337
12.48	9.8827845181207	0.0029843741091234	0.0011723973472623	0.00099989605709594	0.0047121878736996	0.00030209432699198	0.151378492188	0.035801856201932
12.872	9.8851844307726	0.0028609798279205	0.0011133688817078	0.00092224869310376	0.0045049844102979	0.00027919267675389	0.1458499904726	0.035628774055554
13	9.8859747098524	0.0028215129695131	0.0010944623345808	0.00089827981290967	0.0044377824431984	0.00027201462574026	0.14428341958707	0.03555924654635
13.2	9.8872161400825	0.0027604232623083	0.0010653808708375	0.00086209467638331	0.0043335201267245	0.00026112026638009	0.14204750980818	0.035439135409545
13.48	9.8889525273438	0.0026769961759031	0.0010258196741493	0.00081425872590323	0.0041898148568643	0.00024657717021755	0.13927932134256	0.035250708601417
