# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
16.48	6.9948625994278	0	0.010700911709258	0.16378247868998	0.42308893417787	0.1221810298994	0.00058480765689255	3.1691022259313e-05	0.22491533193209	0.13125464155229	0.22311910827974	0.80515723254766	0.12198698229045	0.0021089699086311	9.2237747190944
16.872	6.9949612056257	0	0.010534437240019	0.16388476887965	0.42321290538821	0.12215759172989	0.00055900068475432	3.001423702953e-05	0.22487436545385	0.13117768108358	0.22298021956808	0.80468135528058	0.12191380423521	0.0021509240615736	9.2231182734681
17	6.9949930716812	0	0.010480639175538	0.16391696200279	0.42325154284891	0.12214978746601	0.00055121382992104	2.9500470686592e-05	0.22486067077694	0.13115250605514	0.2229348367839	0.80452574804585	0.12188985718695	0.0021651875204289	9.2229015238443
17.2	6.9950425368505	0	0.010397129704693	0.1639658565401	0.42330993609233	0.12213742260363	0.00053964196781847	2.8735950425442e-05	0.22483891694207	0.13111312626058	0.22286389636301	0.80428240194943	0.12185239060714	0.0021883587136005	9.2225603505453
17.48	6.9951111264654	0	0.010281334283858	0.1640313534519	0.4233872499318	0.12211975475609	0.000524564048077	2.7732721638909e-05	0.22480771828214	0.13105791031244	0.22276452436187	0.8039413138309	0.12179984434513	0.0022228207672562	9.2220772475585
17.872	6.9952058685579	0	0.010121387159236	0.16411709510456	0.42348713894959	0.12209432748019	0.00050541449480058	2.6444128298173e-05	0.2247626005797	0.13098045773295	0.22262530887631	0.80346305723431	0.12172611591939	0.0022739962444016	9.2213892124617
18	6.9952364854814	0	0.010069698483269	0.16414370319904	0.42351778769926	0.12208586035312	0.00049958976050568	2.6046644416293e-05	0.22474752563934	0.13095513339108	0.22257983081616	0.80330672387627	0.12170200535187	0.0022910436261112	9.2211614343218
18.2	6.9952840112664	0	0.0099894633648715	0.16418369064296	0.42356356529826	0.12207244606807	0.00049088717858757	2.545370553167e-05	0.2247235903591	0.13091553100429	0.22250875221645	0.80306229052798	0.12166429838563	0.0023183509536348	9.2208023309718
18.48	6.9953499108223	0	0.0098782082043853	0.1642363685682	0.42362296664296	0.12205328113879	0.00047945652945441	2.467172774751e-05	0.22468928813227	0.13086002372526	0.22240920693518	0.80271977017357	0.12161144405521	0.0023581422593886	9.2202927389147
18.872	6.9954409352337	0	0.009724532491883	0.16430356522192	0.42369732476612	0.12202570498352	0.0004647706613183	2.3660188388567e-05	0.22463973365139	0.1307821986471	0.22226978402062	0.80223966699976	0.12153733402511	0.0024158464062278	9.2195650572971
