# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
24.872	0.0007432648307314	116.61407227234	0.00049738109089743	0	0.030234550443853	1.0650728524971	1.4416578087045	3.7162165669068	1.0659474252035	0.0035832476983835	0.00015271694202385	1.9623533169744	0.0017052044053283	0.088738172026411	1.1367288333797	1.9310650468939	6.1121183215288e-05	0.0092486807938679	6.9722891250296	0.01001174386962	1.8578452208828e-07	0.0014816558874133	1.056095647984	0.017108528057664	0.0032660925601753	0.0032660925442524
25	0.00079342856161595	116.61539400022	0.00051483709451323	0	0.032328221940503	1.1697858413905	1.4414912299894	3.7161802588775	1.0658794882842	0.0038289494542672	0.00016259195973566	1.9622311365226	0.0017818209318434	0.089484307287786	1.1365184440402	1.9306820021582	6.3531945278907e-05	0.0089102291452759	6.9709288431986	0.010086259225008	1.8788519131097e-07	0.0015817612818005	1.0558842657704	0.017237838917731	0.0032626964775189	0.0032626964616126
25.2	0.00087677940201988	116.61755094754	0.000405516617847	0	0.035613361798795	1.1604649986387	1.4412231113954	3.7160468730428	1.0657475056523	0.004214591565575	0.00017958635677282	1.9619899563075	0.0016227793574678	0.091614730336516	1.1361879002728	1.9300782235612	5.7166867562125e-05	0.008290116127232	6.9688224660833	0.01024003837549	1.6682744282862e-07	0.0017389540896005	1.0555560104187	0.014084818284325	0.0032767323774226	0.0032767323614478
25.48	0.00097945189666535	116.6205416453	0.0003627510943376	0	0.039691048509632	1.1475405796702	1.4408311364253	3.7157268925623	1.065519393249	0.0046932341847796	0.00020138884141767	1.9615682677233	0.0015382754462643	0.089876325985128	1.1357203740519	1.9292250426761	5.7470186194131e-05	0.0075216343690798	6.9659110320742	0.0096194970755003	1.5517099740432e-07	0.0019340325422722	1.0551007263508	0.012298741804148	0.0033223724666242	0.0033223724504264
25.872	0.0010976446847039	116.62467265332	0.00037461902984455	0	0.044495823911756	1.1296881934069	1.4402473871904	3.7152094441616	1.0651729616234	0.0052571525541643	0.0002267543009725	1.9609257625153	0.0015644986126118	0.089031078144248	1.1350653746443	1.9280311295213	6.3170793689107e-05	0.006641809794324	6.9618990306973	0.0089723174241561	1.5162399854231e-07	0.0021638227511826	1.0544707605744	0.01156727622682	0.0033906045246877	0.0033906045081565
26	0.0011313235274126	116.62600763305	0.00038370791306768	0	0.045869098113559	1.1239190081311	1.4400491005076	3.7150396920026	1.0650580068082	0.0054183106288053	0.00023397316463252	1.9607124157419	0.0015901648492808	0.089021114135585	1.1348524632626	1.9276425713307	6.5271177772163e-05	0.0063970732843695	6.9606024510214	0.0088410233638316	1.5162574880421e-07	0.0022294816841522	1.0542666268724	0.011481311104768	0.0034107742731641	0.0034107742565344
26.2	0.0011791537121682	116.62807993664	0.00039953200622398	0	0.047833519306626	1.1149636358891	1.4397308198203	3.7147770505216	1.0648777246699	0.0056488227648746	0.0002442412910314	1.9603777572792	0.0016403268028416	0.090319579456528	1.1345211218542	1.9270370082826	6.8499098460553e-05	0.0059643049166876	6.9585889026039	0.0090663851443272	1.5177622838775e-07	0.00232338509072	1.0539491102557	0.011400823278138	0.0034398410947665	0.0034398410779947
26.48	0.0012376569009343	116.63095352777	0.00042165326032672	0	0.050243358983741	1.1025459872746	1.4392683583018	3.7144158059333	1.064625073522	0.0059315633588565	0.00025679800820797	1.9599086878392	0.0017199993224409	0.088836761024253	1.1340603871509	1.9261924519944	7.2667616461042e-05	0.0054456070370155	6.9557926883734	0.0088697682476115	1.5248164114014e-07	0.0024385408532737	1.0535072473962	0.011364468572398	0.0034758653723512	0.0034758653554034
26.872	0.0013051756739182	116.63492299439	0.00044919758735926	0	0.053027707600811	1.0853936032328	1.438593057026	3.7139291576002	1.0642723026673	0.0062581686971393	0.00027129681312838	1.959253690739	0.0018322520079065	0.088615988592902	1.1334217872976	1.9250159437414	7.7640325736802e-05	0.0048642349182933	6.9519163035489	0.0086759310521216	1.5390654683436e-07	0.0025715152442533	1.0528931329947	0.011370407332789	0.003517308755017	0.0035173087378667
27	0.001324188615063	116.63620580001	0.00045715731817962	0	0.053809489990887	1.0798506268683	1.4383669666172	3.7137749845265	1.064157449969	0.0063498525602318	0.00027537972069253	1.9590404394528	0.0018668364735553	0.088768191858284	1.1332147602635	1.9246330483368	7.9057482268528e-05	0.0047037845063348	6.9506584943636	0.0086407459825431	1.543803314901e-07	0.0026088313658488	1.0526935429787	0.01137751093953	0.0035288582571457	0.0035288582399389
27.2	0.001350986934143	116.63819711738	0.00046853991595674	0	0.054913019120669	1.0712463943675	1.4380078281367	3.7135379992782	1.0639782301067	0.0064792484212175	0.00028114426032875	1.9587076738548	0.0019180750296701	0.090248129285536	1.1328927107418	1.9240359506797	8.1074471277637e-05	0.0044235557621653	6.9487004046901	0.008970716955617	1.5485536799546e-07	0.0026614835787071	1.0523825389826	0.011378037863564	0.0035452828708073	0.0035452828535203
27.48	0.0013831370646031	116.64095840038	0.00048239526724085	0	0.056236647420167	1.0593156425007	1.4374935832667	3.713211227467	1.0637277150684	0.0066344089882819	0.00028806928363065	1.9582425293472	0.0019830517950572	0.088945901600856	1.1324445610023	1.9232021962896	8.3520066992147e-05	0.0040887487318314	6.9459722634936	0.0088548753020754	1.5540468738718e-07	0.0027245927788831	1.0519486983782	0.011383385744363	0.0035656706842858	0.0035656706668992
27.872	0.0014188985601692	116.64477269379	0.00049809050149322	0	0.05770697259291	1.0428358068266	1.4367551135371	3.7127641715797	1.0633777850593	0.0068066790761874	0.00029579160186109	1.9575927971504	0.0020599543779364	0.088866284654597	1.1318218481154	1.9220386350321	8.6284788705236e-05	0.0037140004260677	6.9421746386971	0.0087027436345521	1.5611475108835e-07	0.0027946071450388	1.0513439242537	0.011392445399883	0.0035894263901762	0.0035894263726734
28	0.0014285992026065	116.64600535077	0.0005024096329525	0	0.058104514057164	1.0375101692061	1.4365103136053	3.7126202807961	1.0632636962001	0.00685323346405	0.00029789084410493	1.9573809629965	0.0020816975658666	0.089047391057186	1.1316194963183	1.9216594671439	8.7045406540445e-05	0.0036105012376385	6.940938979842	0.0086721848801329	1.5630771804441e-07	0.0028135133459863	1.0511469767199	0.011395027553961	0.0035961426848898	0.0035961426673543
