# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
14.48	2.818362576227	0	0.2658082709168	6.4898385348706	0.044715790197766	2.1428696667891	1.7255611542121	1.9727339563711	0.43751177396872	0.20034653053736	0.14932277533348	1.7009429528448	0.24419777938948	4.1659349478748
14.872	2.7672050342758	0	0.24858792780921	6.4107624308573	0.041670171545128	2.1190262731105	1.6613708618776	1.9420440801493	0.41904939333036	0.19124761258756	0.13616000531299	1.6387168993314	0.22812712247157	4.0990879818451
15	2.7515924047773	0	0.24345600828747	6.386067183304	0.040759322689024	2.1116134948708	1.641767607886	1.9321263042013	0.41342258365499	0.1884918984653	0.13226502872095	1.6197914067356	0.22331994842245	4.0768692452912
15.2	2.7237676515216	0	0.23589353872243	6.3398689204619	0.039410823087894	2.0977075036838	1.612630821889	1.9167311745216	0.40496048117059	0.18438580005812	0.12655336386008	1.5915171738817	0.21624976709356	4.0347119475738
15.48	2.6844423366677	0	0.22616520228004	6.2794330779376	0.037684306526204	2.0796054304631	1.5744742302541	1.8953840701467	0.39395509089194	0.17906710775453	0.11926132577999	1.5543831950456	0.20717878051831	3.9762715850579
15.872	2.6321275372831	0	0.21404116997237	6.1977025051976	0.035538964611282	2.055223532648	1.5255505390886	1.8658975191704	0.37997103601552	0.17233521163724	0.11027711169655	1.5066807960552	0.19588517618213	3.8925110292626
16	2.6159617823013	0	0.21040793821397	6.1716978124398	0.034894692869784	2.0474773088491	1.5103926273683	1.8563686130394	0.37569264941214	0.17028117703457	0.10760967830523	1.4920436095295	0.19247828206625	3.8640947129299
16.2	2.5871170949785	0	0.2050336472119	6.1237588239324	0.033937420975797	2.0331074261428	1.4878386575984	1.8415771164075	0.36921369698346	0.16720485847481	0.10368901559586	1.4700482861329	0.18746112361745	3.813155091398
16.48	2.5458351510974	0	0.19808001281844	6.0598050632624	0.032708962571875	2.0139868683619	1.4580752253457	1.8210670173621	0.36077199184855	0.16320085786118	0.098665471880238	1.4409115811511	0.18099626048741	3.7417175455455
16.872	2.4897605662989	0	0.18933894161033	5.9716478885548	0.031174252653201	1.9876439964753	1.4194578629299	1.7927366121217	0.34998768422009	0.1580869783274	0.092442168800943	1.4030265934583	0.17288420879719	3.639144639209
