# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
7.2	6.2112264528303e-05	7.5841483024458e-05	0.00011530836309522	1.4329344764254	1.041606035327	3.3110133674059	0.00064103319623818	0.041676150904227	1.1343375133028	1.9213916273158	1.951556413955	0.35526278901429	6.9715783708271	0.018085245943173	1.0165862736043	4.1649569258399e-05	4.8602452368411e-08	0.021498707088289	0.015094853687316	0.015094853613171
7.48	6.2955262324133e-05	7.3585518279642e-05	0.00011023542267691	1.4358954491183	1.0415839408639	3.3139237984941	0.00059980513192167	0.039265025798297	1.1341312487692	1.9219599883874	1.951138768396	0.34344808641094	6.9699884119967	0.017786547692471	1.0163653932695	3.9347114009731e-05	4.8116245425639e-08	0.0213490115911	0.012126794064658	0.012126794005203
7.872	6.4962882431423e-05	7.5423238366158e-05	0.00011211790446459	1.4398201785522	1.0415397192703	3.3177573297588	0.00060013008688332	0.036883841251902	1.1338385171759	1.9226946946036	1.9505525911687	0.32822196032572	6.9677630125057	0.017317134604909	1.0160558316057	3.987602704205e-05	4.7698141926821e-08	0.021308517134161	0.0088700881975539	0.008870088154155
8	6.5677901677339e-05	7.6232086090707e-05	0.00011324233222691	1.441048491183	1.0415222833548	3.3189535715971	0.00060479691883971	0.036276470055045	1.1337426385477	1.9229208474765	1.9503611361761	0.32367209135966	6.9670365020133	0.017165598751407	1.0159547545097	4.0266117666316e-05	4.7597326202571e-08	0.021320648512002	0.0079848861341924	0.0079848860951464
8.2	6.1421173326384e-05	6.8310147801259e-05	0.00010491268706176	1.4428964177555	1.0414910450175	3.32074124684	0.00056033580852766	0.035673317483854	1.1335905858011	1.9232558335721	1.9500604038725	0.31219363949115	6.9659000656596	0.017058393291328	1.0157959222481	3.6495288624107e-05	4.7043188305617e-08	0.021279852136454	0.0067644168135379	0.0067644167804854
8.48	6.3611343620058e-05	6.8475114509686e-05	0.00010438368337698	1.4453213018358	1.0414381033768	3.3230648064183	0.00054895687950118	0.034711605270975	1.1333740100391	1.9236824022568	1.9496372222612	0.29734990761609	6.9643086671753	0.016594076900963	1.0155726687089	3.5828313047209e-05	4.6503390025349e-08	0.021257280649397	0.0053496134147678	0.0053496133886517
8.872	6.8044968066568e-05	7.2710670781233e-05	0.00011013543007589	1.4483743655334	1.0413447714992	3.3259589015394	0.00057208911675091	0.034020244607483	1.1330681324691	1.9241910180057	1.9490437241249	0.27928170880676	6.9620812026307	0.015879178069726	1.0152598672125	3.764417919777e-05	4.5984015032211e-08	0.021375438920259	0.0038456209361685	0.0038456209174125
9	6.9635890820208e-05	7.4368783599721e-05	0.00011255069431558	1.4492938206247	1.041310020985	3.3268239028589	0.00058348274715391	0.033905312279105	1.1329680050595	1.9243373810662	1.9488498726359	0.27408528210176	6.9613540103702	0.015649337056134	1.0151577268979	3.8454995356933e-05	4.5864997443698e-08	0.021442896417649	0.0034479204872654	0.0034479204704533
9.2	7.079548575149e-05	7.1139144954048e-05	0.00011110926442732	1.4506359712265	1.0412506223592	3.3280746012497	0.00057409972356231	0.034111715606597	1.1328102657458	1.9245425223791	1.9485460979437	0.26255573195702	6.9602174585808	0.015413840225064	1.0149976095319	3.6959496298445e-05	4.5389795741325e-08	0.021577099309196	0.0029134925341123	0.0029134925199109
9.48	7.594501967718e-05	7.419859981103e-05	0.00011581554108157	1.4523194427391	1.0411568066112	3.3296183686595	0.00059195533328335	0.034117320901027	1.1325871810771	1.9247804744303	1.9481194953451	0.24807142472748	6.9586262955331	0.014814798576148	1.0147728614081	3.7922142681166e-05	4.4892667683635e-08	0.021786801818466	0.0023214898525404	0.0023214898412289
