# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
10.872	1.1754776943936e-07	1.0394990251675e-07	1.6950392387402e-07	0.016391171890967	0.011698066965449	0.037486497604781	8.5066018371329e-07	0.036696239827821	0.089481059126835	0.012720079496964	0.021644395367418	0.021877322689234	0.0002084249397754	0.078142092183378	0.012518010873613	0.56070838673367	0.011395734020578	5.231337640778e-08	4.2990367067508e-08	3.144047113478e-06	2.5861731244697e-05	0.90919687356084
11	1.2025699504264e-07	1.064878189937e-07	1.7375810849921e-07	0.016395458838598	0.011697413477731	0.037490017627419	8.71586154006e-07	0.036993704820327	0.090236506244787	0.012718981172908	0.021644635207004	0.02187524417651	0.00020388931477089	0.078134375799543	0.012379572982859	0.56007287556325	0.011394638847457	5.3574312250552e-08	4.2856921301155e-08	3.1529077975207e-06	2.6011358839556e-05	0.90919734119504
11.2	1.176069721629e-07	1.0075608809182e-07	1.7274928441198e-07	0.016401810805654	0.011696386292889	0.037495172068959	8.7533912391279e-07	0.037757545160549	0.09366030197354	0.012717271677464	0.021644953858729	0.021872010818831	0.00019518697561104	0.078122379376889	0.012350706408356	0.58478744992174	0.011392933499729	5.2068919058524e-08	4.2356352218486e-08	3.0220332352604e-06	2.622498796288e-05	0.90919814010232
11.48	1.2039183766176e-07	9.9752198652835e-08	1.7450971069325e-07	0.016410111429411	0.011694939748149	0.037501801813221	8.8893013652297e-07	0.038288361410706	0.093243022099161	0.012714888463682	0.021645313805629	0.021867507397958	0.00018429134571784	0.078105692874989	0.012094997200901	0.56106205367163	0.011390556714319	5.1588635216269e-08	4.1722258587969e-08	2.9806372326765e-06	2.6403337641743e-05	0.90919937319594
11.872	1.2384154639269e-07	1.0144858344751e-07	1.7860290936369e-07	0.01642090036767	0.01169290401738	0.037510297827948	9.1121085200338e-07	0.039161520321001	0.095708239798283	0.012711572574356	0.021645705396639	0.021861241185466	0.00017138118514395	0.078082487314339	0.011842351447265	0.557075884054	0.011387249154691	5.2176926828249e-08	4.0902880897388e-08	2.978363655972e-06	2.6480456831659e-05	0.90920125341723
12	1.2461827898512e-07	1.0204616718662e-07	1.7982864070334e-07	0.016424282017664	0.011692237823134	0.037512942966893	9.177114702087e-07	0.039448256218708	0.096481035598138	0.012710494223781	0.021645815952939	0.021859202314597	0.00016770303321603	0.078074936296976	0.011783899871538	0.55659194033145	0.011386172874968	5.2436242060984e-08	4.0664399384513e-08	2.9796071318882e-06	2.6476061372251e-05	0.90920189263334
12.2	1.1615984747591e-07	9.314274709928e-08	1.7299401179675e-07	0.016429431487271	0.011691196654864	0.037516933608438	8.9568975643938e-07	0.040151953819568	0.099652425416214	0.012708809436158	0.021645976222488	0.021856019474192	0.00016112828167777	0.078063156236474	0.011875110928463	0.58332930094832	0.011384491371217	4.9360085947181e-08	4.0018093915621e-08	2.8468609130383e-06	2.640951307364e-05	0.9092029187993
12.48	1.1460641919199e-07	8.8258765362573e-08	1.6770400315854e-07	0.016436398283489	0.011689738519092	0.037522257805104	8.7578731040007e-07	0.04055843558937	0.098945586624009	0.012706448443005	0.02164617765296	0.021851567175149	0.00015295020152894	0.078046706104141	0.011735569299209	0.55845672853905	0.011382138280294	4.6850886404334e-08	3.9215211555593e-08	2.8003581541737e-06	2.623304271831e-05	0.90920440492362
12.872	1.1438041894381e-07	8.6147031389478e-08	1.6450458418393e-07	0.016445795009197	0.011687695523426	0.037529351821528	8.6026537700742e-07	0.04125675608438	0.10111698578023	0.012703144081601	0.02164642350605	0.021845344920207	0.00014337455839751	0.078023745941083	0.011589330894556	0.554622905347	0.011378850386295	4.5253524038319e-08	3.8231978248326e-08	2.7890385096286e-06	2.5906322889248e-05	0.90920655343784
13	1.142865683249e-07	8.5820507050898e-08	1.6389051669147e-07	0.016448800956192	0.011687028067281	0.037531607466536	8.5671668373832e-07	0.041484297103145	0.10177121927549	0.012702065887248	0.021646497192025	0.021843315775092	0.00014067207114086	0.078016261362076	0.011555812869125	0.55422975570396	0.011377778313459	4.4955667895531e-08	3.7953374847801e-08	2.7877361239103e-06	2.5793732604729e-05	0.9092072664546
13.2	1.0473120411123e-07	7.7242193695159e-08	1.5499100802335e-07	0.016453432569695	0.011685985054796	0.03753504688189	8.2138679408088e-07	0.042063638029062	0.10451416695903	0.012700378137919	0.021646605084519	0.021840144549496	0.00013608281096666	0.078004573694588	0.011686481899241	0.58256742919596	0.011376102141271	4.1581450404403e-08	3.7303138658618e-08	2.6706166622152e-06	2.5560253619346e-05	0.90920839641937
13.48	1.0215469685502e-07	7.2103023789457e-08	1.4758478816708e-07	0.016459793074004	0.011684523778733	0.037539695276817	7.8742465846392e-07	0.042286928242229	0.10337169878896	0.012698007437795	0.021646738309705	0.021835702691528	0.00013044963578067	0.077988233900662	0.011574235420434	0.55670491748197	0.011373754426409	3.8715688645524e-08	3.6531013918713e-08	2.6299829351346e-06	2.5219664350858e-05	0.90921000874228
13.872	1.011514886184e-07	6.9518979038546e-08	1.425692624628e-07	0.016468508709965	0.011682475243777	0.037545976310966	7.5932754415458e-07	0.042763970651396	0.1050927061242	0.012694681397851	0.021646894074313	0.021829486601265	0.00012397398286331	0.077965401920219	0.011450551685781	0.55293169399132	0.011370470439413	3.6764406191151e-08	3.5642625648143e-08	2.6189668088386e-06	2.4768304317968e-05	0.90921230745245
14	1.0090130984469e-07	6.9074855627745e-08	1.4155926013586e-07	0.016471321038005	0.011681805764358	0.037547989237833	7.5293641727902e-07	0.04292442873507	0.10559574685816	0.012693594731351	0.021646939173886	0.021827458000322	0.00012216915552134	0.077957954720596	0.011422538420662	0.55259861132263	0.01136939897724	3.6384556608815e-08	3.5398204191306e-08	2.617415292058e-06	2.4633045146641e-05	0.90921306499501
14.2	9.2394836106279e-08	6.2277219558221e-08	1.334068611656e-07	0.016475677265035	0.011680759038397	0.037551072480662	7.1742943943485e-07	0.043374600978131	0.10788713991689	0.012691892839771	0.021647001651644	0.021824286910228	0.00011909479493189	0.077946322108417	0.011566729130751	0.58207178095329	0.011367723818823	3.3551000003674e-08	3.4845453656176e-08	2.5160947442375e-06	2.4368879509029e-05	0.90921426002386
14.48	9.0054297019821e-08	5.8204430591257e-08	1.2670127979106e-07	0.016481700986472	0.011679291551984	0.037555265091883	6.8393748743751e-07	0.043431202893517	0.10635878920982	0.012689501230471	0.021647069909215	0.021819844358758	0.00011534856451038	0.077930052473172	0.011461081379918	0.5555239586663	0.011365377568332	3.1174024610213e-08	3.4210121283496e-08	2.4813372289704e-06	2.40230469687e-05	0.90921595520904
14.872	8.9123836771724e-08	5.6156765351829e-08	1.2223753701727e-07	0.016490018106548	0.011677233303991	0.03756097184573	6.570203003588e-07	0.043722214120241	0.10767675791715	0.012686144265898	0.021647134911436	0.021813625265464	0.00011106985175637	0.077907307031539	0.011344868972053	0.55179989223935	0.011362094711289	2.9580953694726e-08	3.3506362115883e-08	2.4719590131866e-06	2.3607137030431e-05	0.90921835768098
15	8.8902319173792e-08	5.5807339853934e-08	1.2135686048498e-07	0.016492713065277	0.011676560540307	0.037562808467895	6.5106728794508e-07	0.04382903879491	0.1080521622731	0.012685047201039	0.021647150716287	0.0218115952394	0.00010987996501567	0.077899885982484	0.011319272320859	0.55151159014853	0.011361023380258	2.9275698725647e-08	3.3315307024524e-08	2.4706223833227e-06	2.3488482013258e-05	0.90921914694566
15.2	8.1711025995056e-08	5.0728335219082e-08	1.1467096367074e-07	0.016496895574526	0.011675508397028	0.037565627288739	6.2052064175239e-07	0.044178115302627	0.1099770149266	0.012683329366716	0.021647166910543	0.021808422224642	0.0001076247181663	0.077888293419045	0.011471177373855	0.58171724358939	0.011359348801546	2.7122688921432e-08	3.285506000677e-08	2.374447551931e-06	2.324344980179e-05	0.90922038948492
15.48	7.9776110529343e-08	4.7723088102056e-08	1.092560498746e-07	0.016502689611577	0.011674032868623	0.03756946747343	5.9223814562637e-07	0.044116042165109	0.10818348527088	0.012680916577423	0.021647169492118	0.021803977985263	0.0001048379112182	0.077872078015579	0.011369210488869	0.55474916678505	0.011357004042349	2.5339908688094e-08	3.2326993181812e-08	2.3407194381145e-06	2.2932961597787e-05	0.9092221480228
