# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
8.872	9.0161231768729e-06	0.16511467767081	0.1187133039509	0.3791593147755	0.12916976710148	0.21935777605265	0.22219098455023	0.7936772570999	0.11573962486222	0.0038456209361685	2.146977343123
9	9.2217291663654e-06	0.16521949555122	0.11870934239228	0.37925792492591	0.12915835257678	0.21937446144154	0.22216888548049	0.7935943571822	0.11572798086636	0.0034479204872654	2.1466679426332
9.2	8.8212539743019e-06	0.16537250071982	0.11870257094894	0.37940050454246	0.12914037029502	0.21939784755121	0.22213425516558	0.79346479027821	0.11570972748664	0.0029134925341123	2.146244880776
9.48	9.2006263765678e-06	0.16556441647225	0.11869187595367	0.37957649402718	0.12911493864279	0.21942497408506	0.22208562246935	0.79328339769077	0.11568410620053	0.0023214898525404	2.1457565160205
9.872	1.0200020694144e-05	0.16579258318939	0.11867464124847	0.37978062135551	0.12907909921956	0.21945249153627	0.22201743821451	0.79302950084692	0.11564821050739	0.0017386993153809	2.1452234854541
10	1.0550939888048e-05	0.16585894999401	0.11866856691879	0.37983889315563	0.12906737555871	0.21945940979621	0.22199517004747	0.79294661346297	0.11563649007585	0.0015939000191077	2.1450759199686
10.2	1.0312954561821e-05	0.1659542232516	0.11865862476894	0.37992103316024	0.12904896695349	0.21946813109414	0.22196030986137	0.79281707432298	0.11561813124297	0.0014086339306478	2.1448654415409
10.48	1.0778078490734e-05	0.16607238479006	0.11864390995056	0.38002004346803	0.12902304367919	0.21947665279985	0.22191140407027	0.79263572698351	0.115592373059	0.0012185163497279	2.1446048332287
10.872	1.171707357202e-05	0.16621496654757	0.11862212296615	0.38013517574578	0.12898665254063	0.21948307883518	0.22184289601701	0.79238191742768	0.11555629927852	0.0010503797249998	2.1442852061571
11	1.2003159375811e-05	0.16625751447001	0.118614811571	0.38016874635468	0.1289747732126	0.21948426013896	0.22182053377679	0.79229906375591	0.11554452407134	0.0010118123694162	2.1441880428801
11.2	1.1357153738295e-05	0.16632033895262	0.11860322517753	0.38021736860232	0.12895616967139	0.21948535037282	0.22178555043603	0.7921695489951	0.11552608701468	0.00096511796710557	2.1440401143433
11.48	1.1244016516678e-05	0.16640204597434	0.11858674963655	0.38027894227478	0.12893004335325	0.21948568922035	0.2217364951362	0.79198820658428	0.11550021972142	0.0009214923896449	2.1438411283073
11.872	1.143525018427e-05	0.16650767359074	0.11856335075369	0.38035644253737	0.12889343005648	0.21948460347384	0.22166778772903	0.79173440183204	0.11546398836761	0.00088879114860501	2.1435719047396
12	1.1502615927007e-05	0.16654067812944	0.11855565843655	0.38038031938516	0.12888147910397	0.21948400437899	0.2216453572104	0.79165154779127	0.11545215978517	0.00088246930082864	2.1434851761377
12.2	1.0499086823867e-05	0.1665908268882	0.1185435966549	0.38041605077394	0.12886276335683	0.21948286691005	0.221610264005	0.791522008271	0.1154336404479	0.0008762344923517	2.143348750887
12.48	9.9485648125138e-06	0.16665847075038	0.11852663268397	0.38046317194872	0.12883645919281	0.21948090643371	0.22156103578295	0.7913405975105	0.11540765331765	0.00087347654304073	2.1431583527285
12.872	9.7105192974375e-06	0.16674940908685	0.11850276778867	0.380525167559	0.12879953650698	0.21947760980849	0.22149204336823	0.79108667583505	0.11537124071978	0.0008769533897316	2.1428911145821
13	9.6737118579358e-06	0.16677844623892	0.11849495495493	0.38054474035935	0.12878747013939	0.21947643534294	0.22146951095045	0.79100378069495	0.11535935033902	0.00087903102490478	2.1428033937567
13.2	8.7068085291905e-06	0.16682312188014	0.11848272315757	0.38057438365808	0.12876856008379	0.21947448346492	0.22143425400438	0.79087417455668	0.11534073842432	0.00088322606141415	2.1426643720998
13.48	8.1275106770277e-06	0.16688434774191	0.11846554373432	0.38061404617012	0.12874195829381	0.21947148716336	0.22138479033961	0.79069266600935	0.11531462802985	0.00089073897756657	2.1424683339706
13.872	7.8362188989866e-06	0.1669680577085	0.1184414047507	0.38066707696321	0.12870457953516	0.21946686780284	0.22131545571774	0.79043860167255	0.1152780442492	0.00090270779631793	2.1421906324151
14	7.7861540438323e-06	0.16699503591991	0.11843350692417	0.38068397476005	0.12869235738538	0.21946528224397	0.22129280914406	0.79035565909405	0.11526609772709	0.0009066041516858	2.1420991135044
14.2	7.0199548428264e-06	0.16703677922548	0.11842114338347	0.38070969403999	0.1286732020219	0.2194626927781	0.22125737905895	0.79022598932781	0.11524740520505	0.00091289455350536	2.1419541995491
14.48	6.5608592495278e-06	0.16709441158408	0.11840378141533	0.38074433704047	0.12864625881922	0.21945881230675	0.22120768681646	0.7900444026886	0.11522119428805	0.00092212077765494	2.1417495665959
