# Time [h]	hydro_Methanogenesis [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Acetic_Degradation [g/h]	Propionic_Degradation [g/h]	Acidogenesis_LCFA [g/h]	Acidogenesis_AA [g/h]	Butyric_Degradation [g/h]
26.2	0.097995403663708	0.68269710036972	0.0022374548586195	0.023792891208155	0.091359176411722	0.046766222564212	0.094536846522292	0.0042142433204724	0.012408415311577
26.48	0.095654515406627	0.67277085779301	0.0023905335247956	0.024250659809443	0.090023403856229	0.048640064992232	0.08656116660005	0.00444927433121	0.012911379491044
26.872	0.092841833399392	0.66470230203266	0.0024553804085109	0.024266435809925	0.088930983894981	0.049621093849928	0.078111355849562	0.0045101824134902	0.013104579868293
27	0.092072795095622	0.66275663264316	0.002462922642864	0.024264809663773	0.088666417202246	0.049764988675024	0.07589684106821	0.0045147575991619	0.013125156587707
27.2	0.092287695703648	0.66178689825427	0.0026394306731958	0.026549829748025	0.088528808425376	0.052955117292097	0.071628867381876	0.0048479384997024	0.014060184809056
27.48	0.091563306594209	0.66053346414667	0.0027459153847974	0.026796825505766	0.088351091161233	0.055175453415027	0.066693338438333	0.0049781180429545	0.014582672935282
27.872	0.090195860958041	0.65816666449414	0.0027881281496604	0.026804068278651	0.088021875945416	0.056296429842329	0.061493934524705	0.0050109873268147	0.014770161800587
28	0.089776062457287	0.65736557642055	0.0027928303733512	0.026803063732433	0.087910769844338	0.056459187812257	0.060137462423264	0.0050133610598668	0.014789686931145
28.2	0.089960663783478	0.65735440355347	0.0028882223730177	0.027933806745619	0.087902191804027	0.058649852342979	0.057473852804699	0.0051806069079882	0.015314705730143
28.48	0.089549879875088	0.65691495903122	0.0029443731280774	0.028053446568348	0.087834348180437	0.060141680740058	0.054395494997804	0.0052452699488192	0.015601420952574
28.872	0.088713910597146	0.65556296618674	0.0029661279050855	0.028056372202402	0.087641801409681	0.060885007826815	0.051152013715568	0.0052613135661498	0.01570252088048
29	0.088452734553868	0.65507111120987	0.0029684985298838	0.028055767605102	0.087572293888447	0.060992036159373	0.050305614421294	0.0052624291657787	0.015712867178505
29.2	0.08836236546207	0.65461809117582	0.0030085095723677	0.028434907268868	0.087505674187868	0.062103557348482	0.048583914623323	0.0053216544309524	0.015931644684462
29.48	0.087963623978329	0.65387960735381	0.003031124363309	0.028474224162909	0.087398751353321	0.062847312461431	0.046586565474688	0.0053443550058946	0.01604787342515
29.872	0.087347137469351	0.65266924905244	0.0030395469527351	0.028474568538538	0.087225814836159	0.063213227556252	0.044470319589631	0.0053498055080328	0.016087869974139
30	0.087164048121303	0.65228322360717	0.00304041979172	0.028474172071379	0.087170614880026	0.063265215332813	0.043915880547288	0.0053501349803748	0.016091792905718
30.2	0.086831484846716	0.65134579059639	0.0030445388279421	0.028368230046171	0.087040034426619	0.063584823142627	0.042741700940089	0.005339557060912	0.016110437155662
30.48	0.086386401629741	0.65024274164041	0.0030455592604994	0.028356480457535	0.086885050930304	0.063785026385766	0.041371611945214	0.0053353380488601	0.016116065460851
30.872	0.085870170368465	0.64899866871806	0.0030454461423929	0.028355163955772	0.086708100848636	0.063878446312527	0.039908867883622	0.0053340249426125	0.016116648351977
31	0.085728399018043	0.64865478716656	0.0030453608427968	0.028354867428525	0.086658651150698	0.063890786169115	0.039523646144638	0.0053338476677099	0.01611642642678
31.2	0.085224135898471	0.64735585532172	0.0030265358665302	0.027940667271285	0.086480353668527	0.063684237228826	0.038677125224775	0.0052788207857538	0.016007073706351
31.48	0.084734851912959	0.64597527837203	0.0030137966195052	0.027896683403521	0.086288791717387	0.063524544398481	0.037683772799346	0.0052575107695143	0.015942191805194
31.872	0.084271367659427	0.64467712331113	0.0030082530932185	0.027894284850086	0.086105007426808	0.063437925737681	0.036615679898683	0.0052519015309155	0.015917677104862
32	0.084153556170336	0.64435336504482	0.0030075564818803	0.027894034340724	0.086058344455135	0.063424068682768	0.036333047904924	0.0052513979870445	0.015914805280529
32.2	0.083538825686715	0.64281449520973	0.0029743414408624	0.027288731054112	0.085848445574597	0.06288174667452	0.035691076208334	0.0051687272305637	0.01572523339425
32.48	0.083020390785346	0.64125162739252	0.0029529973821484	0.027224835225956	0.085632934242542	0.06249308699242	0.034934102688371	0.0051368016514305	0.015616270892161
32.872	0.082589936335139	0.63991680931632	0.0029440611521506	0.027221751334035	0.085444589048561	0.062292152761358	0.034115242104226	0.0051285197709314	0.015576070024884
33	0.082487333577611	0.63960560145947	0.0029429816505442	0.02722152279405	0.085399690929209	0.062261665162593	0.033897674960085	0.0051278110561741	0.015571536041832
33.2	0.081807015534039	0.63792024234589	0.002901030854632	0.026502665690027	0.085170586595744	0.061512043832786	0.033387283512908	0.0050286252518593	0.015333342104378
33.48	0.081273581505662	0.6362499928898	0.0028744862543213	0.026426981098804	0.084941068991308	0.060982734871052	0.032782887902034	0.0049903650039819	0.015197756829889
33.872	0.08086671352847	0.63489957392635	0.0028635049805179	0.026423491039976	0.084750943476587	0.060711845964727	0.032125540461377	0.0049804878555803	0.0151480959372
34	0.080774352910852	0.63459802719515	0.0028621947653531	0.026423275396699	0.084707418492127	0.060671202525536	0.031950240722457	0.0049796562220946	0.015142558933076
34.2	0.080059221158754	0.63283243515081	0.002815245604068	0.025642128329133	0.084467894915756	0.059799623049965	0.03152533505854	0.0048713163311403	0.014876629209014
34.48	0.079521118391875	0.63110788983452	0.0027857508592525	0.025560019409486	0.08423141567134	0.059188327398195	0.03102019052753	0.0048295525541893	0.01472595969111
34.872	0.079132331661662	0.62975817360027	0.0027736175673627	0.025556318370503	0.084041663771418	0.058876974150147	0.030468028274242	0.0048187960165141	0.014670964169139
35	0.079047080536688	0.62946484477779	0.00277217819154	0.025556113179529	0.083999314956743	0.058830490193867	0.030320272544079	0.0048178972136994	0.014664864462873
35.2	0.078317701181278	0.62766473061795	0.0027226956324151	0.024746433846934	0.083755428562947	0.057893320305042	0.029950832240406	0.0047052548804721	0.014384971544197
35.48	0.077781935387664	0.62592224751964	0.0026917349560663	0.024661430907987	0.083516807879955	0.057238744608486	0.02951009960591	0.0046618537000419	0.014226824645588
35.872	0.077407720150085	0.62458468930168	0.0026790396517021	0.024657652419687	0.083328940116629	0.056906380716629	0.029026206914514	0.0046506913253131	0.014169219107354
36	0.07732753530516	0.62429874567418	0.0026775385465635	0.024657457645419	0.083287652598675	0.05685690665715	0.02889633038673	0.0046497627454372	0.014162849197227
36.2	0.076597606316552	0.62249555969512	0.0026271387630767	0.02384129058036	0.083043565026466	0.055891166990445	0.028563027791179	0.0045359908133715	0.013878018991031
36.48	0.076068966746236	0.62076003999373	0.0025956845371324	0.023755695447436	0.082806099377461	0.055218669797124	0.028164310132735	0.0044921721586593	0.013717375186018
36.872	0.075707224105982	0.61944286388428	0.0025828138988568	0.023751928269691	0.082621197030872	0.054878017223475	0.027725018498596	0.0044809140452096	0.013658944307024
37	0.075630822162134	0.6191639200589	0.0025812953677964	0.023751744426992	0.0825809159017	0.054827416570418	0.027606838122648	0.0044799803640576	0.013652496358695
