# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
16.48	9.9855410325793	9.1657495712361e-08	1.4054125279552e-06	7.2260455122377e-06	8.1824504793871e-05	0.099275945632704	2.0330355296879e-06	0.024258674104764
16.872	9.9857579753322	8.3762496468317e-08	1.2733982968203e-06	6.6801338630397e-06	7.604758521841e-05	0.095709442684696	1.8460096868469e-06	0.023880510481084
17	9.9858276557966	8.1535295989655e-08	1.2325251887088e-06	6.5093206196881e-06	7.4246852861968e-05	0.094579706279786	1.7884791206768e-06	0.023758495296654
17.2	9.9859403577179	7.8641662461304e-08	1.1730787780608e-06	6.253962590045e-06	7.1527757639374e-05	0.092830936660741	1.703153830544e-06	0.023567878832042
17.48	9.9860961448063	7.4302093694041e-08	1.0993392224564e-06	5.9267653361309e-06	6.7976539988645e-05	0.090393261689185	1.5956561166449e-06	0.023299157040981
17.872	9.9863215529358	6.7569861821336e-08	1.0003862551717e-06	5.4894130897907e-06	6.3298018869382e-05	0.086906988730234	1.4566317207833e-06	0.02290682751217
18	9.9863979917047	6.5620961602381e-08	9.6914324492576e-07	5.3497911275678e-06	6.1817836128537e-05	0.085731790220337	1.4130920071538e-06	0.022773137408393
18.2	9.986525604402	6.301536615146e-08	9.2314954645523e-07	5.1386006668971e-06	5.956190088186e-05	0.083845627003946	1.3478276860187e-06	0.022557308561368
18.48	9.9867096251656	5.9075195368427e-08	8.6485186964729e-07	4.8627724830145e-06	5.657175269596e-05	0.081099570270797	1.2641353968289e-06	0.022239923370561
18.872	9.9869879502632	5.3026145752341e-08	7.8481504719679e-07	4.485092481353e-06	5.2545996018596e-05	0.077012408183358	1.1531913133966e-06	0.021755710187552
19	9.9870841921832	5.1248619614247e-08	7.5921491878756e-07	4.3628382102098e-06	5.1253855579833e-05	0.075615314491219	1.117909307287e-06	0.021587534643588
19.2	9.9872455965076	4.8820362071378e-08	7.2121581381017e-07	4.1766267439098e-06	4.9270010065791e-05	0.07336331268538	1.0646040862508e-06	0.021313612754003
19.48	9.987480797229	4.5207769974805e-08	6.7235001309967e-07	3.9306917444862e-06	4.6612630762275e-05	0.070084746776588	9.9533783825321e-07	0.020907772971367
19.872	9.9878360671528	3.9872145266937e-08	6.0503577656639e-07	3.5922787091024e-06	4.3000892594144e-05	0.065268861571982	9.0249709517837e-07	0.020290196428254
20	9.9879577616285	3.8307272292779e-08	5.8352033431404e-07	3.4828079399567e-06	4.18377112241e-05	0.063651148157685	8.7286171811735e-07	0.020077816922227
20.2	9.9881595304348	3.6152052461569e-08	5.5159118362613e-07	3.3164304677609e-06	4.0052176661906e-05	0.061077865464728	8.2807602572316e-07	0.019734570396077
20.48	9.9884504186834	3.3031514391107e-08	5.1046556703723e-07	3.0971398307647e-06	3.7661633885787e-05	0.057409916165048	7.6975911368056e-07	0.019232923906258
20.872	9.9888787691702	2.86545623801e-08	4.5465844481875e-07	2.7996123334221e-06	3.443699572472e-05	0.052205280198209	6.920913361502e-07	0.018489472246771
21	9.9890221969246	2.7390880125465e-08	4.3704747508455e-07	2.7046219790021e-06	3.3407373403706e-05	0.050505571176816	6.6750553524976e-07	0.018239589873705
21.2	9.9892558654983	2.5655249268588e-08	4.1112564556435e-07	2.561672198655e-06	3.1838749985133e-05	0.047852974483467	6.3062189943405e-07	0.017841900066869
21.48	9.9895855453386	2.3205999935933e-08	3.7804817138075e-07	2.375638948198e-06	2.9761181901045e-05	0.044176265727886	5.8301173435967e-07	0.017274209183836
21.872	9.9900534058651	1.9943585445207e-08	3.3425976813987e-07	2.129439324476e-06	2.701397067514e-05	0.039167527814116	5.2076988297829e-07	0.016463795095618
22	9.9902056249708	1.9024237589874e-08	3.2070726875888e-07	2.0523740209936e-06	2.6151020214535e-05	0.037581146573888	5.0138024990954e-07	0.016199099957589
22.2	9.9904486943952	1.7772281736408e-08	3.0101612655518e-07	1.9380087685647e-06	2.485193024637e-05	0.035155341657445	4.7263804928548e-07	0.015785854148164
22.48	9.9907822628257	1.6031546402812e-08	2.7625621739582e-07	1.7918192493941e-06	2.3159849623675e-05	0.031890062449535	4.3609244689191e-07	0.015212598677736
22.872	9.9912359286891	1.3808555364313e-08	2.4425978044608e-07	1.6033086491446e-06	2.0975946713364e-05	0.027619994618064	3.8934604817716e-07	0.014428325380245
23	9.9913790324204	1.3199338468151e-08	2.3455055313523e-07	1.5454712990271e-06	2.030236680862e-05	0.026307003455731	3.7503586917622e-07	0.014179933392227
23.2	9.9916027569684	1.2377536758813e-08	2.2063828977373e-07	1.4608300959861e-06	1.930094003828e-05	0.024337920806908	3.5409040229145e-07	0.013800072270037
23.48	9.9919008052307	1.122880401412e-08	2.0338097726452e-07	1.3546094251589e-06	1.8019005247883e-05	0.021759354484402	3.2788097824115e-07	0.013288730848035
23.872	9.9922893537538	9.800822369087e-09	1.8138124343276e-07	1.2207405298285e-06	1.6399508302195e-05	0.018509662201724	2.9492153147694e-07	0.012618115539582
24	9.9924083801017	9.420973517724e-09	1.7480133126225e-07	1.1803717318335e-06	1.5907650147719e-05	0.01753588248393	2.8496755648003e-07	0.0124118309443
24.2	9.9925507388275	8.9392947991047e-09	1.6538142343988e-07	1.1194640425017e-06	1.5166077896824e-05	0.016099461813296	2.7029331976258e-07	0.012102042814327
24.48	9.9927590703813	8.6652736003891e-09	1.5515400102524e-07	1.0669541397884e-06	1.4316331875471e-05	0.01426108265512	2.5428383782995e-07	0.011698527039903
24.872	9.9930298086275	8.4994577779282e-09	1.4743856842549e-07	1.126185734012e-06	1.4097658378981e-05	0.01201363827543	2.4653425414136e-07	0.011205717218194
25	9.9931104791437	8.4084794152185e-09	1.4583993124662e-07	1.1650331503762e-06	1.4239701704123e-05	0.011354406924639	2.4636395900122e-07	0.011062203587949
25.2	9.9932492578627	8.306822130657e-09	1.4349520863326e-07	1.2311016158872e-06	1.461909568194e-05	0.01039510544222	2.4695745403271e-07	0.010854177024193
25.48	9.9934135296359	9.2098975723054e-09	1.4439807999705e-07	1.3036642727323e-06	1.5256377669085e-05	0.0091897961995559	2.4915705391139e-07	0.010590382068581
25.872	9.993610068835	1.0524528287621e-08	1.5944304699998e-07	1.3490068241828e-06	1.6104868834841e-05	0.0077501960547483	2.6162968303302e-07	0.010260072320528
26	9.9936681579735	1.067918125737e-08	1.6532715967619e-07	1.3538477802459e-06	1.6345003848955e-05	0.007334633688341	2.6715796100334e-07	0.010160742963589
