Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
27.0	1.9054225555615E-9	6.77595206611E-9	5.5298665774841E-9	2.9902744659792E-10	1.1962837707134E-7	-4.8300883647172E-5	8.6559354421224E-14	0.11552766775715	
27.2	1.9405989069882E-9	6.9048892928717E-9	5.5197487027383E-9	3.0639682657745E-10	1.176095600278E-7	-4.865137807083E-5	8.6559618472898E-14	0.11552731540536	
27.48	1.9874134538275E-9	7.081847914002E-9	5.4266348294526E-9	3.1578165497424E-10	1.1547138893934E-7	-4.9067691833309E-5	8.6559931958216E-14	0.11552689709357	
27.872	2.046370105076E-9	7.313598450383E-9	5.3586807402705E-9	3.2714707063488E-10	1.1342504610471E-7	-4.9538857031947E-5	8.656028641482E-14	0.11552642411624	
28.0	2.0638066806354E-9	7.3839840033817E-9	5.3438198733176E-9	3.304470928788E-10	1.1291463045572E-7	-4.9673903540636E-5	8.6560387947035E-14	0.11552628863562	
28.2	2.088361616332E-9	7.4852019890466E-9	5.3504433771829E-9	3.3507521434282E-10	1.1219005965819E-7	-4.9873199068112E-5	8.6560537744606E-14	0.11552608875259	
28.48	2.1202760510191E-9	7.619466627541E-9	5.2852187735063E-9	3.4099544123186E-10	1.1144791081143E-7	-5.0135560004687E-5	8.656073484213E-14	0.11552582575641	
28.872	2.1572980123351E-9	7.7816999010476E-9	5.2517810371078E-9	3.4784290401939E-10	1.1064918555218E-7	-5.0488238342923E-5	8.6560999621207E-14	0.11552547245203	
29.0	2.1675522100804E-9	7.8281997607383E-9	5.2471845343134E-9	3.4974503833692E-10	1.1042162854092E-7	-5.0603874051592E-5	8.6561086413178E-14	0.11552535664283	
29.2	2.1809359167602E-9	7.891237851201E-9	5.2716902549325E-9	3.5225818571669E-10	1.1003786551111E-7	-5.0789653275152E-5	8.6561225853839E-14	0.11552517058329	
29.48	2.1975503724845E-9	7.9716082064654E-9	5.2277137707055E-9	3.553733344218E-10	1.0959843193232E-7	-5.1061684179942E-5	8.6561430013003E-14	0.11552489816907	
29.872	2.2140448826397E-9	8.0589026935335E-9	5.2169042846668E-9	3.5856954952161E-10	1.0897833864638E-7	-5.1469649786645E-5	8.6561736154364E-14	0.11552448967953	
30.0	2.2178708834934E-9	8.0814109924647E-9	5.2185129637399E-9	3.5934581164666E-10	1.0876587098888E-7	-5.1610380625333E-5	8.6561841762835E-14	0.11552434876495	
30.2	2.2223553909719E-9	8.1107587081375E-9	5.2538148299253E-9	3.6030292197545E-10	1.0841983165773E-7	-5.1839177554325E-5	8.6562013442009E-14	0.11552411969206	
30.48	2.2257351401468E-9	8.1403578939299E-9	5.2211073282244E-9	3.611481320789E-10	1.0789964067774E-7	-5.2179644437371E-5	8.6562268995902E-14	0.11552377870609	
30.872	2.2252147889169E-9	8.1605421395747E-9	5.2214979851359E-9	3.614384853258E-10	1.0708739333714E-7	-5.2695965393391E-5	8.6562656551745E-14	0.11552326159321	
31.0	2.2238639586762E-9	8.1622497157521E-9	5.2260017136511E-9	3.6133307431259E-10	1.0679941899258E-7	-5.2873483606341E-5	8.6562789807748E-14	0.11552308379179	
31.2	2.2197131270011E-9	8.1566659009403E-9	5.2660628919713E-9	3.6082699778423E-10	1.0627472628339E-7	-5.3162726195572E-5	8.6563006956778E-14	0.11552279405433	
31.48	2.2133183285586E-9	8.145526532812E-9	5.2375500055605E-9	3.6000325990772E-10	1.0556776826529E-7	-5.358884257905E-5	8.6563326884577E-14	0.11552236718411	
31.872	2.200440253516E-9	8.1133153356259E-9	5.2417872255304E-9	3.5819542546088E-10	1.0447909579101E-7	-5.4221184249076E-5	8.6563801660111E-14	0.11552173371111	
32.0	2.1953717357695E-9	8.0990543913069E-9	5.2471728104435E-9	3.574594733028E-10	1.0409970540223E-7	-5.4435230442876E-5	8.6563962380132E-14	0.11552151927086	
32.2	2.1857949581952E-9	8.0698749360726E-9	5.2883787835704E-9	3.5603154068198E-10	1.0343605486366E-7	-5.4780111507883E-5	8.6564221361683E-14	0.11552117372718	
32.48	2.1723729582738E-9	8.0278287572708E-9	5.2603045479182E-9	3.5401325746386E-10	1.0253289466374E-7	-5.5280962452184E-5	8.6564597488602E-14	0.11552067188753	
32.872	2.1509367639581E-9	7.9571260087637E-9	5.264579706898E-9	3.5074439892896E-10	1.0118277035679E-7	-5.6011314722756E-5	8.6565145971412E-14	0.11551994009403	
33.0	2.1433685926988E-9	7.9314310727223E-9	5.2698264548763E-9	3.4958032793558E-10	1.0072226836042E-7	-5.6255521832854E-5	8.6565329374583E-14	0.11551969539727	
33.2	2.1302112290472E-9	7.8856284882642E-9	5.3102198466702E-9	3.4753678150734E-10	9.9938813039666E-8	-5.6645719966562E-5	8.6565622437144E-14	0.1155193043951	
33.48	2.1122884748031E-9	7.8223964554264E-9	5.2807838523023E-9	3.4474252919866E-10	9.8876414847941E-8	-5.7206180802505E-5	8.656604339697E-14	0.11551874275852	
33.872	2.0855936773251E-9	7.7262706005021E-9	5.2833732138128E-9	3.4056005609943E-10	9.7327416795137E-8	-5.8012402388244E-5	8.6566648941186E-14	0.11551793486358	
34.0	2.0765407614119E-9	7.6932419146455E-9	5.2880440286093E-9	3.3913639803941E-10	9.680802335288E-8	-5.827945696502E-5	8.6566849528025E-14	0.11551766725082	
