# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
12.2	0.6350517316595	0	0.19742627781476	2.0726613118979	0.034637566816648	1.2051928398015	1.3653552992798	0.31300417523922	0.14469537996241	0.11706930167691	1.1786442327647	0.18643611771189	1.0183836128878
12.48	0.62060478290102	0	0.1872761349021	2.0516545054866	0.033356409059226	1.1759766757468	1.3577307645621	0.30848527799416	0.14161899065497	0.10890776862261	1.1475078282476	0.17798283069503	0.99429273440291
12.872	0.60377306212158	0	0.17483537028351	2.030278979561	0.031643817942748	1.1383618272502	1.3471279493438	0.30227566652896	0.13742240036886	0.09894745768016	1.1087526280937	0.16714169855269	0.96947952630399
13	0.59889579243357	0	0.17115723180413	2.0243473373273	0.031104116575583	1.1269087709437	1.3436837345193	0.30022896287507	0.13607452261492	0.096013268229416	1.0971488637665	0.16385216546611	0.96289525127205
13.2	0.59169905540417	0	0.16576671211961	2.0155041169753	0.03027149867663	1.1096016461891	1.3383197783635	0.2969339321776	0.13395878959673	0.091723878181235	1.0799939854732	0.15890191111408	0.95381419027316
13.48	0.58262158829065	0	0.15889074693037	2.0047840800911	0.029161524238722	1.0872801228343	1.3308462142351	0.29241106868324	0.13112108992435	0.086274101610376	1.0578144814734	0.15249592189756	0.9432540529417
13.872	0.57131191265405	0	0.15042996288493	1.9907362445492	0.027698916737171	1.0587025352718	1.3204533403587	0.28605153310732	0.12730133669675	0.079609205891029	1.0299594313941	0.14438503573581	0.93139624674936
14	0.56792189661034	0	0.14792037160129	1.9862759362292	0.027246960050234	1.0500304103949	1.3170773239188	0.28399466566315	0.12610337006664	0.077642346381311	1.0215591071492	0.14194430305375	0.92804830529239
14.2	0.56279827231881	0	0.14423410159102	1.9790256464091	0.026559204642636	1.036915812215	1.311819578474	0.28073820542867	0.12425109806005	0.074763512723211	1.0090794138097	0.13829485436405	0.92320933299335
14.48	0.55622876601301	0	0.13951540299173	1.9696805393715	0.025663835053845	1.0201021515216	1.3044939966863	0.27640114516271	0.1218338947687	0.071098777429839	0.99282420855276	0.13362796668772	0.91731016664942
14.872	0.54786737854497	0	0.13367761561873	1.956809523064	0.024517249854308	0.99852770509485	1.294306909027	0.27056076977441	0.11868044020246	0.066603408298858	0.97218462180794	0.12777626516216	0.91019066057293
15	0.54532960181932	0	0.13193832472317	1.9526653416424	0.024168582448138	0.99194221788745	1.2909977408282	0.26872045590367	0.11770783976737	0.065273458095979	0.96590629649093	0.12602020727643	0.9080715525467
15.2	0.54151684193098	0	0.12937566510089	1.9462515792666	0.023648805931171	0.98209340272661	1.2858441034766	0.26591669023098	0.11624497917263	0.063323435919136	0.95652499613306	0.12342354563618	0.90494521391989
15.48	0.53646871952065	0	0.12607960694257	1.9374401261699	0.02297110886282	0.96914893665298	1.2786635745917	0.26214890097252	0.11431285675959	0.060834246364742	0.94419900207322	0.12007164992652	0.90089766267222
15.872	0.52996972748263	0	0.12197227294637	1.9254236598093	0.022114401493609	0.95250388079167	1.2686781996922	0.25718670870008	0.111823114851	0.057767907150202	0.92835067976527	0.11588053929722	0.89570313445611
16	0.52797847656604	0	0.12074133616318	1.9215748788364	0.021855455012564	0.94737719725385	1.26543455625	0.25564035311042	0.11105870671757	0.056857547459371	0.92348283197038	0.11462041181046	0.89408153526432
16.2	0.52488340639232	0	0.11892036868319	1.9152595765689	0.021464693463916	0.93953270863584	1.2603829658645	0.25323035469445	0.10988183419004	0.055519489985961	0.91616246291478	0.11273174470779	0.89155316189472
16.48	0.5208686454685	0	0.11656373998632	1.9072549850799	0.02096714518985	0.92946991792995	1.2533446182106	0.25012945957181	0.10838168976626	0.053804974014603	0.90645293751555	0.11033502145306	0.88825479388437
16.872	0.51558883544643	0	0.11359976246897	1.8963320991523	0.020339397661515	0.91625014194162	1.243556962839	0.24606277077457	0.10644206611332	0.05168062599748	0.89380067215024	0.10731320090153	0.88377820437081
17	0.51395010572543	0	0.11270487358172	1.8928194033683	0.020149323131887	0.91212404822984	1.2403775468204	0.24479429822792	0.10584311748528	0.051046920825054	0.88987506771995	0.10639798859634	0.88232104766834
17.2	0.51142483511533	0	0.11137437192289	1.8873493235046	0.019866028928149	0.90588674998134	1.2354259829899	0.24286554930587	0.10493821701465	0.050112428589387	0.88393287340633	0.10503707518791	0.8800498879035
17.48	0.50800726159281	0	0.1096393088987	1.8799268019679	0.019498493370677	0.89759631223887	1.2285270015905	0.24030323850314	0.10374576057166	0.04890891789505	0.87597583800187	0.10327259336782	0.87690528436105
17.872	0.50344551633459	0	0.1074324729735	1.8697747851318	0.01903311279491	0.88666344144153	1.2189331512907	0.23693744732157	0.1021956362516	0.047406212393076	0.8654696346094	0.1010354716213	0.87247332863354
18	0.5020146496138	0	0.10676027908458	1.8664930100682	0.018891602493331	0.88321525891022	1.2158166910139	0.23588411080277	0.10171407570249	0.04695514457788	0.8621780453874	0.10035280042672	0.87099163728207
18.2	0.49971978413044	0	0.10575496878402	1.8610505562865	0.018675670932385	0.87786289443398	1.2109631732593	0.23422569875563	0.10096084446069	0.046287139958797	0.85716455355092	0.09931546444105	0.86858388064944
18.48	0.49668413911608	0	0.10443235130756	1.8541503718481	0.018401740254203	0.87094740777658	1.204200798754	0.23210536312333	0.100002800821	0.045421200278669	0.85039117603442	0.097996137654153	0.86529003757251
18.872	0.49253747464055	0	0.10272855616842	1.8445910526163	0.018051987707842	0.86161640364318	1.1947969163742	0.22929781688287	0.098741594636007	0.044329414779792	0.84133962159274	0.096296914852989	0.86053093739296
19	0.4912210402667	0	0.10220447625148	1.8414657368934	0.017944684961518	0.85863459999239	1.1917421653086	0.22841166280477	0.098345261297392	0.043999139360518	0.83847905458256	0.095772110710136	0.85891357668555
19.2	0.48908165903454	0	0.10141561093851	1.8362595440856	0.017779473339277	0.85398287772316	1.1869847523184	0.22700653888698	0.097719610849905	0.043507450643298	0.83409822348	0.094967794794423	0.85626999167847
19.48	0.48621574413772	0	0.10036783663834	1.8295871892216	0.017569339151853	0.84793857933706	1.1803562799095	0.22520514686956	0.096920703768469	0.042864991577515	0.82813379008661	0.093940457612302	0.85259916428726
19.872	0.48223572391013	0	0.098999869588188	1.8202319369121	0.017297997448203	0.83969517068418	1.1711386041458	0.22279821719155	0.0958565618866	0.042045501089121	0.82008131367831	0.092599280671088	0.84723188870543
20	0.48096106353698	0	0.098574821955551	1.8171427943518	0.017213892066172	0.83703363693659	1.1681443404252	0.22203210080874	0.095518727269458	0.0417953317179	0.81751799037298	0.092180078893462	0.84539452551427
