# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
8.2	6.9825650084254	0	0.050384206436478	0.16468114282332	0.40572997157852	0.0049684232760368	0.00025326009099587	0.22930383625334	0.13271547508629	0.22731067871001	0.81923854382322	0.12403469930578	0.0075257860037979	9.1487110318132
8.48	6.9827315674336	0	0.050102849662287	0.16496618762617	0.40612983065506	0.0045267893417927	0.00024268605862955	0.22941481256608	0.13271199538903	0.22728966772162	0.81921531360133	0.12404640775898	0.0060337337025606	9.1474118415172
8.872	6.982963104819	0	0.049711589948974	0.16533342510947	0.40663567535412	0.0039892330871329	0.00023316424291707	0.2295520829247	0.13270350882954	0.22725576762315	0.81916458324559	0.12405655312107	0.0044128770867784	9.1460115653924
9	6.9830383090552	0	0.04958449268283	0.16544580481487	0.40678870929083	0.0038312236531786	0.00023092452301266	0.22959298784998	0.13269997784329	0.22724374931321	0.81914411095554	0.12405852914064	0.00397676479396	9.1456355839166
9.2	6.9831554118583	0	0.049386553727915	0.16561226468518	0.40701424484913	0.0036005931165028	0.00022908430780931	0.22965246010873	0.13269367224761	0.22722400760249	0.81910823244022	0.12406031009033	0.0033815791764611	9.1451184142107
9.48	6.9833185348778	0	0.049110766646464	0.16582609634701	0.40730281686973	0.0033082878424151	0.00022903863775493	0.22972684687453	0.13268336707306	0.22719457767248	0.81905087587068	0.12406038821101	0.0027034610665663	9.1445150579895
9.872	6.9835453143426	0	0.048727252118825	0.16608762222779	0.4076558589489	0.0029521715368647	0.00023270892435756	0.22981442178148	0.13266639046417	0.22715030418043	0.81895818409556	0.12405634496879	0.002005784365515	9.1438523579553
10	6.9836189742833	0	0.048602671061852	0.16616488573719	0.40776041530437	0.0028474149061166	0.00023418448685877	0.22983963974797	0.1326603485781	0.22713523469417	0.81892534477685	0.12405416181365	0.0018263344978246	9.1436696098882
10.2	6.9837336789763	0	0.048408650810391	0.16627694440839	0.40791247853155	0.0026944299676729	0.00023735432474783	0.22987538859749	0.13265038293734	0.22711106028223	0.81887137981396	0.12404990253033	0.0015905156715091	9.1434121668519
10.48	6.9838934757965	0	0.048138323667997	0.16641768700825	0.40810474300186	0.0025003693769344	0.00024222927393851	0.22991882328179	0.13263551849766	0.22707612128363	0.81879122442509	0.12404243221404	0.0013370073480843	9.1430979551758
10.872	6.9841156607919	0	0.047762401889953	0.16658826243435	0.40834049076755	0.0022636306337102	0.00024769092660827	0.22996920785705	0.13261333300838	0.22702552523341	0.81867139862521	0.12402950986406	0.0010965669893578	9.1427236790215
11	6.9841878328424	0	0.047640287438821	0.16663897426909	0.4084111510627	0.0021939129104298	0.00024874998354377	0.2299838324092	0.13260585192939	0.22700869421166	0.81863072816586	0.12402478603508	0.0010381307180923	9.1426129319762
11.2	6.9843002274413	0	0.047450108663992	0.16671370310193	0.40851572542589	0.0020920183545603	0.00024970445348438	0.23000498785328	0.13259393899811	0.22698210602745	0.81856564766428	0.12401693359815	0.0009640162867004	9.1424491178691
11.48	6.9844568183514	0	0.047185133871411	0.16681078376556	0.40865232011276	0.0019626055718282	0.00024936187732935	0.23003192324145	0.13257690966107	0.22694440169825	0.81847185690076	0.12400509386815	0.00088754518349395	9.1422347541034
11.872	6.9846745651795	0	0.04681665519342	0.16693572283859	0.4088288115443	0.0018044270403791	0.00024538556480415	0.23006604792518	0.13255258015254	0.22689087434063	0.81833595062554	0.12398707428435	0.0008173580037129	9.1419554526929
12	6.984745297894	0	0.046696958650417	0.16697455904507	0.4088836165803	0.0017577693045616	0.0002434220663925	0.23007660992997	0.13254454176443	0.22687323731094	0.81829054644001	0.12398086772536	0.00080048492568057	9.1418679116371
12.2	6.9848554539826	0	0.046510545486025	0.16703358013603	0.40896674483684	0.0016895002380283	0.00023970030603658	0.23009262232972	0.13253189439295	0.22684552988264	0.81821861448529	0.12397086737703	0.00077901910233227	9.1417340725555
12.48	6.9850089307868	0	0.046250817290015	0.16711345199895	0.40907868482115	0.0016026391116536	0.00023362715684186	0.23011427390634	0.13251402655113	0.22680645132078	0.81811602543778	0.12395628410232	0.00075655106642155	9.1415517635502
12.872	6.9852223535793	0	0.045889634585591	0.16722117207871	0.40922811348536	0.001496175701529	0.00022398507480269	0.23014350074784	0.13248871146872	0.22675119941633	0.81796897606962	0.1239348089882	0.00073524392979715	9.1413038751258
13	6.9852916820248	0	0.045772308120942	0.16725557268201	0.40927534856935	0.0014646995682341	0.00022073419437771	0.23015283102344	0.13248036872812	0.22673302502261	0.81792017312846	0.12392755382032	0.00073000294208286	9.1412242998247
13.2	6.9853996519958	0	0.045589586065443	0.1673086466813	0.40934771072325	0.0014185695171036	0.00021554603183076	0.23016721168537	0.13246725598645	0.226704496993	0.81784316745197	0.12391598742968	0.0007232384154337	9.1411010689766
13.48	6.985550084268	0	0.045335000651287	0.16738176759839	0.40944628760503	0.0013597275789762	0.00020840249693722	0.23018698124075	0.13244873990762	0.22666429707789	0.81773391611956	0.12389935054142	0.00071608891889121	9.1409306440047
13.872	6.9857592753631	0	0.044980969555196	0.16748224047545	0.40957951057318	0.0012873233538807	0.0001987223230598	0.23021401168351	0.13242250680294	0.22660752618731	0.81757835502086	0.12387526073046	0.00070943338744686	9.1406951354564
14	6.9858272291516	0	0.044865966254388	0.16751466254147	0.40962193755365	0.0012658472103906	0.00019569095690095	0.23022268205664	0.13241386331974	0.22658887227186	0.81752696445602	0.12386721475363	0.00070788431539361	9.1406188148417
14.2	6.9859330586175	0	0.044686862244765	0.16756496630388	0.40968720951888	0.001234301490496	0.00019104668905827	0.2302360724877	0.13240028052288	0.22655961236495	0.81744609896969	0.12385447273639	0.00070602194638467	9.1405000038926
14.48	6.9860805091904	0	0.044437317818393	0.16763474071201	0.40977661960184	0.0011939206329175	0.00018493703446855	0.23025450935826	0.1323811100187	0.22651842772276	0.81733180218183	0.12383630930641	0.00070438884921632	9.1403345924272
14.872	6.9862855550485	0	0.044090296787168	0.16773131301232	0.40989827801737	0.0011439630322099	0.00017700710889877	0.23027973680657	0.13235398001587	0.22646036638036	0.81716982900452	0.12381030376657	0.00070361997298867	9.1401042489534
15	6.986352162289	0	0.04397757065785	0.16776260753738	0.40993720157572	0.0011290788313094	0.00017457296160253	0.23028783074931	0.13234505158288	0.22644131478384	0.81711649218157	0.12380168337236	0.00070367219820895	9.1400292387211
15.2	6.9864558949093	0	0.043802013068855	0.16781127601025	0.40999725763216	0.0011071485488275	0.00017092297120389	0.2303003363231	0.13233103342342	0.22641145823882	0.81703272875361	0.12378809291835	0.00070403347855261	9.1399121962764
15.48	6.986600424423	0	0.043557409839581	0.16787897359288	0.41007983455256	0.0010789421160026	0.00016611783740708	0.23031755905115	0.1323112743157	0.22636948734977	0.81691463684698	0.12376883486423	0.00070507004455764	9.1397485648338
15.872	6.9868014090151	0	0.043217260111737	0.16797295412622	0.4101927199239	0.0010437930880159	0.00015995479542399	0.23034112367247	0.13228336257482	0.2263104166512	0.81674781256576	0.12374146237243	0.00070740565580464	9.1395196745529
16	6.9868666970117	0	0.043106766069683	0.16800346218707	0.41022895326937	0.0010332591914585	0.00015806956587735	0.23034868568658	0.13227419021799	0.2262910573815	0.81669299518904	0.12373243276306	0.00070834937490319	9.1394449179082
16.2	6.9869683752292	0	0.042934684689455	0.16805094826327	0.41028495518331	0.0010176760328996	0.00015521015247115	0.23036036527956	0.1322598010406	0.22626073998212	0.81660700960855	0.12371823682502	0.00071001699862359	9.139328019285
16.48	6.9871100426672	0	0.042694924834362	0.16811707121161	0.41036215292821	0.00099750888601133	0.00015151258300533	0.23037645036085	0.1322395449079	0.22621816458594	0.8164859920307	0.12369819732327	0.00071270952224006	9.1391642718413
16.872	6.9873070478137	0	0.042361510381287	0.16820896975731	0.41046803571526	0.00097214427509678	0.00014674619265586	0.23039847351845	0.13221098342744	0.22615832466428	0.81631540000585	0.12366984897379	0.00071706727490175	9.138934552
17	6.9873710431575	0	0.042253204233115	0.16823881938651	0.41050209592193	0.0009644861507338	0.0001452804330931	0.23040554485547	0.13220160985057	0.22613873166088	0.81625942368207	0.12366052662748	0.00071861200432426	9.1388593779636
17.2	6.9874707083527	0	0.042084530236768	0.16828529504543	0.41055481324898	0.00095310021521313	0.00014307709611032	0.23041647413902	0.13218691772357	0.22610806642831	0.81617169762236	0.12364589811797	0.00072115716782797	9.1387417353942
17.48	6.9876095713077	0	0.041849517864271	0.16835002735017	0.41062760601957	0.00093825219485434	0.00014016671330531	0.23043153513594	0.13216625869226	0.22606503610271	0.81604836677935	0.12362529874553	0.00072498942755593	9.1385766263332
17.872	6.9878026768982	0	0.041522705340826	0.16843999500801	0.41072763277983	0.00091936691847576	0.00013638792613228	0.23045216153905	0.13213716969898	0.22600461415144	0.81587475046528	0.12359624560908	0.00073083035760586	9.1383445366929
18	6.9878654055345	0	0.041416543766958	0.16846921388833	0.41075984801923	0.00091361453460925	0.0001352170394898	0.23045878570188	0.13212763236075	0.22598484344893	0.8158178346977	0.12358671055141	0.00073283446543042	9.1382684840093
18.2	6.9879630980609	0	0.041251209689879	0.16851469670585	0.41080973395029	0.00090501146509442	0.00013342012467188	0.23046901977183	0.13211269156	0.2259539113498	0.8157286817118	0.1235717653598	0.00073609331896894	9.1381493330689
18.48	6.9880992126598	0	0.041020850802936	0.16857802198491	0.41087866903109	0.00089369299945741	0.00013107638890414	0.23048311940149	0.13209169953348	0.22591052922959	0.81560343991192	0.12355075338363	0.0007408985000114	9.1379819638272
18.872	6.98828849665	0	0.040700509497345	0.16866597919872	0.41097348310852	0.00087911255796302	0.00012798668683522	0.23050243040928	0.13206217394161	0.22584965545692	0.81542730274275	0.12352117731876	0.00074804090889107	9.1377463484776
19	6.9883499839008	0	0.040596450034974	0.16869452897633	0.411004034407	0.00087462767806647	0.00012701869851279	0.23050863147045	0.13205250069148	0.22582974616681	0.81536959720218	0.12351148337998	0.00075045717583907	9.1376690597824
19.2	6.9884457431791	0	0.040434389746789	0.16873895040546	0.41105135269298	0.00086787686379397	0.00012552229915159	0.23051820998953	0.13203735385519	0.22579860594157	0.81527924141456	0.12349630103582	0.0007543532802798	9.1375479007042
19.48	6.988579164315	0	0.040208592207029	0.16880075273167	0.41111674870334	0.00085891040325428	0.00012355387631661	0.23053140101319	0.13201608540892	0.22575494829191	0.81515237412344	0.12347497786314	0.00076004186664228	9.1373775508039
19.872	6.9887647029399	0	0.039894593991246	0.16888649443113	0.41120668905774	0.00084720385292859	0.00012092305859498	0.23054945237833	0.13198619409312	0.22569371644298	0.81497406396299	0.12344500236125	0.00076841750697708	9.1371374540772
20	6.9888249735623	0	0.039792595017757	0.16891429880678	0.41123566413585	0.00084356645427801	0.00012009021806439	0.23055524431894	0.13197640620495	0.22567369634639	0.81491567176056	0.12343518592445	0.00077123449526991	9.1370586272456
