# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
8	0.0037728829663648	116.37409056746	0.001148287795747	0	0.16462393262038	2.1521707442535	1.4426952455279	3.5563569492178	0.042879650857021	0.0021203790949651	2.0106807524342	0.0032841246711047	0.11366332737974	1.1641797918789	1.9940689410919	0.00036107578272281	0.33708381513189	7.1863834895033	0.023890911024706	6.2508068629402e-08	0.032072193977337	1.0879278665566	0.037467288549735	0.0087960863408408	0.008796086297806
8.2	0.0037090206909788	116.37608347376	0.0011161633842618	0	0.15680055733486	2.1435794217901	1.4445714282747	3.5590348384081	0.040067929645458	0.0020424200886764	2.011437160117	0.0031925754192418	0.10682458666654	1.1641708340903	1.9939533220176	0.00034681547611628	0.33072829676589	7.1863030159932	0.023349056010035	6.1673091320624e-08	0.029753025708743	1.0880236781208	0.036671208637515	0.0075257860037979	0.0075257859670075
8.48	0.0036604421276704	116.37885945723	0.0010835040085277	0	0.14686642083482	2.1316091907595	1.4470718212822	3.5625423741672	0.036506365659618	0.0019571456341093	2.0124106365446	0.0031000448491705	0.096389527232989	1.1641403104301	1.9937690151019	0.00033077183436915	0.32209708938072	7.1860992421169	0.022091525325449	6.080454634761e-08	0.026817144712303	1.0881263838507	0.035979450132519	0.0060337337025606	0.0060337336730919
8.872	0.0036721506926401	116.38271841365	0.0010600608505049	0	0.13472806102689	2.114963175483	1.4502932027146	3.5669796083695	0.032171234573652	0.0018803567977183	2.0136147624974	0.003035360396565	0.085868903685446	1.1640658669258	1.9934716458171	0.00031522928643538	0.31065847581243	7.1856542389964	0.020617218835437	6.0163637557696e-08	0.023246979243205	1.088215378255	0.035594568629767	0.0044128770867784	0.004412877065248
9	0.0036865617711113	116.38397181759	0.0010564721029921	0	0.13114857566988	2.109555864273	1.4512789896041	3.5683220113231	0.030896964944988	0.0018622945404247	2.0139735776314	0.0030262021372464	0.083057440744129	1.1640348933622	1.9933662220457	0.0003114534730379	0.30708494469605	7.1854746575047	0.020202203083171	6.0048503487933e-08	0.022198402607654	1.08823271176	0.035564420938151	0.00397676479396	0.0039767647745627
9.2	0.0037449057980128	116.38592353097	0.0010567234427236	0	0.12591210510778	2.101134616812	1.4527391639051	3.5703003934134	0.029037041262119	0.0018474540952363	2.0144952641117	0.0030281638866244	0.079449062648994	1.1639795811194	1.9931930491447	0.00030716538068111	0.30172462427352	7.1851599336861	0.019905488052566	6.0068837823394e-08	0.02066876257577	1.0882483341257	0.035637015302956	0.0033815791764611	0.0033815791599731
9.48	0.0038718101556072	116.38864224796	0.0010689795066458	0	0.11925154222326	2.0894013465195	1.4546148802369	3.5728317269274	0.026679740664638	0.0018470857883462	2.0151477796012	0.0030645906689828	0.073843675629276	1.1638891848514	1.9929348918639	0.00030440808069731	0.29470992645651	7.1846568058832	0.018953463157423	6.0409900282513e-08	0.018731797974086	1.0882490193948	0.035975922548027	0.0027034610665663	0.0027034610533904
9.872	0.0041220938064596	116.39242190571	0.0011054339295845	0	0.1110916304041	2.0730848476094	1.4569089669105	3.575928587271	0.023807834974716	0.0018766848738513	2.0159159805393	0.0031724402660928	0.068237626706106	1.1637402672295	1.9925465278985	0.00030569604417938	0.28589311719388	7.1838437201365	0.017708561663522	6.1408087091246e-08	0.016375285729031	1.0882135523578	0.036872200560049	0.002005784365515	0.0020057843557437
10	0.0042054280405029	116.39364957139	0.0011198076919024	0	0.10868005521779	2.0677845876876	1.4575867169929	3.5768457482839	0.022963023436424	0.0018885845714417	2.0161371907717	0.00321557587816	0.066754399428631	1.163687268229	1.9924143394225	0.00030681552138888	0.28322924090121	7.1835556559373	0.017348870637945	6.1778523030323e-08	0.015682900648421	1.0881944018742	0.037227721739453	0.0018263344978246	0.0018263344889285
10.2	0.0043633427835403	116.39556131627	0.0011457000991464	0	0.10514670212194	2.0595300601707	1.4585696877929	3.5781796362416	0.021729273932846	0.0019141477802244	2.016450777171	0.0032931472266648	0.064939770602571	1.1635998503276	1.9922022831775	0.00030936271204677	0.27930486986823	7.1830822790698	0.017078923434252	6.2502015712962e-08	0.014672590705052	1.0881570397397	0.037870964368654	0.0015905156715091	0.0015905156637628
