# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
5.2	8.0184629089227e-06	1.3266568843394	2.7018831513414e-06	0	0.0043086444974188	0.025954107245438	0.016102676030118	0.039934263713439	0.0013732015727063	5.5675763749701e-06	0.022591195011273	8.0122908725034e-06	0.28305511650624	0.66148038437755	0.013256394496486	0.022731200501674	9.5150075952403e-07	0.00045693667316195	0.081853561309593	0.06408378286264	0.64810506789377	9.5693060297531e-08	5.3740350979215e-06	0.0010971653547458	0.012353970699581	0.00045132371956478	0.91056051833843
5.48	7.3300232935731e-06	1.3274026203826	2.4509203104428e-06	0	0.0039235640343368	0.025823028713251	0.016147918025809	0.040036736465666	0.0012323929907773	5.008385282141e-06	0.022667743411319	7.2029533804026e-06	0.27019120845248	0.54827465669704	0.013267728045375	0.02274705556962	8.5704976763642e-07	0.00045109038617654	0.081918927140039	0.060890479959935	0.53100853897868	8.989879621467e-08	5.032691285888e-06	0.0009805355519085	0.012370058851006	0.00034746640694816	0.91061213063903
5.872	6.5080709314579e-06	1.3283299436755	2.1513623643644e-06	0	0.0034543700143181	0.025638372690809	0.01620979799104	0.040167981082424	0.0010610335174322	4.3409701163491e-06	0.022761739494196	6.2623256832808e-06	0.24849244468734	0.51241887546055	0.013281258633805	0.022765786332689	7.4379140745241e-07	0.00044120852494271	0.081997196621786	0.055106192438185	0.51215923468735	8.3037634925546e-08	4.6366174005023e-06	0.00083864185959992	0.012389375304793	0.00022387634642342	0.91067583589037
6	6.2679397267806e-06	1.3286080309457	2.0643664100582e-06	0	0.0033163563159512	0.025577884519946	0.016229660916191	0.040208181880545	0.0010106790115081	4.1464161860581e-06	0.022789104257207	5.9925021670585e-06	0.24091475978474	0.50142256622603	0.013285178907493	0.022771161669589	7.108511018755e-07	0.00043762688715881	0.082019917172011	0.053033703296144	0.50986997841552	8.1030476290928e-08	4.520239657086e-06	0.00079695611702665	0.012394993303698	0.00018941297134953	0.91069482005393
6.2	5.9262422810315e-06	1.3290214930956	1.9391046806789e-06	0	0.0031148400498517	0.025483253398299	0.01626032869212	0.040268509619418	0.0009372076371549	3.8674512950477e-06	0.022827493402564	5.6085801680147e-06	0.23902944110101	0.5681876061087	0.013290857446907	0.022778902530383	6.631892753443e-07	0.00043172843758386	0.082052893027564	0.050011417707529	0.62468170457096	7.817820310439e-08	4.3589564347236e-06	0.00073614357671688	0.012403145674968	0.00014419971862012	0.91072291218305
6.48	5.5036581629833e-06	1.3295619353974	1.783892388849e-06	0	0.0028593183882961	0.025350625221743	0.016302476034729	0.040348229464115	0.00084415067852941	3.5209217703794e-06	0.022872266055268	5.1393061556938e-06	0.21417227917525	0.46678950205072	0.013297981017375	0.022788523074638	6.0380215396531e-07	0.00042294414590227	0.082094386269336	0.043884683999509	0.51439697743945	7.4633559532786e-08	4.1440305190196e-06	0.00065914079789821	0.012413395029198	9.8974000271837e-05	0.91075936077213
6.872	5.0108311864409e-06	1.3302513496067	1.6013821038544e-06	0	0.0025478477483205	0.025164834190625	0.016359761411589	0.040451296217766	0.00073091726827692	3.1114522497336e-06	0.02292015757066	4.5962638712155e-06	0.18040108671086	0.41250915752033	0.013306515032845	0.022799869120499	5.3333708595387e-07	0.00040986334139183	0.082144318012342	0.03575946091763	0.49740871287086	7.0456397603243e-08	3.8946163211219e-06	0.00056548220705859	0.012425716404541	6.4797782313825e-05	0.91080536246676
7	4.8685388587688e-06	1.3304609517844	1.5489719731328e-06	0	0.0024561875762807	0.025104169059901	0.016378034842305	0.040483032240002	0.00069764421174581	2.9928535477445e-06	0.022933298060188	4.4415504176696e-06	0.17050738414763	0.39597250670464	0.013308981637763	0.022803098256676	5.1299343727746e-07	0.0004054404819861	0.082158794321138	0.033547511549272	0.49679986014557	6.9240772633746e-08	3.8211688327298e-06	0.00053797101130605	0.012429291723606	5.8132538012124e-05	0.9108192378338
7.2	4.6735359565753e-06	1.3307740217456	1.4745894622751e-06	0	0.0023223020279816	0.025009401718353	0.016406065871149	0.040530714295852	0.00064909400453215	2.8251188627845e-06	0.022951767099973	4.2233520225943e-06	0.15933607610682	0.39320368502847	0.013312534275699	0.022807697846891	4.8382355704472e-07	0.00039839637221529	0.082179703977555	0.031160625493235	0.59651743732824	6.75312805377e-08	3.7162988339356e-06	0.00049783838200675	0.012434458334962	5.1159065176556e-05	0.91083985436865
7.48	4.4446178739563e-06	1.3311843513854	1.3855560483699e-06	0	0.0021524258481493	0.024876806768375	0.016444148185877	0.040593708889961	0.0005875947535384	2.6217883846395e-06	0.022974595653018	3.9642703050604e-06	0.13943190170342	0.33123399774007	0.013316933351462	0.02281328512491	4.4829297718849e-07	0.00038847156893951	0.082205716783012	0.027794438052642	0.51700645840764	6.5461689616164e-08	3.5819015022209e-06	0.00044702226698271	0.01244089616269	4.5645425692025e-05	0.91086666946624
