# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
5.2	0.25189507224903	4013.9127957387	0.084877976243371	0	13.036168907802	78.526350213192	48.720569098102	120.82809315847	4.1547376789145	0.17490197105985	68.353110535148	0.25170113083942	9.7654015194653	2.2821073261026	12.047508845568	40.108736134559	68.775685538325	0.029890802165832	14.354324640599	247.65718767654	2.2108905087611	2.2359624842335	4.4468529929946	3.3014105802648e-06	1.8540421087829e-05	2.1841831668094e-05	3.3195667186808	37.378741800937	14.177961728541
5.48	0.23027982070449	4014.0147791553	0.076998029508523	0	11.864707608989	78.087851599629	48.831304940789	121.07335177772	3.7267092775229	0.15734329042589	68.548047088918	0.22628774496125	9.3215966916106	1.8915475656048	11.213144257215	40.121512495959	68.786762781813	0.026925044940764	14.171375677845	247.7221136776	2.1007215586178	1.8319794594764	3.9327010180942	3.1015084694061e-06	1.7362784936314e-05	2.046429340572e-05	2.9651020129613	37.407375903309	10.915912633152
5.872	0.20447024603231	4014.1565045332	0.067591374403873	0	10.438958995808	77.478070057044	48.986023803796	121.38998345321	3.2063980781347	0.13638436953401	68.786827036198	0.19674938181574	8.5729893417131	1.7678451203389	10.340834462052	40.135832242732	68.797803772279	0.023368392469099	13.861785532271	247.79458433378	1.9011636391174	1.7669493596714	3.6681129987888	2.8647984049314e-06	1.5996330031733e-05	1.8861128436664e-05	2.5343399640136	37.440999551271	7.0336764148831
6	0.19692953966245	4014.2025648748	0.064859366349101	0	10.019904798153	77.27998565749	49.03637484979	121.4875139988	3.0536246728996	0.13027434785805	68.855948172331	0.18827564137592	8.3115592125734	1.7299078534798	10.041467066053	40.139744147699	68.800443663566	0.022333897964068	13.749513162696	247.81425261688	1.829662763717	1.7590514255336	3.5887141892505	2.795551432037e-06	1.5594826816947e-05	1.8390378248984e-05	2.4078909663733	37.450580254829	5.9510292561046
6.2	0.18619918862881	4014.274274802	0.060925553079384	0	9.4082919683231	76.971492949734	49.114672556085	121.63423602337	2.8308108725598	0.12151312535446	68.951784576095	0.17621836961814	8.2465157179848	1.960247241075	10.20676295906	40.145136730329	68.803663931077	0.020837023753778	13.56456951549	247.84125107315	1.7253939109098	2.1551518807698	3.8805457916796	2.6971480071014e-06	1.5038399699796e-05	1.7735547706898e-05	2.2235021970509	37.464242854254	4.530636607881
6.48	0.17292835554531	4014.3741428944	0.056050982167757	0	8.6331997468987	76.54167257365	49.223251633277	121.82869273799	2.5487617778583	0.11062953410464	69.060747741388	0.16148012913878	7.388943631546	1.610423782075	8.999367413621	40.151340222294	68.806474129381	0.018971828700015	13.289061202995	247.87203971273	1.514021597983	1.7746695721661	3.2886911701492	2.5748578038811e-06	1.4296905290618e-05	1.6871763094499e-05	1.9901575799754	37.480919255148	3.1098024916601
6.872	0.15745117310786	4014.512940506	0.050318867930432	0	7.6890489324263	75.943957854757	49.37241494854	122.08103692301	2.2058063085691	0.097768556033519	69.171982367753	0.14442449930989	6.2238374915246	1.4231565934452	7.6469940849698	40.157692799276	68.807457586967	0.016758595936165	12.878669383868	247.90294243913	1.2337014016582	1.7160600594045	2.9497614610627	2.4307457173119e-06	1.343642630787e-05	1.5867172025182e-05	1.7065463815126	37.500008555166	2.0360762094857
7	0.15298235253983	4014.558032013	0.048672763316424	0	7.4113468074329	75.749794330828	49.420360783666	122.15900945694	2.1050848260884	0.094043350043403	69.201544397274	0.13956517589688	5.8825047530932	1.366105148131	7.2486099012242	40.159266062285	68.807141515983	0.016119597983391	12.73987997925	247.91038724439	1.1573891484499	1.7139595175022	2.8713486659521	2.3888066558642e-06	1.3183032472918e-05	1.5571839128782e-05	1.623283893674	37.505320795426	1.8266694962328
7.2	0.14685819533429	4014.6282406532	0.046336521844888	0	7.0058320342393	75.447407828438	49.494210235721	122.27636496606	1.9581619923351	0.088774705802893	69.242238602925	0.13271182297052	5.4970946256852	1.3565527133482	6.8536473390335	40.16124708729	68.806044642711	0.015203349025344	12.518810220815	247.91953158235	1.0750415795166	2.0579851587824	3.133026738299	2.3298291785506e-06	1.2821230977078e-05	1.5151060155628e-05	1.5018598089863	37.512755748025	1.6075827800126
7.48	0.13966903440521	4014.7260322914	0.043540100709518	0	6.4915126487297	75.026095036509	49.59508096297	122.43179146187	1.7721301638989	0.082387861625036	69.291492620828	0.12457434514986	4.8104006087681	1.1427572922032	5.9531579009713	40.16312489485	68.803377001292	0.01408728201223	12.207291034432	247.92767125871	0.95890811281614	1.7836722815064	2.7425803943225	2.2584282917577e-06	1.2357560182662e-05	1.461598847442e-05	1.3481768484203	37.521543407089	1.4343691902823
