# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
10.872	0.00037467513281496	0.00031944133842066	0.00048728410382434	1.4592661578785	1.0506358960875	3.4167968156895	0.0022351339083794	-0.019892910395285	1.142019436188	0.0550275521892	1.9492985051191	0.22979334800171	6.9377059116628	0.0099107609392647	1.0151001782308	0.00014793227450934	5.9396503619642e-08	0.055972168272661	0.00088962427415155	0.00088962426982072
11	0.00038475008266627	0.00032745581495534	0.00049835743159118	1.4596168215567	1.0506034409565	3.4172458508123	0.0022775214221877	-0.018517437792628	1.1419357623393	0.055032084621498	1.9491189797973	0.22865771413447	6.9370049510906	0.0098502981744413	1.0150049486649	0.00015100855609145	5.9444486634841e-08	0.055528241459073	0.00085524662877988	0.0008552466246165
11.2	0.0003772284358391	0.00031003351409321	0.00049211375892243	1.460137526244	1.0505485681181	3.417904322832	0.0022568574082619	-0.015892337542363	1.1418032326399	0.055038621316056	1.9488369244996	0.22263455505306	6.9359077207323	0.0096732902846651	1.0148550039533	0.0001455341838276	5.8901420483258e-08	0.055009890202953	0.00081392159936926	0.00081392159540716
11.48	0.00038694578210509	0.00030492033426389	0.0004912446744443	1.460821113047	1.0504653481232	3.4187552487508	0.0022483692144729	-0.013084104572873	1.1416142332614	0.055046934356379	1.948439141282	0.21544793236819	6.9343700639595	0.0095909953108782	1.0146433252236	0.00014195198204262	5.8358950977066e-08	0.054335290600537	0.00077569068276081	0.0007756906789849
11.872	0.00039960227534112	0.00030824318773889	0.00049686593830168	1.4617227582345	1.0503407207375	3.4198647823053	0.0022609399669238	-0.009730299730343	1.1413465664798	0.055057508474246	1.9478801297194	0.20892259032165	6.9322178843167	0.0095003413327311	1.0143460727977	0.00014144441335255	5.7923467924706e-08	0.053623954961448	0.00074611299627379	0.00074611299264193
12	0.00040262134758524	0.00030982082743231	0.00049909009393388	1.4620093553623	1.0502988030349	3.4202158402283	0.0022675972392788	-0.0087518218276134	1.1412588756358	0.055060800947942	1.9476974534966	0.20763369022395	6.9315153524873	0.0094738857907079	1.0142489769452	0.0001417597801324	5.7849477161954e-08	0.053454475160482	0.00073984785680742	0.00073984785320606
12.2	0.00037478119385212	0.00028226306093662	0.00047668528328433	1.4624485677387	1.0502323205117	3.4207471423762	0.0021869593909674	-0.006918032025117	1.1411204475273	0.055065816191033	1.9474106295433	0.20190419780753	6.9304150116413	0.0093894138915525	1.0140962124518	0.00013227095393565	5.7015670521916e-08	0.053146402066227	0.00073307070200514	0.00073307069843679
12.48	0.00036861937453223	0.00026542500302662	0.00045773347872624	1.4630473491059	1.0501376479177	3.4214593869177	0.0021095563303544	-0.0049769527544599	1.1409235547411	0.055072628076543	1.9470061947062	0.1951243939397	6.9288720114588	0.0093490175983502	1.0138805996818	0.00012399418547399	5.6166039001388e-08	0.052689401753143	0.00072873908397804	0.00072873908043078
12.872	0.00036839031677257	0.00025822888504584	0.00044712685422083	1.4638678602573	1.0500033857874	3.4224257868025	0.002058176071594	-0.0027449471129486	1.1406451209714	0.055081938802455	1.9464377526777	0.18897141662835	6.9267117258279	0.0093031564437434	1.0135777248952	0.00011911860076528	5.5461117586832e-08	0.052199586966246	0.00072777236026513	0.00072777235672259
13	0.00036848345396538	0.00025743203319989	0.00044570487694637	1.4641337992159	1.0499593599355	3.4227381523942	0.0020502297011023	-0.0021062648258083	1.1405539539505	0.05508495471048	1.9462519786751	0.18774423201035	6.9260064693818	0.0092897398560666	1.0134787730657	0.00011843883450949	5.5328754363872e-08	0.052092754003531	0.00072788824153438	0.00072788823799127
13.2	0.00033825721049373	0.00023217019531448	0.00042060651764117	1.4645451387021	1.0498902746316	3.4232151599445	0.001954638819258	-0.00091443245698297	1.14041016283	0.055089628490722	1.9459604360983	0.18251328835071	6.924901960394	0.009253541532713	1.0133232865291	0.00010918428470601	5.441816269757e-08	0.0517631493089	0.0007290712841734	0.00072907128062453
