# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
5.2	3.0447969875957e-07	4.2478114612633e-07	6.3124161709351e-07	0.015945055201794	0.011795306990209	0.037759365802901	3.9077782159874e-06	-0.039970864281729	-0.10041964341802	0.012898994162142	0.00060953617211745	0.022056527476101	0.00040284301766166	0.078565814611639	0.013366193368844	0.59825772553516	0.011487846825223	2.3846060793837e-07	7.6038337427089e-08	5.4451369147177e-06	0.00010839911495843	0.90919331912112
5.48	3.0403198617299e-07	3.9786801183041e-07	5.7511511076786e-07	0.01597961118338	0.011799767827339	0.037817216351563	3.3916207750699e-06	-0.043083961440236	-0.10735990160058	0.012898403739873	0.0006104015748969	0.022051677948264	0.000389775396715	0.078542686421384	0.013303968161152	0.62633029728927	0.011485146302892	2.1539425683922e-07	7.3238258939427e-08	5.4241712009329e-06	0.00010239824040502	0.90918671443872
5.872	3.062516648008e-07	3.9789478155898e-07	5.69305353625e-07	0.016027294169929	0.01180557737283	0.037895153500301	3.2617363095505e-06	-0.045910941403391	-0.11441150719677	0.012897257227149	0.00061155378033906	0.022044874890228	0.0003777288700985	0.078510716915272	0.013204004081413	0.63125706103908	0.011481393969487	2.1262448870093e-07	7.1756400333794e-08	5.4184686896122e-06	9.6915271543302e-05	0.9091778765729
6	3.0700454172093e-07	3.988441567516e-07	5.7038398294529e-07	0.016042705894265	0.011807400761391	0.037920178524	3.2589043781458e-06	-0.046645741444491	-0.1164585185333	0.012896868907394	0.00061192020603599	0.022042665288436	0.00037533540575766	0.078500338651787	0.013174132031441	0.63203577893665	0.011480176694435	2.1300493267748e-07	7.1536285658745e-08	5.416822763391e-06	9.5816771758941e-05	0.90917504964648
6.2	2.3823682230338e-07	3.1244633716375e-07	4.6760364471356e-07	0.016066607466972	0.01181016665752	0.037957965755396	2.6936554758111e-06	-0.047830010691256	-0.1211144087659	0.012896065519592	0.00061248011423217	0.022039095277179	0.0003655449184182	0.078484117827972	0.012909639018502	0.59938826772446	0.011478205911583	1.7330727557643e-07	6.8745967635362e-08	4.6165522144409e-06	9.3081770331978e-05	0.90917082906108
6.48	2.3909847940243e-07	2.9688046932367e-07	4.3454282346309e-07	0.016099542008611	0.011813820344285	0.03800846118597	2.4203725323389e-06	-0.049031535183154	-0.12493384423122	0.012894612029528	0.00061323247972935	0.022033970938729	0.00035414201065253	0.078461661560329	0.012877690060247	0.63175355294862	0.011475407006595	1.5940118042673e-07	6.6981762415029e-08	4.6051100694851e-06	8.9489201942798e-05	0.90916526007795
6.872	2.4276080764776e-07	2.9949769742332e-07	4.3455116208467e-07	0.016144378673614	0.011818530727829	0.038076175591274	2.3698319808025e-06	-0.049535930357356	-0.12591547879916	0.012892426695665	0.00061422953526368	0.022026834686085	0.00034408708815749	0.078430653000809	0.01278620264422	0.63503104996983	0.011471530966966	1.5891928571315e-07	6.6004361344237e-08	4.6059532475143e-06	8.5998641316692e-05	0.90915789412292
7	2.4403707753301e-07	3.0107631647849e-07	4.3663712496254e-07	0.016158730930506	0.011819989646988	0.038097757992532	2.3760490623297e-06	-0.049572814613123	-0.12613684883238	0.012891711576412	0.00061454420615498	0.022024523004728	0.00034215447700877	0.078420607712155	0.012749621865679	0.63514542195365	0.011470276291976	1.5966132784961e-07	6.5859281707227e-08	4.6065067918754e-06	8.5243686414962e-05	0.9091555678712
7.2	2.074352207412e-07	2.5153980853447e-07	3.7851633149319e-07	0.016180776824097	0.011822177847476	0.038130347497506	2.0664369628311e-06	-0.049492109200667	-0.12632429955801	0.012890487143494	0.00061502228590483	0.02202085866237	0.0003343699805124	0.078404976926158	0.012458971263087	0.59931746060593	0.011468284986145	1.363668438785e-07	6.419250069847e-08	4.13860754791e-06	8.3585114308443e-05	0.90915210629248
7.48	2.1045117553771e-07	2.4457039772994e-07	3.6236564548506e-07	0.01621069339533	0.011825016073378	0.038173721024638	1.9302467830412e-06	-0.049406345933923	-0.12798232243022	0.01288860410536	0.00061565893503057	0.022015690411256	0.00032546068856423	0.078383379459387	0.012414502719885	0.63228139727037	0.01146549293096	1.2901716826319e-07	6.3097339977863e-08	4.1353226701099e-06	8.1288790779214e-05	0.90914759585832
