# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_Acetic [g]	MO_hydroM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_acetoM [g]	MO_ButyricValeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	Valeric [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
9	0.0070241824755704	0.0074655873793527	0.011080542905706	46.609979135651	33.744725908436	109.39395231796	0.05550919625401	-1.3305087689786	-0.35528945715517	-1.6857982261338	36.717816577561	1.7631397751363	62.69402278713	8.6040724688389	223.16840841518	0.36890081157115	2.0184715030202	2.3873723145913	32.649041319131	0.0037735033789345	1.9437697415789e-06	1.2602785993057e-05	1.4546555734636e-05	2.1028802645712
9.2	0.0073088195742253	0.007270446217442	0.011040777767275	46.650399342599	33.747140762638	109.450277593	0.054745343170227	-1.2595000593813	-0.33206255166733	-1.5915626110487	36.714378106434	1.7638957253289	62.685440259357	8.41397867732	223.13324756431	0.35782580507139	1.9149677657152	2.2727935707866	32.644432568635	0.0036577840893229	1.9288190799216e-06	1.2174941998009e-05	1.4103761077931e-05	2.0723601544137
9.48	0.007937899429489	0.0076836966640819	0.0116165098832	46.701002631131	33.74945228973	109.52007302462	0.05656389082628	-1.1736346377168	-0.32050190645179	-1.4941365441686	36.709309714957	1.7648145514721	62.673278474836	8.195937758354	223.08401149334	0.35217252032518	1.995346744102	2.3475192644272	32.637920800683	0.0037836569037608	1.9190465490064e-06	1.2229685899401e-05	1.4148732448407e-05	2.0219694021184
9.872	0.0090523165170209	0.0086586357820557	0.012945500992073	46.760966293587	33.750691767321	109.60173338718	0.061842229397111	-1.0329084981222	-0.28625124047336	-1.3191597385955	36.701919912807	1.765840123884	62.656109746914	8.0198114511441	223.01507752965	0.34282219841542	1.9906108285642	2.3334330269796	32.628763677649	0.0041834190088179	1.9200184091659e-06	1.2324769455303e-05	1.4244787864469e-05	1.9457053587704
10	0.0094249470005075	0.008999400376615	0.013414949090306	46.778402361335	33.750692082955	109.62525166764	0.063785943255853	-0.98542714042691	-0.27456896232471	-1.2599961027516	36.699463464406	1.7661221665023	62.650484695196	7.9914467530194	222.99257182928	0.33963739255815	1.9862001869026	2.3258375794608	32.625769281292	0.0043294838418308	1.9226828347014e-06	1.2352764402908e-05	1.427544723761e-05	1.9218545045281
10.2	0.0099138723062341	0.0089172803237374	0.013697656096303	46.803364819068	33.750307242285	109.65856113999	0.064709435521823	-0.89043460553435	-0.2411958456422	-1.1316304511765	36.695523494772	1.7665124518004	62.64162373114	7.8012088994415	222.95737792171	0.33002827158552	1.9044469651027	2.2344752366882	32.621047944905	0.0043015807758316	1.9133821143285e-06	1.1986652937794e-05	1.3900035052123e-05	1.8923813159136
10.48	0.010836855498662	0.0093944669178227	0.014454476514436	46.834230144718	33.749101460305	109.69914707754	0.067355207033073	-0.78275970829036	-0.22279775145322	-1.0055574597436	36.689826887608	1.7669715762068	62.629100113799	7.5770709404657	222.90809284132	0.32482037444129	1.9587014623482	2.2835218367895	32.614381447457	0.0044423375316046	1.9073772655009e-06	1.2036219119715e-05	1.3943596385216e-05	1.8500839568273
10.872	0.012034565266016	0.010260455790072	0.015651565414838	46.871628991059	33.746424982329	109.74751371995	0.071792501137148	-0.63896028189656	-0.18637649616776	-0.82533677806431	36.681664290358	1.7674849763171	62.611467984427	7.3809623378148	222.83911388261	0.31833364136918	1.9510630177241	2.2693966590933	32.605017724772	0.0047515846572401	1.9078156962629e-06	1.2096556694889e-05	1.4004372391152e-05	1.7978260449179
11	0.012358172655241	0.010517880776366	0.016007240702709	46.882892308403	33.745382523521	109.76193672809	0.073153988080668	-0.59478010189922	-0.1748578952553	-0.76963799715452	36.678976686339	1.7676305580425	62.60570163109	7.344485777999	222.81659902903	0.31639157736305	1.946729621642	2.2631211990051	32.601958951118	0.0048503948216575	1.9093569107111e-06	1.2111166922183e-05	1.4020523832894e-05	1.7835671156654
11.2	0.012116577359152	0.0099582764726739	0.015806693936588	46.899617342958	33.743620007954	109.78308684936	0.072490259953371	-0.51046188186069	-0.14371573501629	-0.65417761687698	36.674719832393	1.7678405166717	62.596642014928	7.1510219083043	222.78135598992	0.31070608394344	1.8936107053367	2.2043167892801	32.59714272698	0.0046745579845426	1.8919136259222e-06	1.1582331603602e-05	1.3474245229524e-05	1.7669176733188
