# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
12.2	3.5000619556141e-05	0.16671913672221	0.11972648453833	0.38996517423089	0.13008773101811	0.0062775030457777	0.22200481176794	0.7900673113271	0.11560696821951	0.00073307070200514	1.9412231921914
12.48	3.2912700375301e-05	0.16678739779807	0.11971569186262	0.39004637010861	0.13006528524048	0.0062782796007259	0.22195870619651	0.78989140930631	0.11558238836372	0.00072873908397804	1.9410871802614
12.872	3.2020381745684e-05	0.16688093606933	0.11970038597976	0.39015653969548	0.13003354379074	0.0062793410234798	0.22189390380526	0.78964513674438	0.11554786063805	0.00072777236026513	1.9408974404885
13	3.1921572116786e-05	0.16691125311061	0.11969536703264	0.39019214937294	0.13002315075035	0.0062796848369948	0.22187272556896	0.78956473750953	0.11553658012949	0.00072788824153438	1.9408354581252
13.2	2.8789104218995e-05	0.16695814581204	0.11968749130801	0.39024652823367	0.13000675856262	0.0062802176479424	0.2218394897152	0.78943882348491	0.11551885466431	0.0007290712841734	1.9407341698171
13.48	2.6768059442431e-05	0.16702272312259	0.11967639216034	0.39032010894464	0.1299834739674	0.0062809539851529	0.22179266231205	0.78926226032612	0.11549387377381	0.00073287125087729	1.9405920879024
13.872	2.5794220948696e-05	0.1671120770028	0.11966080509311	0.39042094717061	0.12995057650766	0.0062819784803284	0.22172687445835	0.78901505142165	0.11545880318875	0.00073906711510492	1.9403919746593
14	2.5661076199666e-05	0.16714117996198	0.11965571954987	0.39045372035017	0.12993980830212	0.006282313541505	0.22170537657996	0.78893434444843	0.11544734650526	0.00074082061434765	1.9403262909298
14.2	2.3256442004565e-05	0.16718625330149	0.11964775406827	0.39050387908517	0.12992284770916	0.0062828345538561	0.22167166783654	0.7888079966985	0.11542937019953	0.00074421345246933	1.940220073347
14.48	2.1695064608307e-05	0.16724836449716	0.1196365493349	0.39057188674302	0.12989881214104	0.0062835570006164	0.22162423704412	0.78863087765186	0.11540408015144	0.00075061064884032	1.9400706702776
14.872	2.0918843993637e-05	0.16733438482842	0.1196208490447	0.39066530560803	0.1298649100336	0.0062845665801024	0.22155765552578	0.78838290438657	0.1153686040132	0.00075943519393719	1.9398595340583
15	2.0806339583931e-05	0.16736242457522	0.11961573356863	0.39069571577841	0.12985381876786	0.0062848976942189	0.22153590313185	0.78830194803802	0.11535701688774	0.00076183799275057	1.9397901027743
15.2	1.9043997252954e-05	0.16740578897972	0.1196077244265	0.39074226718171	0.12983637655067	0.0062854129468805	0.2215018236202	0.78817525686827	0.11533885711463	0.00076624918533289	1.9396788008712
15.48	1.7898711403705e-05	0.16746535377827	0.11959646364852	0.39080533638102	0.12981172076503	0.0062861279904059	0.22145393070761	0.78799770818938	0.11531334495088	0.00077416091281805	1.9395220460353
15.872	1.7312939963674e-05	0.16754763137078	0.11958069927445	0.39089192861587	0.12977700447544	0.0062871290880358	0.221386751207	0.7877491492616	0.11527758067322	0.00078486782131795	1.9393000547277
16	1.7223229824416e-05	0.1675744331046	0.11957556668763	0.39092012622613	0.1297656529746	0.0062874579342372	0.22136480799086	0.78766800222621	0.11526590115291	0.00078778358437485	1.9392269551114
16.2	1.5928171130204e-05	0.16761576529104	0.11956753166948	0.39096323874463	0.12974782555374	0.0062879697559503	0.22133045171755	0.78754104874514	0.11524761182148	0.00079308339480647	1.939110454865
16.48	1.5084694339644e-05	0.16767222515167	0.11955623523448	0.3910214657693	0.1297226786321	0.0062886800647304	0.22128221576431	0.78736317245378	0.11522194338846	0.00080250056120532	1.9389462017144
16.872	1.4636849867312e-05	0.16774984358863	0.11954042885805	0.39110120078555	0.12968732201885	0.0062896755696644	0.22121459390578	0.78711416742838	0.11518597679274	0.00081528304663312	1.9387131288441
17	1.4563668790697e-05	0.16777509063365	0.11953528561391	0.39112715569002	0.1296757663139	0.0062900029927184	0.22119250967951	0.787032875207	0.11517423243153	0.00081879112810218	1.9386362733591
17.2	1.358929416e-05	0.16781387635122	0.11952723377762	0.39116673844404	0.12965763679285	0.0062905125692927	0.2211579485011	0.78690572031375	0.11515585202811	0.00082511342724224	1.9385142214994
17.48	1.2951934904478e-05	0.16786646876978	0.11951591081729	0.39121990150143	0.12963210433808	0.0062912193366985	0.22110945743397	0.78672759061928	0.11513007337934	0.0008362641511612	1.9383419422819
17.872	1.2597817088292e-05	0.16793830126505	0.11950006943242	0.39129235962511	0.12959624431553	0.0062922101576113	0.22104150539381	0.78647823999709	0.11509396374965	0.00085148537763738	1.938096977131
18	1.2535796348957e-05	0.16796161725296	0.11949491710263	0.39131592148581	0.12958452798478	0.0062925363608833	0.2210193158001	0.7863968352892	0.11508217351787	0.00085570081765978	1.9380160814082
18.2	1.177739026976e-05	0.16799726240781	0.11948684966448	0.39135170895548	0.1295661598595	0.0062930438472586	0.22098460059074	0.78626952214094	0.11506372835416	0.00086321749229474	1.9378878707029
